Term,NES,FDR q-val,minus_log10_q,NOM p-val
"Platelet Activation, Signaling And Aggregation R-HSA-76002",3.650844437957772,0.0,inf,0.0
Common Pathway Of Fibrin Clot Formation R-HSA-140875,3.1808792452947388,0.0,inf,0.0
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,4.215942508047793,0.0,inf,0.0
Platelet Degranulation R-HSA-114608,4.215942508047793,0.0,inf,0.0
Hemostasis R-HSA-109582,3.6570415637175016,0.0,inf,0.0
Post-translational Protein Phosphorylation R-HSA-8957275,3.100947216381962,0.0,inf,0.0
Formation Of Fibrin Clot (Clotting Cascade) R-HSA-140877,3.1291914381692822,0.0,inf,0.0
Innate Immune System R-HSA-168249,3.0878423743002754,0.0,inf,0.0
Complement Cascade R-HSA-166658,3.0716557771202293,0.0,inf,0.0
Regulation Of Complement Cascade R-HSA-977606,2.9638348532201624,0.0,inf,0.0
Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,3.0209983595896737,0.0,inf,0.0
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,2.780753861629208,0.0005035402185291,3.2979658359590336,0.0
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,2.755381296228744,0.0005639650447525,3.248747813288923,0.0
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,2.755381296228744,0.0005639650447525,3.248747813288923,0.0
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,2.7673829762571027,0.0006507288977914,3.1865999065400428,0.0
Immune System R-HSA-168256,2.705663565314488,0.0006797792950142,3.167632067464082,0.0
Amyloid Fiber Formation R-HSA-977225,2.6518791265214965,0.0009241444010651,3.0342601633188986,0.0
Signaling By ROBO Receptors R-HSA-376176,2.648979902074864,0.0010070804370582,2.9969358402950528,0.0
Initial Triggering Of Complement R-HSA-166663,2.6363448328317025,0.0011448914442345,2.941235690096983,0.0
Neutrophil Degranulation R-HSA-6798695,2.4628213697545323,0.0041178400093046,2.385330531060864,0.0
