Term,NES,FDR q-val,minus_log10_q,NOM p-val,minus_log10_p
Neutrophil extracellular trap formation,2.9085928703990214,0.0,inf,0.0,inf
Complement and coagulation cascades,4.600837542318319,0.0,inf,0.0,inf
Systemic lupus erythematosus,3.2692872419577164,0.0,inf,0.0,inf
ECM-receptor interaction,3.1999102200553655,0.0,inf,0.0,inf
Staphylococcus aureus infection,2.763989539565107,0.0003478933127174333,3.4585539192772186,0.0,inf
Parkinson disease,2.5422818701312737,0.001413316582914573,2.849760545290288,0.0,inf
Prion disease,2.507230056050166,0.0014495554696559723,2.8387651609888245,0.001584786053882726,2.8000293592441343
Huntington disease,2.5647061005209077,0.0014909713402175714,2.826530704571813,0.0,inf
Amyotrophic lateral sclerosis,2.575146156129377,0.0015945110166215694,2.7973724758305996,0.0,inf
PI3K-Akt signaling pathway,2.314421993492133,0.005914186316196366,2.2281049978989445,0.0,inf
Spinocerebellar ataxia,2.2971117720284657,0.006088132972555083,2.215515870590924,0.001658374792703151,2.780317312140151
Proteasome,2.2723318570004283,0.006812910707383069,2.166667303053107,0.003305785123966942,2.4807253789884878
Coronavirus disease,2.2203847040170235,0.008697332817935834,2.060613910605181,0.004754358161648178,2.3229081045244717
Neuroactive ligand-receptor interaction,2.222789604073082,0.009366358419315513,2.02842922723378,0.0,inf
Malaria,2.1725310149776913,0.011770390413606495,1.9292091317476492,0.0017064846416382253,2.767897616018091
Pancreatic secretion,2.1020160994685098,0.017992607267104756,1.744905899485387,0.004,2.3979400086720375
Focal adhesion,2.039943193166645,0.02420757634325474,1.6160486898412412,0.0,inf
Amoebiasis,2.0462079693442337,0.02471065735919416,1.6071157012319428,0.0017699115044247787,2.7520484478194387
Pathways of neurodegeneration,1.9652212992191906,0.035876497873985315,1.445189957719237,0.004846526655896607,2.3145693943004555
Ribosome,1.9755937923809408,0.03611681891237565,1.4422905083485895,0.015748031496062992,1.8027737252919758
