Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2023,RNA Binding (GO:0003723),101/1411,5.09909266655831e-28,2.167114383287282e-25,0,0,4.31921275698965,271.43366938568977,EIF4A1;RPL30;PEBP1;C4BPA;ENO1;RPL10A;RPS14;RPS16;SNRPD1;RPS18;SNRPD3;RPS10;RPS13;PDIA3;RPS9;ACTN1;RPL22;RPSA;HLA-A;EEF1A1;DDX39B;NCL;SUB1;SRSF3;PPIE;PFN1;EZR;PPIB;PPIA;KPNB1;ANKRD17;AARS1;VCP;DHX9;RTN4;HSP90B1;PRDX1;SPTBN1;HSPA9;HSPA8;XRCC6;XRCC5;HMGA1;PA2G4;EEF2;H1-0;H1-2;H1-5;CS;RPS25;HNRNPK;EIF5;EIF6;FASN;ACO1;UBA1;HNRNPC;YWHAE;ARF1;HSP90AB1;CLTC;RPLP0;GDI2;ADK;C1QBP;RACK1;METTL16;CCT3;HSP90AA1;YWHAZ;PSMA6;PKM;TCP1;MYH9;ANG;ALDOA;LRP1;RPL12;USO1;SRSF1;RRBP1;HSPD1;GANAB;RPS3;FLNA;FLNB;RPS2;RPS27A;HNRNPA1;CCT4;DYNC1H1;NPM1;MDH2;HSPE1;TUBB4B;ASS1;KRT18;PSMC1;P4HB;RAN;HSPA1A
GO_Molecular_Function_2023,Cadherin Binding (GO:0045296),42/319,2.7037887821535016e-21,5.745551162076191e-19,0,0,7.599343616672137,359.902124049035,YWHAE;NOTCH3;HSP90AB1;USO1;OLA1;ENO1;RTN4;LDHA;ATIC;PRDX1;RACK1;FLNA;FLNB;CCT8;RPS2;CLIC1;SPTAN1;SPTBN1;HSPA8;RARS1;HSPA5;IDH1;SEPTIN9;EEF2;PAICS;PRDX6;YWHAZ;RAB11B;EEF1G;EIF5;HNRNPK;KRT18;PKM;FASN;MYH9;TAGLN2;EZR;PFN1;TLN1;ALDOA;RAN;HSPA1A
GO_Molecular_Function_2023,Endopeptidase Inhibitor Activity (GO:0004866),25/112,9.377191689314494e-19,1.328435489319553e-16,0,0,13.92891862526448,578.2010628694986,APP;ITIH4;ITIH3;SERPINA1;ITIH2;SERPINC1;PROS1;SERPINE1;PZP;TFPI;SERPINA7;THBS1;SERPINA5;CST3;PCSK1N;SPOCK2;AMBP;SERPIND1;AHSG;APLP2;SERPINF1;SERPINF2;SERPING1;GAPDH;LTF
GO_Molecular_Function_2023,Endopeptidase Regulator Activity (GO:0061135),14/42,1.0145112299523265e-13,1.0779181818243468e-11,0,0,23.66222760290557,707.9549025691698,ITIH4;ITIH3;ITIH2;PSMD14;SERPIND1;AHSG;PROS1;PZP;SERPINF2;TFPI;THBS1;CST3;PCSK1N;PSME2
GO_Molecular_Function_2023,Peptidase Inhibitor Activity (GO:0030414),13/37,3.5729648558862253e-13,3.0370201275032914e-11,0,0,25.57739533011272,733.053533331932,ITIH4;ITIH3;ITIH2;SERPIND1;AHSG;PROS1;PZP;SERPINF2;TFPI;THBS1;CST3;PCSK1N;GPC3
GO_Molecular_Function_2023,Serine-Type Endopeptidase Inhibitor Activity (GO:0004867),13/53,6.189102261642946e-11,4.3839474353304196e-09,0,0,15.333876811594203,360.4326797911024,APP;SERPINA1;AMBP;SERPIND1;SERPINC1;APLP2;SERPINF1;SERPINE1;SERPINF2;TFPI;SERPINA7;SERPINA5;SERPING1
GO_Molecular_Function_2023,Lipoprotein Particle Receptor Binding (GO:0070325),10/27,1.0805951845031881e-10,6.560756477340786e-09,0,0,27.586401467061645,633.0620911069803,RELN;LRP1;CLTC;APOA1;APOC3;APOE;APOB;CLU;HSPG2;HSP90B1
GO_Molecular_Function_2023,Protease Binding (GO:0002020),18/125,1.7577813838406416e-10,9.338213601653408e-09,0,0,8.006489500262779,179.84015379482295,VCP;SERPINA1;VWF;SERPINC1;SERPINE1;SERPINF2;CLTC;PZP;FN1;PLG;THBS1;SERPINA5;COMP;COL1A1;CST3;PSAP;CNTN1;RPS27A
GO_Molecular_Function_2023,Nucleosomal DNA Binding (GO:0031492),9/34,2.7689192358366632e-08,1.3075451947006464e-06,0,0,16.835598086124403,292.97684347013575,H2AZ1;H1-5;RBBP4;HNRNPC;H1-1;MACROH2A1;H1-0;H3-3A;H1-2
GO_Molecular_Function_2023,"Oxidoreductase Activity, Acting On The CH-OH Group Of Donors, NAD Or NADP As Acceptor (GO:0016616)",13/95,1.1391384405329415e-07,4.841338372265001e-06,0,0,7.4638564863909505,119.33081959781651,G6PD;MDH2;DCXR;AKR1A1;AKR1C3;HSD17B4;PGD;DHRS2;ADH5;UGDH;LDHB;LDHA;PHGDH
GO_Molecular_Function_2023,Chromatin DNA Binding (GO:0031490),11/83,1.499443210148464e-06,5.793303311937247e-05,0,0,7.161825587606837,96.04306554847,H2AZ1;H1-5;RBBP4;DHX9;HNRNPC;MACROH2A2;H1-1;MACROH2A1;H1-0;H3-3A;H1-2
GO_Molecular_Function_2023,Pyridoxal Phosphate Binding (GO:0030170),6/20,2.749489432777138e-06,9.737775074419028e-05,0,0,19.910756701730573,254.93922678852476,PYGB;OAT;SHMT2;PSAT1;ALB;PYGL
GO_Molecular_Function_2023,Low-Density Lipoprotein Particle Receptor Binding (GO:0050750),6/22,5.104426327256098e-06,0.00016687547608337244,0,0,17.420130641330168,212.2713032466984,CLTC;APOE;APOB;CLU;HSPG2;HSP90B1
GO_Molecular_Function_2023,Nucleosome Binding (GO:0031491),9/62,6.312767690021292e-06,0.00016983384678541196,0,0,7.92994493093798,94.94472597994591,H2AZ1;H1-5;RBBP4;HNRNPC;H1-1;MACROH2A1;H1-0;H3-3A;H1-2
