"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0030195","GO:0030195","negative regulation of blood coagulation","5/14","50/18614",2.23809111183179e-10,6.28691887695204e-08,2.79984241483694e-08,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:1900047","GO:1900047","negative regulation of hemostasis","5/14","51/18614",2.48036026462607e-10,6.28691887695204e-08,2.79984241483694e-08,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0072378","GO:0072378","blood coagulation, fibrin clot formation","4/14","15/18614",2.71959848649513e-10,6.28691887695204e-08,2.79984241483694e-08,"2243/2244/2266/350",4,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0050819","GO:0050819","negative regulation of coagulation","5/14","54/18614",3.33523547848914e-10,6.28691887695204e-08,2.79984241483694e-08,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0072376","GO:0072376","protein activation cascade","4/14","18/18614",6.08882071012023e-10,9.18194163086131e-08,4.08912380321759e-08,"2243/2244/2266/350",4,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0030193","GO:0030193","regulation of blood coagulation","5/14","70/18614",1.26818190080479e-09,1.57788748690623e-07,7.0270292939144e-08,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:1900046","GO:1900046","regulation of hemostasis","5/14","72/18614",1.46488228227369e-09,1.57788748690623e-07,7.0270292939144e-08,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0050818","GO:0050818","regulation of coagulation","5/14","75/18614",1.80482909523135e-09,1.70105142225555e-07,7.57553264972106e-08,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0061045","GO:0061045","negative regulation of wound healing","5/14","78/18614",2.2049299742135e-09,1.8472413339522e-07,8.22658083946324e-08,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0031639","GO:0031639","plasminogen activation","4/14","26/18614",2.96454731131363e-09,2.23526867273048e-07,9.95463781377945e-08,"2243/2244/2266/350",4,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0042730","GO:0042730","fibrinolysis","4/14","27/18614",3.47862385157891e-09,2.38443853099136e-07,1.06189570206093e-07,"2243/2244/2266/350",4,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:1903035","GO:1903035","negative regulation of response to wounding","5/14","93/18614",5.39528362150799e-09,3.39003654218086e-07,1.50973287303601e-07,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0061041","GO:0061041","regulation of wound healing","5/14","137/18614",3.80966739593799e-08,2.20960708964404e-06,9.8403554599532e-07,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:1903034","GO:1903034","regulation of response to wounding","5/14","170/18614",1.12201840487435e-07,5.84363153042319e-06,2.60242699735446e-06,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0031638","GO:0031638","zymogen activation","4/14","63/18614",1.16252616652981e-07,5.84363153042319e-06,2.60242699735446e-06,"2243/2244/2266/350",4,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0034116","GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/14","15/18614",1.53286538186743e-07,7.22362811205027e-06,3.21700037378757e-06,"2243/2244/2266",3,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0042060","GO:0042060","wound healing","6/14","439/18614",4.2545064350859e-07,1.85282233499491e-05,8.25143549997734e-06,"1265/2243/2244/2266/348/350",6,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
"GO:0007596","GO:0007596","blood coagulation","5/14","224/18614",4.4231832930913e-07,1.85282233499491e-05,8.25143549997734e-06,"2243/2244/2266/348/350",5,"Downres_DEq_MS_CTRL.myr_vs_CTRL"
