"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005775","GO:0005775","vacuolar lumen","15/34","176/19518",1.84683832803021e-22,2.54863689268169e-20,1.16642420717697e-20,"1508/8804/5476/5660/3074/12/1509/2519/3073/8836/302/3920/203068/2517/10577",15,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005766","GO:0005766","primary lysosome","13/34","155/19518",2.40650269357752e-19,1.10699123904566e-17,5.0663214601632e-18,"8804/5476/5660/3074/12/2519/3073/8836/302/3920/203068/2517/10577",13,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0042582","GO:0042582","azurophil granule","13/34","155/19518",2.40650269357752e-19,1.10699123904566e-17,5.0663214601632e-18,"8804/5476/5660/3074/12/2519/3073/8836/302/3920/203068/2517/10577",13,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0035578","GO:0035578","azurophil granule lumen","10/34","91/19518",3.48886045445556e-16,1.20365685678717e-14,5.50872703335089e-15,"8804/5476/3074/12/2519/8836/302/203068/2517/10577",10,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0043202","GO:0043202","lysosomal lumen","9/34","98/19518",6.58630725087696e-14,1.81782080124204e-12,8.31954600110773e-13,"1508/5476/5660/3074/1509/3073/3920/2517/10577",9,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034774","GO:0034774","secretory granule lumen","12/34","322/19518",1.31323053655809e-13,2.71979041969696e-12,1.24475534082241e-12,"8804/5476/353/3074/12/1509/2519/8836/302/203068/2517/10577",12,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","12/34","325/19518",1.46601289047832e-13,2.71979041969696e-12,1.24475534082241e-12,"8804/5476/353/3074/12/1509/2519/8836/302/203068/2517/10577",12,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0031983","GO:0031983","vesicle lumen","12/34","327/19518",1.57669009837505e-13,2.71979041969696e-12,1.24475534082241e-12,"8804/5476/353/3074/12/1509/2519/8836/302/203068/2517/10577",12,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","8/34","415/19518",4.36762273012908e-07,6.69702151953125e-06,3.06499840710813e-06,"308/1508/5660/6281/12/1509/302/811",8,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0042470","GO:0042470","melanosome","5/34","112/19518",1.38567762397567e-06,1.73839556462402e-05,7.95604377402297e-06,"1508/1509/8836/302/2644",5,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0048770","GO:0048770","pigment granule","5/34","112/19518",1.38567762397567e-06,1.73839556462402e-05,7.95604377402297e-06,"1508/1509/8836/302/2644",5,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0001533","GO:0001533","cornified envelope","4/34","59/19518",3.26317367502172e-06,3.75264972627498e-05,1.7174598289588e-05,"3315/3849/302/3858",4,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005765","GO:0005765","lysosomal membrane","7/34","415/19518",6.11801799667917e-06,6.03061773958376e-05,2.76000811880263e-05,"1803/5476/5660/1509/290/302/3920",7,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0098852","GO:0098852","lytic vacuole membrane","7/34","415/19518",6.11801799667917e-06,6.03061773958376e-05,2.76000811880263e-05,"1803/5476/5660/1509/290/302/3920",7,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005774","GO:0005774","vacuolar membrane","7/34","460/19518",1.19623058264284e-05,0.000110053213603141,5.03676034796986e-05,"1803/5476/5660/1509/290/302/3920",7,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0098857","GO:0098857","membrane microdomain","6/34","324/19518",1.81548458433718e-05,0.000156585545399082,7.16638651712045e-05,"1803/6281/1509/302/3920/203068",6,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:1904724","GO:1904724","tertiary granule lumen","3/34","55/19518",0.000119094026950036,0.000966763277594411,0.00044245458928806,"1509/8836/2495",3,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0070820","GO:0070820","tertiary granule","4/34","164/19518",0.000183067108799792,0.0013965807508783,0.000639167391706318,"1509/8836/2495/3920",4,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0044754","GO:0044754","autolysosome","2/34","12/19518",0.000192282857004984,0.0013965807508783,0.000639167391706318,"2495/3920",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0045121","GO:0045121","membrane raft","5/34","323/19518",0.000225763851438082,0.00155777057492277,0.000712938478225523,"1803/6281/1509/302/203068",5,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0101002","GO:0101002","ficolin-1-rich granule","4/34","185/19518",0.000290099012440143,0.00190636493889237,0.000872478232902685,"1508/1509/2495/3920",4,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005767","GO:0005767","secondary lysosome","2/34","18/19518",0.00044283465972888,0.00277778104739025,0.00127129567386281,"2495/3920",2,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0045095","GO:0045095","keratin filament","3/34","97/19518",0.000636711417250124,0.00382026850350074,0.00174840663775778,"3849/3858/3856",3,"Downres_DEq_MS_CTRL.myr_vs_HBV.myr"
