"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3781860","R-HSA-3781860","Diseases associated with N-glycosylation of proteins","1/1","20/10955",0.00182565038795057,0.0150616157005932,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-4085001","R-HSA-4085001","Sialic acid metabolism","1/1","33/10955",0.00301232314011846,0.0150616157005932,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-1660662","R-HSA-1660662","Glycosphingolipid metabolism","1/1","46/10955",0.00419899589228645,0.0150616157005932,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-446219","R-HSA-446219","Synthesis of substrates in N-glycan biosythesis","1/1","63/10955",0.00575079872204476,0.0150616157005932,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-446193","R-HSA-446193","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein","1/1","78/10955",0.00712003651300774,0.0150616157005932,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-428157","R-HSA-428157","Sphingolipid metabolism","1/1","90/10955",0.00821542674577813,0.0150616157005932,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-2132295","R-HSA-2132295","MHC class II antigen presentation","1/1","123/10955",0.0112277498858968,0.0176436069635521,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-3781865","R-HSA-3781865","Diseases of glycosylation","1/1","143/10955",0.0130534002738475,0.0179484253765403,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-5668914","R-HSA-5668914","Diseases of metabolism","1/1","249/10955",0.0227293473299864,0.0277803134033168,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-446203","R-HSA-446203","Asparagine N-linked glycosylation","1/1","304/10955",0.0277498858968503,0.0305248744865354,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","1/1","481/10955",0.0439068918302143,0.0439068918302143,NA,"CTSA",1,"Upres_DEq_MS_HBV.myr_vs_HBV"
