"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa01200","hsa01200","Carbon metabolism","35/205","115/8746",3.70561563068667e-30,8.18941054381755e-28,6.47507573362093e-28,"189/48/2027/26275/54363/2271/38/2653/8801/4191/2023/2806/2597/25796/4199/5230/847/7167/2098/6888/2805/1892/1738/6470/2821/50/39/7086/1373/5223/2875/2203/4190/226/26007",35
"hsa03050","hsa03050","Proteasome","17/205","46/8746",9.6298237688283e-17,1.06409552645553e-14,8.4134249769763e-15,"5692/5693/5687/5721/5689/5691/5688/5694/5685/5699/5683/5696/5720/5682/5684/5686/5690",17
"hsa00620","hsa00620","Pyruvate metabolism","17/205","47/8746",1.47794722022035e-16,1.08875445222899e-14,8.60839433531854e-15,"2739/2271/38/127/4191/126/4199/5106/130/217/9380/125/124/3939/1738/39/4190",17
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","19/205","67/8746",4.1660740768401e-16,2.30175592745416e-14,1.8199165704091e-14,"2027/127/126/2023/2597/5106/130/217/5230/125/124/7167/3939/1738/2821/5223/2203/226/55276",19
"hsa01230","hsa01230","Biosynthesis of amino acids","19/205","75/8746",4.19912856144272e-15,1.85601482415768e-13,1.46748492884103e-13,"5009/48/2027/2023/2806/2597/5230/1491/7167/6888/2805/6470/50/7086/1373/5223/2875/435/226",19
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","13/205","30/8746",3.7193901455238e-14,1.36997537026793e-12,1.08319081431044e-12,"189/48/54363/38/2653/4191/9380/847/1738/6470/50/39/4190",13
"hsa00350","hsa00350","Tyrosine metabolism","13/205","36/8746",6.34127193960057e-13,2.00203014093104e-11,1.58293404808074e-11,"127/126/2806/130/125/124/2805/1312/2184/3081/4282/3242/316",13
"hsa00071","hsa00071","Fatty acid degradation","13/205","43/8746",8.68806860137336e-12,2.40007895112939e-10,1.89765708924734e-10,"38/127/3033/10449/126/130/217/125/124/1892/39/1632/36",13
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","12/205","48/8746",6.62298932856767e-10,1.62631182401495e-08,1.28586693396752e-08,"26275/38/18/3033/10449/217/3155/1892/1738/39/36/316",12
"hsa00270","hsa00270","Cysteine and methionine metabolism","12/205","52/8746",1.80682676708354e-09,3.99308715525462e-08,3.15719203511439e-08,"4191/2806/2937/7263/1491/55256/3939/2805/191/4357/4190/2729",12
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","9/205","37/8746",1.26219132534831e-07,2.53585711729069e-06,2.00501205749109e-06,"189/18/2806/2805/56954/8659/1373/2875/435",9
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","9/205","40/8746",2.61016255071606e-07,4.80704936423541e-06,3.80076301244619e-06,"189/29958/2653/9380/1491/1738/6470/5223/2628",9
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","8/205","30/8746",2.98656890844684e-07,5.07716714435962e-06,4.01433553685972e-06,"48/2271/8801/4191/5106/1738/50/4190",8
"hsa05012","hsa05012","Parkinson disease","20/205","266/8746",3.90900929166149e-06,6.17065038183707e-05,4.87891385275043e-05,"506/5692/5693/4729/5687/203068/7317/5689/5691/5688/5694/5685/11315/5683/5682/6263/5684/3309/5686/5690",20
"hsa00380","hsa00380","Tryptophan metabolism","8/205","42/8746",4.72910483980405e-06,6.9675477973113e-05,5.50899230461384e-05,"38/3033/217/847/1892/1738/39/316",8
"hsa00030","hsa00030","Pentose phosphate pathway","7/205","31/8746",5.72026323467682e-06,7.90111359289736e-05,6.24712958523916e-05,"25796/6888/2821/7086/2203/226/55276",7
"hsa00220","hsa00220","Arginine biosynthesis","6/205","22/8746",8.4050855623007e-06,0.000109266112309909,8.6392829928292e-05,"5009/2806/2805/1373/2875/435",6
