"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0030195","GO:0030195","negative regulation of blood coagulation","14/80","50/18614",1.83423652029575e-22,1.68174354229056e-19,1.32866280551465e-19,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1900047","GO:1900047","negative regulation of hemostasis","14/80","51/18614",2.51988806381701e-22,1.68174354229056e-19,1.32866280551465e-19,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0042730","GO:0042730","fibrinolysis","12/80","27/18614",2.7660255629779e-22,1.68174354229056e-19,1.32866280551465e-19,"5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",12,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0050819","GO:0050819","negative regulation of coagulation","14/80","54/18614",6.26351475174627e-22,2.8561627267963e-19,2.25651360398438e-19,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0006956","GO:0006956","complement activation","14/80","58/18614",1.93172861263469e-21,7.04694597889136e-19,5.56744520146715e-19,"718/716/721/3080/1191/720/710/717/715/722/51279/629/729/732",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0006958","GO:0006958","complement activation, classical pathway","12/80","33/18614",5.53226054297937e-21,1.68180720506573e-18,1.32871310234013e-18,"718/716/721/1191/720/710/717/715/722/51279/729/732",12,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0030193","GO:0030193","regulation of blood coagulation","14/80","70/18614",3.53664474710255e-20,9.2154857410215e-18,7.28070174253142e-18,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1900046","GO:1900046","regulation of hemostasis","14/80","72/18614",5.43240655297841e-20,1.23858869407908e-17,9.78547969872031e-18,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0050818","GO:0050818","regulation of coagulation","14/80","75/18614",1.00912246653686e-19,2.0451548655147e-17,1.61577620665375e-17,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0061045","GO:0061045","negative regulation of wound healing","14/80","78/18614",1.82431147019485e-19,3.32754412163541e-17,2.62892884494395e-17,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","12/80","46/18614",5.80587337006272e-19,9.62719366090401e-17,7.60597190776638e-17,"718/716/721/1191/720/710/717/715/722/51279/729/732",12,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0006959","GO:0006959","humoral immune response","19/80","250/18614",7.63230239642605e-19,1.16010996425676e-16,9.16545787781339e-17,"718/2147/338376/716/721/2243/3080/1191/2244/720/710/717/715/3273/722/51279/629/729/732",19,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1903035","GO:1903035","negative regulation of response to wounding","14/80","93/18614",2.51449415326324e-18,3.5280287196555e-16,2.78732185896144e-16,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0061041","GO:0061041","regulation of wound healing","14/80","137/18614",6.93215571224368e-16,9.03160858509462e-14,7.13542945117413e-14,"348/3827/5340/350/2147/2266/2243/2244/710/3818/7448/3273/2161/1361",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0007596","GO:0007596","blood coagulation","16/80","224/18614",1.54015593893569e-15,1.8728296217458e-13,1.47963051256348e-13,"348/3827/5340/350/2147/2266/3053/2243/2244/710/3818/7448/3273/2161/1361/50848",16,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0050817","GO:0050817","coagulation","16/80","229/18614",2.18366361322971e-15,2.48937651908187e-13,1.96673387270491e-13,"348/3827/5340/350/2147/2266/3053/2243/2244/710/3818/7448/3273/2161/1361/50848",16,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0007599","GO:0007599","hemostasis","16/80","230/18614",2.33926333930717e-15,2.50989195935075e-13,1.98294211239103e-13,"348/3827/5340/350/2147/2266/3053/2243/2244/710/3818/7448/3273/2161/1361/50848",16,"Upres_DEq_MS_HBV.myr_vs_CTRL"
