"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0034774","GO:0034774","secretory granule lumen","40/238","322/19518",1.07187711410213e-28,2.27974321177257e-26,1.63429867268633e-26,"8804/12/1509/203068/3074/10577/5476/2760/4758/2517/23593/1476/8836/353/87/2512/1992/226/1522/2519/5689/302/5836/6709/847/5223/81/10487/5686/4282/29952/10092/10549/3312/55313/3320/3326/56954/2821/5478",40,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","40/238","325/19518",1.54410699501886e-28,2.27974321177257e-26,1.63429867268633e-26,"8804/12/1509/203068/3074/10577/5476/2760/4758/2517/23593/1476/8836/353/87/2512/1992/226/1522/2519/5689/302/5836/6709/847/5223/81/10487/5686/4282/29952/10092/10549/3312/55313/3320/3326/56954/2821/5478",40,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0031983","GO:0031983","vesicle lumen","40/238","327/19518",1.96529587221773e-28,2.27974321177257e-26,1.63429867268633e-26,"8804/12/1509/203068/3074/10577/5476/2760/4758/2517/23593/1476/8836/353/87/2512/1992/226/1522/2519/5689/302/5836/6709/847/5223/81/10487/5686/4282/29952/10092/10549/3312/55313/3320/3326/56954/2821/5478",40,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005839","GO:0005839","proteasome core complex","13/238","20/19518",6.81336076006873e-21,5.25261504651276e-19,3.7654862856126e-19,"5699/5692/5689/5685/5698/5687/5684/5688/5694/5686/5682/5690/5691",13,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005775","GO:0005775","vacuolar lumen","26/238","176/19518",7.54686069901259e-21,5.25261504651276e-19,3.7654862856126e-19,"3920/1508/8804/12/5660/1509/3073/203068/3074/10577/5476/2760/4758/2517/23593/8836/2512/2519/1520/302/10487/29952/3312/55313/3320/2548",26,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0000502","GO:0000502","proteasome complex","18/238","60/19518",1.09077352662196e-20,6.32648645440735e-19,4.53532150542814e-19,"3315/5699/5692/5887/5689/5685/5698/5687/5684/5688/5711/5694/5686/5682/9352/5720/5690/5691",18,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0101002","GO:0101002","ficolin-1-rich granule","25/238","185/19518",4.0565067043764e-19,2.01666333303284e-17,1.44570238937926e-17,"3920/1508/1509/2495/1476/8987/226/1522/5689/1520/5836/847/5223/5686/4282/10092/10549/5269/3312/3320/2548/3326/2821/5478/327",25,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","21/238","124/19518",2.59589520289017e-18,1.12921441325722e-16,8.09509425111802e-17,"1508/1509/2495/1476/226/1522/5689/1520/5836/847/5223/5686/4282/10092/10549/3312/3320/3326/2821/5478/327",21,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0042470","GO:0042470","melanosome","20/238","112/19518",5.71284303276525e-18,1.98806937540231e-16,1.42520399870038e-16,"1508/1509/1213/5034/8836/7534/7529/10961/7531/7184/10130/302/2644/9601/3309/5052/3312/3320/3326/2040",20,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0048770","GO:0048770","pigment granule","20/238","112/19518",5.71284303276525e-18,1.98806937540231e-16,1.42520399870038e-16,"1508/1509/1213/5034/8836/7534/7529/10961/7531/7184/10130/302/2644/9601/3309/5052/3312/3320/3326/2040",20,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1905369","GO:1905369","endopeptidase complex","18/238","90/19518",3.23617387540413e-17,1.02380773512785e-15,7.33945654039022e-16,"3315/5699/5692/5887/5689/5685/5698/5687/5684/5688/5711/5694/5686/5682/9352/5720/5690/5691",18,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005766","GO:0005766","primary lysosome","21/238","155/19518",2.94248093193564e-16,7.87679511010464e-15,5.64670429853236e-15,"3920/8804/12/5660/3073/203068/3074/10577/5476/2760/2517/23593/8836/2512/2519/302/10487/29952/55313/2548/2040",21,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0042582","GO:0042582","azurophil granule","21/238","155/19518",2.94248093193564e-16,7.87679511010464e-15,5.64670429853236e-15,"3920/8804/12/5660/3073/203068/3074/10577/5476/2760/2517/23593/8836/2512/2519/302/10487/29952/55313/2548/2040",21,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005759","GO:0005759","mitochondrial matrix","33/238","484/19518",9.80745363501768e-16,2.43785276070439e-14,1.74764399360841e-14,"3329/80273/6648/708/3313/4594/8801/38/5009/2731/10935/10449/7263/3033/50/11315/2653/506/25828/3155/1632/36/2271/1738/2806/3336/25824/26275/27068/29958/4191/10247/1892",33,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:1905368","GO:1905368","peptidase complex","18/238","125/19518",1.40476361881951e-14,3.25905159566126e-13,2.33634370287876e-13,"3315/5699/5692/5887/5689/5685/5698/5687/5684/5688/5711/5694/5686/5682/9352/5720/5690/5691",18,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0035578","GO:0035578","azurophil granule lumen","16/238","91/19518",1.66654032462405e-14,3.6247252060573e-13,2.59848721668355e-13,"8804/12/203068/3074/10577/5476/2760/2517/23593/8836/2512/2519/302/10487/29952/55313",16,"Downres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0005925","GO:0005925","focal adhesion","28/238","422/19518",3.36589691204412e-13,6.89018897289031e-12,4.93942766659106e-12,"1803/3315/1213/5034/811/3313/308/1266/87/7534/7529/7531/3383/7184/1072/7532/5216/4869/3309/847/81/10487/10092/3312/9124/6181/5478/23224",28,"Downres_DEq_MS_HBV.myr_vs_CTRL"
