"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005775","GO:0005775","vacuolar lumen","16/45","176/19518",4.91697654351266e-22,7.71965317331488e-20,4.24412712176883e-20,"8804/5476/1508/1520/5660/3074/1509/3073/12/3920/2517/2512/8836/10577/203068/302",16,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005766","GO:0005766","primary lysosome","13/45","155/19518",1.75707616052241e-17,9.1953652400673e-16,5.05544719869607e-16,"8804/5476/5660/3074/3073/12/3920/2517/2512/8836/10577/203068/302",13,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0042582","GO:0042582","azurophil granule","13/45","155/19518",1.75707616052241e-17,9.1953652400673e-16,5.05544719869607e-16,"8804/5476/5660/3074/3073/12/3920/2517/2512/8836/10577/203068/302",13,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0035578","GO:0035578","azurophil granule lumen","10/45","91/19518",8.14196631827387e-15,3.19572177992249e-13,1.75695062657489e-13,"8804/5476/3074/12/2517/2512/8836/10577/203068/302",10,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0043202","GO:0043202","lysosomal lumen","10/45","98/19518",1.75409728833441e-14,5.50786548537004e-13,3.02812584512466e-13,"5476/1508/1520/5660/3074/1509/3073/3920/2517/10577",10,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034774","GO:0034774","secretory granule lumen","12/45","322/19518",5.85532813267229e-12,1.37601540961257e-10,7.56508639545629e-11,"8804/5476/353/3074/1509/12/2517/2512/8836/10577/203068/302",12,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","12/45","325/19518",6.52622873531852e-12,1.37601540961257e-10,7.56508639545629e-11,"8804/5476/353/3074/1509/12/2517/2512/8836/10577/203068/302",12,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0031983","GO:0031983","vesicle lumen","12/45","327/19518",7.01154348847168e-12,1.37601540961257e-10,7.56508639545629e-11,"8804/5476/353/3074/1509/12/2517/2512/8836/10577/203068/302",12,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","9/45","415/19518",3.66510041586062e-07,6.39356405877909e-06,3.51506706550375e-06,"308/1508/1520/6281/5660/1509/12/302/811",9,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0044754","GO:0044754","autolysosome","3/45","12/19518",2.4831594964287e-06,3.89856040939306e-05,2.14335872323319e-05,"2495/3920/2512",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0042470","GO:0042470","melanosome","5/45","112/19518",5.7861542504082e-06,7.5702184776174e-05,4.16197060117081e-05,"1508/1509/8836/302/5034",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0048770","GO:0048770","pigment granule","5/45","112/19518",5.7861542504082e-06,7.5702184776174e-05,4.16197060117081e-05,"1508/1509/8836/302/5034",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:1904724","GO:1904724","tertiary granule lumen","4/45","55/19518",7.71552366449493e-06,9.31797857942849e-05,5.12285781772133e-05,"1520/1509/2495/8836",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005767","GO:0005767","secondary lysosome","3/45","18/19518",9.12149169023761e-06,0.000102291013954807,5.62377683157507e-05,"2495/3920/2512",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
