"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0034362","GO:0034362","low-density lipoprotein particle","1/1","12/19518",0.000614817091915132,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0042627","GO:0042627","chylomicron","1/1","12/19518",0.000614817091915132,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","1/1","20/19518",0.00102469515319181,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","1/1","20/19518",0.00102469515319181,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0071682","GO:0071682","endocytic vesicle lumen","1/1","23/19518",0.00117839942617048,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034364","GO:0034364","high-density lipoprotein particle","1/1","27/19518",0.00138333845680905,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0005790","GO:0005790","smooth endoplasmic reticulum","1/1","32/19518",0.00163951224510706,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0070971","GO:0070971","endoplasmic reticulum exit site","1/1","32/19518",0.00163951224510706,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034358","GO:0034358","plasma lipoprotein particle","1/1","36/19518",0.0018444512757454,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:1990777","GO:1990777","lipoprotein particle","1/1","36/19518",0.0018444512757454,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0031904","GO:0031904","endosome lumen","1/1","39/19518",0.00199815554872396,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0032994","GO:0032994","protein-lipid complex","1/1","39/19518",0.00199815554872396,0.0044958499846289,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0030669","GO:0030669","clathrin-coated endocytic vesicle membrane","1/1","73/19518",0.00374013730915046,0.00776797748823557,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","1/1","92/19518",0.00471359770468271,0.00890524131570818,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0043202","GO:0043202","lysosomal lumen","1/1","98/19518",0.00502100625064017,0.00890524131570818,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0005811","GO:0005811","lipid droplet","1/1","103/19518",0.00527718003893818,0.00890524131570818,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane","1/1","136/19518",0.00696792704170501,0.0110667076544727,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0005775","GO:0005775","vacuolar lumen","1/1","176/19518",0.00901731734808886,0.0135259760221333,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0030666","GO:0030666","endocytic vesicle membrane","1/1","196/19518",0.0100420125012808,0.0139717184137716,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0030662","GO:0030662","coated vesicle membrane","1/1","202/19518",0.0103494210472382,0.0139717184137716,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0030136","GO:0030136","clathrin-coated vesicle","1/1","215/19518",0.0110154728968131,0.0141627508673312,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","1/1","312/19518",0.0159852443897939,0.0187652868923667,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0030135","GO:0030135","coated vesicle","1/1","312/19518",0.0159852443897939,0.0187652868923667,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0031983","GO:0031983","vesicle lumen","1/1","327/19518",0.0167537657546879,0.0188479864740239,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0030139","GO:0030139","endocytic vesicle","1/1","347/19518",0.0177784609078797,0.0192007377805101,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0005769","GO:0005769","early endosome","1/1","423/19518",0.0216723024900093,0.0225058525857789,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0043025","GO:0043025","neuronal cell body","1/1","500/19518",0.0256173788297981,0.0256173788297981,NA,"338",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
