"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0008238","GO:0008238","exopeptidase activity","2/6","102/18369",0.000451390542218937,0.0221181365687279,0.00617692320931177,"63929/5476",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0008236","GO:0008236","serine-type peptidase activity","2/6","190/18369",0.00155338497755906,0.0256881195995476,0.00717391095153852,"5476/1520",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0017171","GO:0017171","serine hydrolase activity","2/6","194/18369",0.00161871137029914,0.0256881195995476,0.00717391095153852,"5476/1520",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0070008","GO:0070008","serine-type exopeptidase activity","1/6","10/18369",0.0032623738518579,0.0256881195995476,0.00717391095153852,"5476",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0044548","GO:0044548","S100 protein binding","1/6","14/18369",0.00456483757238113,0.0256881195995476,0.00717391095153852,"6282",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0102991","GO:0102991","myristoyl-CoA hydrolase activity","1/6","15/18369",0.00489023179600212,0.0256881195995476,0.00717391095153852,"570",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0016290","GO:0016290","palmitoyl-CoA hydrolase activity","1/6","17/18369",0.00554075433070433,0.0256881195995476,0.00717391095153852,"570",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0098641","GO:0098641","cadherin binding involved in cell-cell adhesion","1/6","18/18369",0.00586588268042176,0.0256881195995476,0.00717391095153852,"6282",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0008656","GO:0008656","cysteine-type endopeptidase activator activity involved in apoptotic process","1/6","21/18369",0.00684073629079218,0.0256881195995476,0.00717391095153852,"1520",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0047617","GO:0047617","acyl-CoA hydrolase activity","1/6","22/18369",0.00716551041234503,0.0256881195995476,0.00717391095153852,"570",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0120020","GO:0120020","cholesterol transfer activity","1/6","22/18369",0.00716551041234503,0.0256881195995476,0.00717391095153852,"338",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
