"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051082","GO:0051082","unfolded protein binding","5/45","122/18369",1.17562303458648e-05,0.00209808938503811,0.00135908624132023,"80273/3329/3313/10726/811",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0044183","GO:0044183","protein folding chaperone","4/45","67/18369",2.15188654875703e-05,0.00209808938503811,0.00135908624132023,"3315/3329/3313/811",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0008238","GO:0008238","exopeptidase activity","4/45","102/18369",0.000112088005091161,0.00728572033092545,0.00471949495120677,"5476/1803/290/8836",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0008199","GO:0008199","ferric iron binding","2/45","11/18369",0.000318257764547009,0.0123927074758075,0.00802766476165667,"2495/2512",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0002020","GO:0002020","protease binding","4/45","138/18369",0.000357790272175036,0.0123927074758075,0.00802766476165667,"1803/5660/302/6318",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0004859","GO:0004859","phospholipase inhibitor activity","2/45","12/18369",0.000381314076178692,0.0123927074758075,0.00802766476165667,"308/302",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0016853","GO:0016853","isomerase activity","4/45","154/18369",0.000541781276185083,0.0147177428105117,0.00953376052502785,"5373/3329/2286/5034",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0015929","GO:0015929","hexosaminidase activity","2/45","15/18369",0.000603804833251764,0.0147177428105117,0.00953376052502785,"3074/3073",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0055102","GO:0055102","lipase inhibitor activity","2/45","16/18369",0.000688987809920436,0.0149280692149428,0.00967000434976051,"308/302",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0008234","GO:0008234","cysteine-type peptidase activity","4/45","185/18369",0.00107489653161547,0.0209604823665017,0.0135776403993533,"1508/1520/1509/8836",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0001846","GO:0001846","opsonin binding","2/45","21/18369",0.0011963719040559,0.0212084110264455,0.0137382419604505,"708/811",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","3/45","92/18369",0.00148160072409375,0.023641127861266,0.0153140909222775,"12/302/6318",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","3/45","94/18369",0.00157607519075106,0.023641127861266,0.0153140909222775,"3074/3073/2517",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0001848","GO:0001848","complement binding","2/45","26/18369",0.0018371708387175,0.0255891652535652,0.016575977492188,"708/811",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0008198","GO:0008198","ferrous iron binding","2/45","27/18369",0.00198105928400868,0.0256543711146985,0.0166182161066873,"2495/2512",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0051087","GO:0051087","chaperone binding","3/45","104/18369",0.00210497404018039,0.0256543711146985,0.0166182161066873,"80273/3329/811",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0061134","GO:0061134","peptidase regulator activity","4/45","230/18369",0.00238606017212874,0.0273695137391237,0.017729239669068,"1520/12/302/6318",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0033218","GO:0033218","amide binding","5/45","400/18369",0.00285160324876336,0.0308923685282697,0.0200112508685148,"5660/3929/290/2286/811",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0004197","GO:0004197","cysteine-type endopeptidase activity","3/45","118/18369",0.00301264798751664,0.0309192819771445,0.0200286846815511,"1508/1520/1509",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0030280","GO:0030280","structural constituent of skin epidermis","2/45","36/18369",0.0035063338682163,0.0325588144905799,0.0210907300343838,"3849/3858",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0043394","GO:0043394","proteoglycan binding","2/45","36/18369",0.0035063338682163,0.0325588144905799,0.0210907300343838,"1508/1520",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0001530","GO:0001530","lipopolysaccharide binding","2/45","37/18369",0.00370094122259093,0.0328037972002377,0.0212494232876034,"3929/3329",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0016798","GO:0016798","hydrolase activity, acting on glycosyl bonds","3/45","132/18369",0.00412923039394672,0.0350086924704179,0.0226776955273962,"3074/3073/2517",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0004177","GO:0004177","aminopeptidase activity","2/45","40/18369",0.00431428597150905,0.0350535735185111,0.0227067682711003,"1803/290",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone","2/45","41/18369",0.00452849454559909,0.0353222574556729,0.0228808145461849,"3329/3313",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0008375","GO:0008375","acetylglucosaminyltransferase activity","2/45","45/18369",0.00543349094762737,0.0407511821072053,0.0263975268710641,"3074/3073",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005506","GO:0005506","iron ion binding","3/45","152/18369",0.00611277263525147,0.0431313615440254,0.0279393435102999,"2495/2512/811",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","4/45","301/18369",0.0062103275941666,0.0431313615440254,0.0279393435102999,"3329/3313/203068/811",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005080","GO:0005080","protein kinase C binding","2/45","49/18369",0.00641440761423968,0.0431313615440254,0.0279393435102999,"3315/708",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005544","GO:0005544","calcium-dependent phospholipid binding","2/45","52/18369",0.00719901368967543,0.0467935889828903,0.0303116365881071,"308/302",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","4/45","320/18369",0.00768029542922171,0.0483115357644592,0.0312949219526861,"3329/3313/203068/811",4,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
