"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa01200","hsa01200","Carbon metabolism","35/205","116/8840",3.63877553495502e-30,8.04169393225059e-28,6.3582814610793e-28,"189/48/2027/26275/54363/2271/38/2653/8801/4191/2023/2806/2597/25796/4199/5230/847/7167/2098/6888/2805/1892/1738/6470/2821/50/39/7086/1373/5223/2875/2203/4190/226/26007",35,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa03050","hsa03050","Proteasome","17/205","46/8840",8.07993677578825e-17,8.92833013724601e-15,7.0593131830571e-15,"5692/5693/5687/5721/5689/5691/5688/5694/5685/5699/5683/5696/5720/5682/5684/5686/5690",17,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00620","hsa00620","Pyruvate metabolism","17/205","47/8840",1.24035166434447e-16,9.13725726067093e-15,7.22450443091866e-15,"2739/2271/38/127/4191/126/4199/5106/130/217/9380/125/124/3939/1738/39/4190",17,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","19/205","67/8840",3.43578192610571e-16,1.89826951417341e-14,1.50089420982513e-14,"2027/127/126/2023/2597/5106/130/217/5230/125/124/7167/3939/1738/2821/5223/2203/226/55276",19,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa01230","hsa01230","Biosynthesis of amino acids","19/205","75/8840",3.46918120005262e-15,1.53337809042326e-13,1.21238753517628e-13,"5009/48/2027/2023/2806/2597/5230/1491/7167/6888/2805/6470/50/7086/1373/5223/2875/435/226",19,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","13/205","31/8840",5.48201829891527e-14,2.01921007343379e-12,1.59651760985953e-12,"189/48/54363/38/2653/4191/9380/847/1738/6470/50/39/4190",13,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00350","hsa00350","Tyrosine metabolism","13/205","36/8840",5.54619642065236e-13,1.75101344137739e-11,1.38446406891472e-11,"127/126/2806/130/125/124/2805/1312/2184/3081/4282/3242/316",13,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00071","hsa00071","Fatty acid degradation","13/205","43/8840",7.61055758517805e-12,2.10241653290544e-10,1.66230599886784e-10,"38/127/3033/10449/126/130/217/125/124/1892/39/1632/36",13,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","12/205","48/8840",5.87176416525605e-10,1.44184431169065e-08,1.14001503091521e-08,"26275/38/18/3033/10449/217/3155/1892/1738/39/36/316",12,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00270","hsa00270","Cysteine and methionine metabolism","12/205","52/8840",1.60330193141488e-09,3.54329726842689e-08,2.80155916436706e-08,"4191/2806/2937/7263/1491/55256/3939/2805/191/4357/4190/2729",12,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","9/205","37/8840",1.15339886997016e-07,2.31728318421277e-06,1.83219342023967e-06,"189/18/2806/2805/56954/8659/1373/2875/435",9,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","8/205","30/8840",2.75478353307562e-07,5.0733930067476e-06,4.01135146044344e-06,"48/2271/8801/4191/5106/1738/50/4190",8,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00260","hsa00260","Glycine, serine and threonine metabolism","9/205","41/8840",2.99714634420668e-07,5.09514878515136e-06,4.028552980877e-06,"189/29958/2653/9380/1491/1738/6470/5223/2628",9,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00380","hsa00380","Tryptophan metabolism","8/205","42/8840",4.37337821640636e-06,6.52493255911409e-05,5.15903217343624e-05,"38/3033/217/847/1892/1738/39/316",8,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa05012","hsa05012","Parkinson disease","20/205","271/8840",4.42868725731725e-06,6.52493255911409e-05,5.15903217343624e-05,"506/5692/5693/4729/5687/203068/7317/5689/5691/5688/5694/5685/11315/5683/5682/6263/5684/3309/5686/5690",20,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00030","hsa00030","Pentose phosphate pathway","7/205","31/8840",5.33502328844222e-06,7.36900091716082e-05,5.82640701237769e-05,"25796/6888/2821/7086/2203/226/55276",7,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","7/205","33/8840",8.33258962800163e-06,0.000108323665164021,8.56476704797691e-05,"189/48/2806/2805/1738/50/2875",7,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00220","hsa00220","Arginine biosynthesis","6/205","23/8840",1.04953610646068e-05,0.000128859710848784,0.000101884791621329,"5009/2806/2805/1373/2875/435",6,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa05020","hsa05020","Prion disease","19/205","278/8840",2.31322064022386e-05,0.000269064084994459,0.000212739405139701,"506/5692/5693/4729/5687/203068/5689/5691/5688/5694/5685/5683/5682/6263/5684/3309/5686/3312/5690",19,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa05017","hsa05017","Spinocerebellar ataxia","13/205","144/8840",2.79475223967299e-05,0.000299722671052011,0.000236980059036122,"5692/5693/5687/5689/5691/5688/5694/5685/5683/5682/5684/5686/5690",13,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00650","hsa00650","Butanoate metabolism","6/205","27/8840",2.84804348058472e-05,0.000299722671052011,0.000236980059036122,"38/18/3033/3155/1892/39",6,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00640","hsa00640","Propanoate metabolism","6/205","32/8840",7.91493884270159e-05,0.000795091583744114,0.00062865064492271,"26275/18/8801/3939/1892/1738",6,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa04612","hsa04612","Antigen processing and presentation","9/205","80/8840",9.07684730341573e-05,0.000872166632197772,0.00068959114524806,"5721/3320/5720/3326/811/3309/3106/1508/3312",9,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00051","hsa00051","Fructose and mannose metabolism","6/205","34/8840",0.000113014624098753,0.00104067633024269,0.000822825771947065,"57016/6652/7167/2203/226/26007",6,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","21/205","371/8840",0.000135434815847787,0.00114188314641031,0.000902846402972664,"506/5692/5693/4729/5687/203068/9973/847/5689/5691/5216/5688/5694/5685/5683/7415/5682/5684/3309/5686/5690",21,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00330","hsa00330","Arginine and proline metabolism","7/205","50/8840",0.000139506085760535,0.00114188314641031,0.000902846402972664,"2806/217/51056/55748/2805/8659/2628",7,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","7/205","50/8840",0.000139506085760535,0.00114188314641031,0.000902846402972664,"3074/7358/7360/2821/5238/3073/55276",7,"Upres_DEq_MS_CTRL_vs_HBV"
"hsa04141","hsa04141","Protein processing in endoplasmic reticulum","13/205","170/8840",0.000155572258822657,0.00122790961427883,0.000970864472351919,"6500/5034/7184/26232/5589/3320/7415/3326/9601/811/10961/3309/3312",13,"Upres_DEq_MS_CTRL_vs_HBV"
