"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","16/66","47/10955",5.52945379037444e-25,1.84130811219469e-22,1.46676037386775e-22,"C3/C4A/C1R/CLU/C4B/C1S/VTN/SERPING1/CFHR2/F2/CFB/C4BPA/CPN2/C8B/CPB2/CFH",16,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","20/66","125/10955",7.61116955990019e-24,1.26725973172338e-21,1.00948143636571e-21,"C3/ALB/CP/C4A/KNG1/APOE/FN1/APOA2/APOA1/FGG/PLG/C4B/SERPIND1/FGA/IGFBP2/APOB/AHSG/F2/CST3/IGFBP3",20,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-166658","R-HSA-166658","Complement cascade","16/66","58/10955",2.80466586238845e-23,3.11317910725118e-21,2.47991507832242e-21,"C3/C4A/C1R/CLU/C4B/C1S/VTN/SERPING1/CFHR2/F2/CFB/C4BPA/CPN2/C8B/CPB2/CFH",16,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","17/66","108/10955",3.59489469708409e-20,2.99274983532251e-18,2.38398279911892e-18,"C3/ALB/CP/C4A/KNG1/APOE/FN1/APOA2/APOA1/FGG/C4B/SERPIND1/FGA/APOB/AHSG/CST3/IGFBP3",17,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-114608","R-HSA-114608","Platelet degranulation ","17/66","129/10955",8.45083061423509e-19,5.62825318908057e-17,4.48338803113104e-17,"ALB/KNG1/APOH/SERPINA4/FN1/APOA1/ITIH4/FGG/PLG/HRG/CLU/FGB/A1BG/FGA/AHSG/SERPING1/LGALS3BP",17,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-76005","R-HSA-76005","Response to elevated platelet cytosolic Ca2+","17/66","134/10955",1.64829594219732e-18,9.14804247919514e-17,7.28720311287238e-17,"ALB/KNG1/APOH/SERPINA4/FN1/APOA1/ITIH4/FGG/PLG/HRG/CLU/FGB/A1BG/FGA/AHSG/SERPING1/LGALS3BP",17,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-76002","R-HSA-76002","Platelet activation, signaling and aggregation","18/66","263/10955",9.59416169446462e-15,4.5640797775096e-13,3.63568232632344e-13,"ALB/KNG1/APOH/SERPINA4/FN1/APOA1/ITIH4/FGG/PLG/HRG/CLU/FGB/A1BG/FGA/AHSG/SERPING1/LGALS3BP/F2",18,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-8963899","R-HSA-8963899","Plasma lipoprotein remodeling","8/66","34/10955",1.7972953409783e-11,6.99181274339897e-10,5.56958056373176e-10,"ALB/APOE/APOA2/APOA1/APOB/FGF21/LPA/APOC2",8,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-174824","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","10/66","75/10955",1.88967911983756e-11,6.99181274339897e-10,5.56958056373176e-10,"ALB/APOE/APOA2/APOA1/APOC1/APOB/APOBR/FGF21/LPA/APOC2",10,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-140877","R-HSA-140877","Formation of Fibrin Clot (Clotting Cascade)","8/66","39/10955",5.94812304756272e-11,1.98072497483839e-09,1.57781790314295e-09,"KNG1/FGG/SERPIND1/FGB/FGA/SERPING1/F2/KLKB1",8,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-8963898","R-HSA-8963898","Plasma lipoprotein assembly","6/66","19/10955",9.67215212002932e-10,2.92802423269978e-08,2.33242328636114e-08,"APOE/APOA2/APOA1/APOC1/APOB/APOC2",6,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-8963888","R-HSA-8963888","Chylomicron assembly","5/66","10/10955",1.674949111296e-09,4.29044656970438e-08,3.41770992750278e-08,"APOE/APOA2/APOA1/APOB/APOC2",5,"Downres_DEq_MS_CTRL_vs_HBV"
"R-HSA-8963901","R-HSA-8963901","Chylomicron remodeling","5/66","10/10955",1.674949111296e-09,4.29044656970438e-08,3.41770992750278e-08,"APOE/APOA2/APOA1/APOB/APOC2",5,"Downres_DEq_MS_CTRL_vs_HBV"
