Significant	-Log(P-value)	Difference	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Symbol color	Symbol type	Symbol size	Show label	B_1	B_2	B_3	B_4	BM_1	BM_2	BM_3	BM_4	C_1	C_2	C_3	C_4	CM_1	CM_2	CM_3	CM_4
	1.13178596100758	-0.25773811340332	A0A024R6I7;A0A0G2JRN3	A0A024R6I7;A0A0G2JRN3	A0A024R6I7_HUMAN;A0A0G2JRN3_HUMAN	SERPINA1	Alpha-1-antitrypsin	Color2 [DarkGray]	1	4		19.7116470336914	19.325511932373	19.3955612182617	19.4146766662598	19.3506412506104	19.3739604949951	19.1991062164307	19.2437114715576	18.9975700378418	18.9659194946289	19.0427646636963	18.7883014678955	19.1925525665283	18.9452285766602	19.4600830078125	19.2276439666748
	0.088787939932323	-0.127201080322266	A0A087WTE4;A0A087WTF6;A0A087WVD0;H7BYX6	A0A087WVD0;H7BYX6;A0A087WTF6;A0A087WTE4	A0A087WTE4_HUMAN;A0A087WTF6_HUMAN;A0A087WVD0_HUMAN;H7BYX6_HUMAN	NCAM1	Neural cell adhesion molecule 1	Color2 [DarkGray]	1	4		15.3642339706421	14.6109848022461	15.9560451507568	16.1383399963379	14.1763134002686	15.9323720932007	15.0002374649048	15.9540185928345	15.1613445281982	15.0104455947876	14.1183471679688	15.2731981277466	15.3647298812866	15.4975872039795	13.6748542785645	15.5349683761597
	1.23748270676777	0.338286876678467	A0A087WWU8	A0A087WWU8;J3KN67	A0A087WWU8_HUMAN	TPM3	Tropomyosin alpha-3 chain	Color2 [DarkGray]	1	4		17.695405960083	16.7403335571289	17.2087383270264	17.5373401641846	16.9657287597656	16.7121238708496	17.7006435394287	17.2677555084229	18.1286640167236	18.0171012878418	17.9756355285645	17.9822864532471	17.8885116577148	17.9146137237549	17.6356048583984	17.3118095397949
+	1.9451843208173	0.766519546508789	A0A0B4J2D5;P0DPI2	P0DPI2;A0A0B4J2D5;A0A096LP12;F2Z2Q0;A0A2R8Y6K9;H7C1F6;A0A096LNJ1;A0A096LNH5;A0A096LPI6;A0A096LP73;H7C2G3;A0A2R8YDR7	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	Color2 [DarkGray]	1	4		16.5912017822266	15.8864631652832	16.3825645446777	17.0815982818604	15.8617658615112	11.8858861923218	17.3270969390869	13.5784139633179	17.9885234832764	17.3947467803955	17.8792667388916	17.616153717041	17.0596828460693	17.3227634429932	16.8997459411621	16.5304203033447
	0.0208200966262684	0.00961589813232422	A0A140T951;A0A140T9D4;A0A140T9S9;A0A140TA02;A0A140TA21;A0A1W2PNR7;Q5SS57;S6AU73	P10321;A0A1W2PR11;A0A140T912;A0A1W2PRX1;O19617;A0A140T933;A0A140T9M5;A0A1W2PQS8;A0A1W2PP77;A2AEA2;A0A140T942;A0A140T955;A0A1W2PNR7;A0A140T930;A0A140TA05;Q5QT33;A0A140T975;A0A140T9Q4;A0A140T921;A0A140TA21;A0A140TA02;A0A140T941;A0A1W2PRT9;A0A1W2PRZ0;A0A140T9J9;A0A1W2PS39;A0A140T913;Q9GJ45;S6AU73;B0UXQ0;A0A140T962;A0A140T9U8;A0A140T9B3;O78179;A0A140T9H5;A0A140T9S9;A0A1W2PRU9;A0A140TA19;A0A140T9X5;A0A140T937;Q53Z42;A0A140T9Z6;A0A140T9S7;A0A140T9L3;Q5SS57;A2BF26;Q5RJ27;A0A1W2PPQ2;A0A0G2JIF0;A0A1W2PS56;Q5RIP0;A0A140T9I0;A0A0G2JH50;A0A140T9E1;A0A140T9D4;A0A140T951	A0A140T951_HUMAN;A0A140T9D4_HUMAN;A0A140T9S9_HUMAN;A0A140TA02_HUMAN;A0A140TA21_HUMAN;A0A1W2PNR7_HUMAN;Q5SS57_HUMAN;S6AU73_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain (Fragment)	Color2 [DarkGray]	1	4		16.926549911499	16.8621158599854	16.7106990814209	16.9486751556396	16.7249126434326	16.5581970214844	17.2235584259033	16.8276653289795	16.7370891571045	16.6909809112549	17.0949440002441	16.97287940979	16.5290145874023	16.8431720733643	17.1096973419189	16.9755458831787
	0.82486560863244	-0.287930011749268	A0A140T953;A0A140TA13;D9J307	P04439;D9J307;A0A140T912;Q5SRN5;A0A0G2JL56;A0A140T933;A0A140T9M5;A0A1W2PQS8;A0A1W2PPF8;A0A1W2PS24;A0A140T955;A0A140T953;A0A140T930;A0A0G2JI36;A0A0G2JPD3;A0A0G2JIF2;A0A140T975;A0A140T941;A0A1W2PRT9;A0A1W2PRZ0;Q5SRN7;A0A140T9Z4;A0A1W2PS39;A0A140T913;Q9GJ45;B0UXQ0;A0A140T8Y4;A0A1W2PR61;O78179;A0A140T9X5;Q5SUL5;A0A140T937;Q53Z42;A0A140T8W8;A0A140T9Z6;A0A1W2PQD0;Q5SPM2;Q5RJ27;A0A1W2PSE7;A0A140TA13;A0A1W2PPQ2;A0A140T9I0	A0A140T953_HUMAN;A0A140TA13_HUMAN;D9J307_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain (Fragment)	Color2 [DarkGray]	1	4		17.9909839630127	17.9887294769287	18.1843566894531	18.0256366729736	18.1176738739014	17.981990814209	18.153938293457	17.9492340087891	17.8233489990234	18.0090198516846	17.9627380371094	17.8851776123047	17.8061599731445	18.1429538726807	18.254861831665	18.6280288696289
+	3.21040855679213	-0.826742172241211	A0A140TA44	P0C0L5;A0A3B3ISA6;A0A140TA44;F5GXS0;A0A0G2JL54	A0A140TA44_HUMAN	C4A	C4a anaphylatoxin	Color2 [DarkGray]	1	4		18.466833114624	17.8839626312256	18.0789699554443	18.0432090759277	17.9818572998047	18.0392456054688	18.0995273590088	17.6061668395996	16.3673305511475	16.6796455383301	16.8322467803955	16.7200164794922	17.3307952880859	17.3770751953125	17.5208721160889	17.6774654388428
	0.668020320206496	-0.30668306350708	A0A494C071	A0A494C071	A0A494C071_HUMAN		Uncharacterized protein	Color2 [DarkGray]	1	4		20.0248584747314	20.0762672424316	19.8024082183838	20.0925140380859	19.5523071289063	20.5065040588379	19.9634017944336	20.0306072235107	19.8283748626709	19.6982173919678	19.5668506622314	19.3770027160645	19.4564819335938	20.2350387573242	20.2744541168213	19.7312030792236
+	3.47995514304237	-1.71514821052551	A0A6Q8PFV8	A0A6Q8PFV8	A0A6Q8PFV8_HUMAN	GNB4	Guanine nucleotide-binding protein subunit beta-4	Color2 [DarkGray]	1	4		15.8949480056763	16.0535926818848	15.6999197006226	15.0266056060791	17.9007892608643	18.2448463439941	18.2739772796631	18.2375736236572	16.0132026672363	16.5196514129639	15.6514158248901	16.3099994659424	17.6121997833252	18.0580234527588	17.5853519439697	18.0992870330811
	0.0361818601895031	-0.0168166160583496	A4D2H0;Q86UF2	Q86UF2;A4D2H0;A0A2R8YE69	CTGE6_HUMAN;CTGEF_HUMAN	CTAGE15;CTAGE6	cTAGE family member 15	Color2 [DarkGray]	1	4		17.7640609741211	17.9954242706299	17.6425457000732	17.9894332885742	18.9734897613525	13.2588510513306	16.2671966552734	14.8916654586792	19.5714645385742	19.706636428833	19.1750831604004	19.121753692627	19.6171474456787	19.3751010894775	19.327054977417	19.3229007720947
