"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0044282","GO:0044282","small molecule catabolic process","51/231","388/18614",1.42710174113241e-37,3.87315412543337e-34,3.16666365295487e-34,"38/5106/5009/189/57016/2806/1892/7263/1666/6342/18/2653/3033/10449/217/54363/6652/2108/2023/36/7167/11112/2109/39/1632/2184/2805/9615/5860/10247/4357/127/1806/3081/160428/51181/10380/11315/2098/8644/23475/6470/5230/3242/10840/6817/3029/4835/23576/3155/2168",51,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0016054","GO:0016054","organic acid catabolic process","36/231","250/18614",6.11940267848223e-28,5.53601962313359e-25,4.5262108232423e-25,"38/5106/5009/189/2806/1892/7263/1666/6342/18/2653/3033/10449/54363/6652/2108/36/11112/2109/39/1632/2184/2805/5860/10247/4357/3081/160428/51181/23475/6470/3242/10840/23576/3155/2168",36,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0046395","GO:0046395","carboxylic acid catabolic process","36/231","250/18614",6.11940267848223e-28,5.53601962313359e-25,4.5262108232423e-25,"38/5106/5009/189/2806/1892/7263/1666/6342/18/2653/3033/10449/54363/6652/2108/36/11112/2109/39/1632/2184/2805/5860/10247/4357/3081/160428/51181/23475/6470/3242/10840/23576/3155/2168",36,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006520","GO:0006520","amino acid metabolic process","35/231","290/18614",1.62143495207611e-24,1.10014361498364e-21,8.99469704993799e-22,"38/5009/189/2806/1892/7263/1373/18/2653/54363/2108/5092/36/11112/2109/2937/29968/2184/2805/5860/10247/4357/1806/3081/11315/56954/2729/4522/435/6470/95/3242/23576/3155/55256",35,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","28/231","206/18614",3.47207106806737e-21,1.88464017574697e-18,1.5408685918918e-18,"38/5009/189/2806/7263/1373/2653/54363/5092/36/11112/29968/2184/2805/5860/10247/4357/3081/11315/56954/2729/4522/435/6470/3242/23576/3155/55256",28,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0009063","GO:0009063","amino acid catabolic process","20/231","113/18614",9.37418181993162e-18,4.2402549098824e-15,3.46680268007296e-15,"38/5009/189/2806/1892/18/2653/2108/36/11112/2109/2184/2805/5860/10247/3081/6470/3242/23576/3155",20,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","16/231","85/18614",6.92219496386232e-15,2.6838338759889e-12,2.19428375696568e-12,"4837/7086/4199/6888/29968/5223/4191/160428/51181/3418/23475/7415/2819/10840/55163/25796",16,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:1901606","GO:1901606","alpha-amino acid catabolic process","16/231","93/18614",3.06930859324059e-14,1.04126294025687e-11,8.51329278230417e-12,"38/5009/189/2806/2653/36/11112/2184/2805/5860/10247/3081/6470/3242/23576/3155",16,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0008652","GO:0008652","amino acid biosynthetic process","15/231","78/18614",3.5322579732292e-14,1.06517201548267e-11,8.70877170475691e-12,"5009/189/2806/1373/18/54363/5092/29968/2805/1806/11315/4522/435/6470/55256",15,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0072329","GO:0072329","monocarboxylic acid catabolic process","18/231","131/18614",4.29870835225996e-14,1.07368586548085e-11,8.77838034531915e-12,"38/5106/189/1892/1666/6342/3033/10449/54363/6652/2108/2109/39/1632/2184/160428/51181/2168",18,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","16/231","95/18614",4.35171131919284e-14,1.07368586548085e-11,8.77838034531915e-12,"5106/2806/4199/2271/2805/4191/160428/3418/56954/2729/4522/23475/435/6470/10840/9380",16,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006081","GO:0006081","cellular aldehyde metabolic process","14/231","69/18614",1.16980528310382e-13,2.64570961528647e-11,2.16311362875689e-11,"189/217/2739/7086/7167/6888/127/11315/2098/8644/3418/55163/3029/9380",14,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006066","GO:0006066","alcohol metabolic process","26/231","366/18614",7.4920832317237e-13,1.52674525539792e-10,1.2482562147069e-10,"5106/57016/10449/217/54363/6652/5092/50/126/7167/2805/5860/125/1109/124/127/10380/11315/8644/3418/847/1646/6647/2819/6817/3158",26,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","14/231","79/18614",8.4381646392663e-13,1.52674525539792e-10,1.2482562147069e-10,"4837/7086/4199/6888/5223/4191/160428/51181/3418/23475/7415/2819/10840/25796",14,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","14/231","79/18614",8.4381646392663e-13,1.52674525539792e-10,1.2482562147069e-10,"4837/7086/4199/6888/5223/4191/160428/51181/3418/23475/7415/2819/10840/25796",14,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:1990748","GO:1990748","cellular detoxification","16/231","115/18614",9.48906477924026e-13,1.60958261317863e-10,1.315983457542e-10,"6648/57016/10935/7295/127/11315/2098/25824/847/6647/7001/2938/9588/2936/5052/2168",16,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:1901607","GO:1901607","alpha-amino acid biosynthetic process","13/231","70/18614",2.99959095216246e-12,4.70313246589572e-10,3.84524812399961e-10,"5009/189/2806/1373/54363/5092/29968/2805/11315/4522/435/6470/55256",13,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0097237","GO:0097237","cellular response to toxic substance","16/231","124/18614",3.11924776662207e-12,4.70313246589572e-10,3.84524812399961e-10,"6648/57016/10935/7295/127/11315/2098/25824/847/6647/7001/2938/9588/2936/5052/2168",16,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006631","GO:0006631","fatty acid metabolic process","26/231","394/18614",4.0201755363189e-12,5.74250337135237e-10,4.69503048784501e-10,"38/5106/1892/1666/6342/8824/3033/10449/54363/2108/22949/36/2109/4706/39/1632/3248/1109/127/160428/8644/1646/2938/873/4282/2168",26,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0098754","GO:0098754","detoxification","16/231","144/18614",3.1718105301779e-11,4.30414688945141e-09,3.51904031453422e-09,"6648/57016/10935/7295/127/11315/2098/25824/847/6647/7001/2938/9588/2936/5052/2168",16,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0009069","GO:0009069","serine family amino acid metabolic process","10/231","40/18614",4.36345187723638e-11,5.38291290673615e-09,4.40103184555708e-09,"189/7263/2653/54363/29968/10247/4357/2729/4522/6470",10,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0045454","GO:0045454","cell redox homeostasis","10/231","40/18614",4.36345187723638e-11,5.38291290673615e-09,4.40103184555708e-09,"10935/7295/25824/2729/7001/9588/2936/5052/25828/10539",10,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0009062","GO:0009062","fatty acid catabolic process","14/231","105/18614",4.68096401837742e-11,5.52353754168535e-09,4.51600556097922e-09,"38/5106/1892/1666/6342/3033/10449/54363/2108/2109/39/1632/160428/2168",14,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0019395","GO:0019395","fatty acid oxidation","14/231","109/18614",7.82955284609251e-11,8.85391934345628e-09,7.23890236822939e-09,"38/1892/1666/6342/3033/10449/54363/2108/2109/39/1632/127/160428/2168",14,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","22/231","328/18614",1.45404485030742e-10,1.57851108949374e-08,1.29057959766234e-08,"5009/189/2806/1373/6342/18/54363/5092/4706/29968/2805/1109/1806/11315/8644/4522/7358/435/6470/873/4282/55256",22,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006635","GO:0006635","fatty acid beta-oxidation","12/231","76/18614",1.54434475539239e-10,1.61205833312883e-08,1.31800758881262e-08,"38/1892/1666/6342/3033/10449/2108/2109/39/1632/160428/2168",12,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0016053","GO:0016053","organic acid biosynthetic process","22/231","331/18614",1.73086223302847e-10,1.73983707423677e-08,1.42247859151034e-08,"5009/189/2806/1373/6342/18/54363/5092/4706/29968/2805/1109/1806/11315/8644/4522/7358/435/6470/873/4282/55256",22,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0034440","GO:0034440","lipid oxidation","14/231","116/18614",1.83107888947837e-10,1.77483860930154e-08,1.45109560113549e-08,"38/1892/1666/6342/3033/10449/54363/2108/2109/39/1632/127/160428/2168",14,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0009636","GO:0009636","response to toxic substance","19/231","242/18614",1.95177522654426e-10,1.82659240166935e-08,1.49340913885855e-08,"10765/6648/57016/1373/10935/4357/7295/127/11315/2098/25824/847/6647/7001/2938/9588/2936/5052/2168",19,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0098869","GO:0098869","cellular oxidant detoxification","13/231","99/18614",2.84696034866633e-10,2.57555012876014e-08,2.10575172455741e-08,"6648/10935/7295/11315/25824/847/6647/7001/2938/9588/2936/5052/2168",13,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0044242","GO:0044242","cellular lipid catabolic process","18/231","222/18614",3.53480785970363e-10,3.09466726814053e-08,2.53017825747207e-08,"38/5106/57016/1892/1373/1666/6342/3033/10449/54363/2108/2109/39/1632/160428/8644/9588/2168",18,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0034308","GO:0034308","primary alcohol metabolic process","13/231","107/18614",7.63827393692626e-10,6.47821108275559e-08,5.29653995363177e-08,"57016/217/54363/126/125/1109/124/127/11315/8644/1646/2819/6817",13,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006739","GO:0006739","NADP metabolic process","9/231","43/18614",2.33462813326714e-09,1.92005477384455e-07,1.56982331895602e-07,"7086/4199/6888/5223/160428/51181/3418/10840/25796",9,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0019693","GO:0019693","ribose phosphate metabolic process","24/231","473/18614",5.68843254175229e-09,4.49085850655157e-07,3.6716944233839e-07,"38/506/226/4729/3939/7086/2023/7167/2821/4706/2203/5836/9615/2597/5223/1806/10380/4522/5230/7415/2819/6817/3312/3158",24,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0016042","GO:0016042","lipid catabolic process","20/231","330/18614",5.92795989213121e-09,4.49085850655157e-07,3.6716944233839e-07,"38/5106/57016/1892/1373/1666/6342/3033/10449/54363/2108/2109/39/1632/3248/84681/160428/8644/9588/2168",20,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0022900","GO:0022900","electron transport chain","15/231","177/18614",5.95692359011999e-09,4.49085850655157e-07,3.6716944233839e-07,"6648/4729/217/2108/29958/2109/4199/4706/5860/1109/11315/54205/2819/2936/4835",15,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","20/231","337/18614",8.45996679833482e-09,6.20549997045425e-07,5.07357326056609e-07,"6648/506/7360/2632/4729/48/2108/50/2109/2271/4706/5836/4191/11315/3418/847/178/7415/54205/2819",20,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0046185","GO:0046185","aldehyde catabolic process","6/231","14/18614",9.46099062574893e-09,6.52659032316403e-07,5.33609448133645e-07,"189/217/127/11315/2098/3029",6,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006692","GO:0006692","prostanoid metabolic process","9/231","50/18614",9.61914564946798e-09,6.52659032316403e-07,5.33609448133645e-07,"8824/22949/3248/1109/8644/1646/2938/873/4282",9,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0006693","GO:0006693","prostaglandin metabolic process","9/231","50/18614",9.61914564946798e-09,6.52659032316403e-07,5.33609448133645e-07,"8824/22949/3248/1109/8644/1646/2938/873/4282",9,"Downres_DEq_MS_CTRL_vs_HBV"
