"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0010466","GO:0010466","negative regulation of peptidase activity","2/6","236/18614",0.00232175080098488,0.0442038882131258,0.0251774128971661,"6690/1508",2,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0090281","GO:0090281","negative regulation of calcium ion import","1/6","10/18614",0.00321948595699539,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:1900003","GO:1900003","regulation of serine-type endopeptidase activity","1/6","10/18614",0.00321948595699539,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:1902571","GO:1902571","regulation of serine-type peptidase activity","1/6","10/18614",0.00321948595699539,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0060736","GO:0060736","prostate gland growth","1/6","11/18614",0.00354095892432815,0.0442038882131258,0.0251774128971661,"5660",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0060742","GO:0060742","epithelial cell differentiation involved in prostate gland development","1/6","11/18614",0.00354095892432815,0.0442038882131258,0.0251774128971661,"5660",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0010749","GO:0010749","regulation of nitric oxide mediated signal transduction","1/6","12/18614",0.00386234548813269,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0030157","GO:0030157","pancreatic juice secretion","1/6","13/18614",0.00418364566698814,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:1901678","GO:1901678","iron coordination entity transport","1/6","13/18614",0.00418364566698814,0.0442038882131258,0.0251774128971661,"3934",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0045861","GO:0045861","negative regulation of proteolysis","2/6","330/18614",0.00448393668155044,0.0442038882131258,0.0251774128971661,"6690/1508",2,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0060046","GO:0060046","regulation of acrosome reaction","1/6","15/18614",0.00482598694415537,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","2/6","345/18614",0.00489087731399157,0.0442038882131258,0.0251774128971661,"6690/1508",2,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0010506","GO:0010506","regulation of autophagy","2/6","348/18614",0.0049742754681168,0.0442038882131258,0.0251774128971661,"5476/5660",2,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0042886","GO:0042886","amide transport","2/6","349/18614",0.00500222331030853,0.0442038882131258,0.0251774128971661,"6690/5660",2,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0060456","GO:0060456","positive regulation of digestive system process","1/6","16/18614",0.00514702807961054,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0061684","GO:0061684","chaperone-mediated autophagy","1/6","16/18614",0.00514702807961054,0.0442038882131258,0.0251774128971661,"5476",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:2001256","GO:2001256","regulation of store-operated calcium entry","1/6","16/18614",0.00514702807961054,0.0442038882131258,0.0251774128971661,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0035627","GO:0035627","ceramide transport","1/6","17/18614",0.00546798290440498,0.0443514168912848,0.0252614414881867,"5660",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0097067","GO:0097067","cellular response to thyroid hormone stimulus","1/6","18/18614",0.00578885143710228,0.0444827531482596,0.0253362472870405,"1508",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0006590","GO:0006590","thyroid hormone generation","1/6","21/18614",0.00675093946821326,0.0487162074237949,0.0277475154036035,"1508",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0002115","GO:0002115","store-operated calcium entry","1/6","22/18614",0.00707146301810802,0.0487162074237949,0.0277475154036035,"6690",1,"Downres_DEq_MS_HBV_vs_HBV.myr"
"GO:0052547","GO:0052547","regulation of peptidase activity","2/6","425/18614",0.007340798378928,0.0487162074237949,0.0277475154036035,"6690/1508",2,"Downres_DEq_MS_HBV_vs_HBV.myr"
