"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042572","GO:0042572","retinol metabolic process","4/34","53/18614",2.54940284549757e-06,0.00165201304388242,0.00126396709497827,"57016/126/127/124",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0006067","GO:0006067","ethanol metabolic process","3/34","21/18614",7.24063684288084e-06,0.00234596633709339,0.0017949157647352,"126/127/124",3,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0001523","GO:0001523","retinoid metabolic process","4/34","85/18614",1.69155637780325e-05,0.00314376948007621,0.00240532070356708,"57016/126/127/124",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0016101","GO:0016101","diterpenoid metabolic process","4/34","88/18614",1.94059844449148e-05,0.00314376948007621,0.00240532070356708,"57016/126/127/124",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0006721","GO:0006721","terpenoid metabolic process","4/34","99/18614",3.08859739372617e-05,0.00400282222226912,0.00306258815251585,"57016/126/127/124",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034308","GO:0034308","primary alcohol metabolic process","4/34","107/18614",4.19073618557302e-05,0.0040590468458959,0.00310560601757143,"57016/126/127/124",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0006066","GO:0006066","alcohol metabolic process","6/34","366/18614",4.68307879667244e-05,0.0040590468458959,0.00310560601757143,"57016/126/127/6652/5106/124",6,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0006090","GO:0006090","pyruvate metabolic process","4/34","112/18614",5.01116894555049e-05,0.0040590468458959,0.00310560601757143,"3939/5106/441531/4199",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0006720","GO:0006720","isoprenoid metabolic process","4/34","119/18614",6.34940602878029e-05,0.00419579679777674,0.00321023439206115,"57016/126/127/124",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0044282","GO:0044282","small molecule catabolic process","6/34","388/18614",6.47499505829744e-05,0.00419579679777674,0.00321023439206115,"57016/2806/127/189/6652/5106",6,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0046164","GO:0046164","alcohol catabolic process","3/34","54/18614",0.000129585568205775,0.0076337680179402,0.00584065096889187,"57016/127/6652",3,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0120254","GO:0120254","olefinic compound metabolic process","4/34","158/18614",0.000190040983343483,0.0102622131005481,0.00785169325919127,"57016/126/127/124",4,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0046185","GO:0046185","aldehyde catabolic process","2/34","14/18614",0.000290672939999899,0.0144889280861488,0.0110855833797533,"127/189",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:1901616","GO:1901616","organic hydroxy compound catabolic process","3/34","74/18614",0.000330324144806562,0.0152892889881894,0.011697945278488,"57016/127/6652",3,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0110096","GO:0110096","cellular response to aldehyde","2/34","17/18614",0.000432922234678736,0.0187022405381214,0.0143092191251708,"57016/127",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0043648","GO:0043648","dicarboxylic acid metabolic process","3/34","95/18614",0.000687109225838099,0.027827923646443,0.0212913450901148,"2806/5106/4199",3,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0019400","GO:0019400","alditol metabolic process","2/34","22/18614",0.000731133954443876,0.0278691060282136,0.0213228540274344,"6652/5106",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0042219","GO:0042219","cellular modified amino acid catabolic process","2/34","23/18614",0.000799849814551322,0.0287945933238476,0.0220309510323785,"2806/189",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0007018","GO:0007018","microtubule-based movement","5/34","417/18614",0.000897144127751606,0.0303507341101757,0.0232215655716257,"22858/54970/2319/6652/441531",5,"Upres_DEq_MS_HBV_vs_CTRL.myr"
