"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0005759","GO:0005759","mitochondrial matrix","43/235","484/19518",4.6450764395056e-25,1.26810586798503e-22,9.97469045956993e-23,"38/5106/6648/5009/3336/3329/708/2806/506/1892/7263/1373/1666/18/2653/3033/10449/3313/217/10935/2108/50/29958/36/11112/2109/2271/4706/1632/10247/4357/4191/160428/11315/25824/3418/6647/2936/3029/25828/3158/27068/3155",43,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0000502","GO:0000502","proteasome complex","20/235","60/19518",4.94916182921938e-24,6.75560589688446e-22,5.31383691137239e-22,"5690/5696/5687/3315/5689/5698/5685/5683/5693/5686/5887/5682/5720/5688/5694/5721/5691/7415/5684/5705",20,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0005839","GO:0005839","proteasome core complex","14/235","20/19518",3.31185094732337e-23,3.01378436206427e-21,2.37058804650515e-21,"5690/5696/5687/5689/5698/5685/5683/5693/5686/5682/5688/5694/5691/5684",14,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:1905369","GO:1905369","endopeptidase complex","20/235","90/19518",4.38331129168375e-20,2.99160995657416e-18,2.35314606185128e-18,"5690/5696/5687/3315/5689/5698/5685/5683/5693/5686/5887/5682/5720/5688/5694/5721/5691/7415/5684/5705",20,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0034774","GO:0034774","secretory granule lumen","30/235","322/19518",3.09372835374106e-18,1.68917568114262e-16,1.32867491402774e-16,"1938/3934/226/302/55313/2512/2799/1476/5689/2821/5683/87/5836/5686/5223/81567/23593/81/847/56954/178/1992/10694/10487/7415/6709/4282/9588/3312/2665",30,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","30/235","325/19518",4.01416292158515e-18,1.82644412932124e-16,1.43664778246205e-16,"1938/3934/226/302/55313/2512/2799/1476/5689/2821/5683/87/5836/5686/5223/81567/23593/81/847/56954/178/1992/10694/10487/7415/6709/4282/9588/3312/2665",30,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0031983","GO:0031983","vesicle lumen","30/235","327/19518",4.76786501174719e-18,1.85946735458141e-16,1.46262325172395e-16,"1938/3934/226/302/55313/2512/2799/1476/5689/2821/5683/87/5836/5686/5223/81567/23593/81/847/56954/178/1992/10694/10487/7415/6709/4282/9588/3312/2665",30,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:1905368","GO:1905368","peptidase complex","20/235","125/19518",4.24869940132772e-17,1.44986867070308e-15,1.14044036561955e-15,"5690/5696/5687/3315/5689/5698/5685/5683/5693/5686/5887/5682/5720/5688/5694/5721/5691/7415/5684/5705",20,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:0101002","GO:0101002","ficolin-1-rich granule","20/235","185/19518",9.82558312232683e-14,2.98042688043914e-12,2.34434965725693e-12,"1938/2495/226/3916/3920/2799/1476/5689/2821/5683/5836/5686/5269/5223/847/178/10694/7415/4282/3312",20,"Downres_DEq_MS_CTRL_vs_HBV"
"GO:1904813","GO:1904813","ficolin-1-rich granule lumen","17/235","124/19518",1.44833878117974e-13,3.95396487262068e-12,3.11011696169122e-12,"1938/2495/226/2799/1476/5689/2821/5683/5836/5686/5223/847/178/10694/7415/4282/3312",17,"Downres_DEq_MS_CTRL_vs_HBV"
