"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0072562","GO:0072562","blood microparticle","46/138","144/19518",1.73729382660797e-65,2.98814538176572e-63,2.17618910911946e-63,"718/1356/213/720/2335/715/3240/183/3827/259/2638/1191/348/3273/710/2244/7448/716/197/3700/2147/335/2266/5340/1/722/721/2243/3250/5444/629/3959/7018/1370/462/590/3075/2934/5345/8542/3263/735/3039/173/336/3697",46,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","45/138","415/19518",4.25688342681833e-41,3.66091974706376e-39,2.66615330416516e-39,"350/2335/183/3827/259/1191/348/3273/710/2244/7448/197/3700/2147/335/2266/5340/563/1/2243/3959/5176/462/2158/7057/2192/5345/4811/2267/3263/6694/1311/1293/5654/1281/1277/1280/176/3912/27329/2161/2202/2817/3697/3371",45,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","40/138","312/19518",2.51405598486716e-39,1.44139209799051e-37,1.04972863929541e-37,"718/1356/213/720/2335/3827/1191/348/710/338/3053/7448/197/2147/335/2266/255738/2243/7018/462/2158/7057/590/1471/8542/2159/6694/2153/3486/9563/1293/336/23071/1281/1277/1280/3487/3912/56886/3371",40,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0031983","GO:0031983","vesicle lumen","31/138","327/19518",2.92570543158658e-26,1.25805333558223e-24,9.16207753575797e-25,"718/213/350/2335/3240/3827/1191/3273/7276/710/338/2244/197/3700/335/2266/5340/1/2243/6414/3959/7018/3699/7057/2934/5345/3481/6694/2153/23071/23406",31,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0034774","GO:0034774","secretory granule lumen","30/138","322/19518",3.42511486144756e-25,1.17823951233796e-23,8.58081407394231e-24,"718/213/350/2335/3240/3827/1191/3273/7276/710/2244/197/3700/335/2266/5340/1/2243/6414/3959/7018/3699/7057/2934/5345/3481/6694/2153/23071/23406",30,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","30/138","325/19518",4.50994867812669e-25,1.29285195439632e-23,9.41550688942239e-24,"718/213/350/2335/3240/3827/1191/3273/7276/710/2244/197/3700/335/2266/5340/1/2243/6414/3959/7018/3699/7057/2934/5345/3481/6694/2153/23071/23406",30,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0031093","GO:0031093","platelet alpha granule lumen","16/138","67/19518",1.32109368843197e-20,3.24611592014713e-19,2.36406238982563e-19,"213/2335/3827/1191/3273/710/2244/197/2266/5340/1/2243/7057/5345/3481/2153",16,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0031091","GO:0031091","platelet alpha granule","17/138","91/19518",7.39061096482498e-20,1.58898135743737e-18,1.15721408528181e-18,"213/2335/3827/1191/3273/710/2244/197/2266/5340/1/2243/7057/5345/3481/2153/135228",17,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0034358","GO:0034358","plasma lipoprotein particle","13/138","36/19518",1.24565594242885e-19,2.14252822097763e-18,1.56034796998983e-18,"350/1191/348/338/335/341/3250/5444/8542/336/3949/344/6291",13,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:1990777","GO:1990777","lipoprotein particle","13/138","36/19518",1.24565594242885e-19,2.14252822097763e-18,1.56034796998983e-18,"350/1191/348/338/335/341/3250/5444/8542/336/3949/344/6291",13,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0034364","GO:0034364","high-density lipoprotein particle","12/138","27/19518",1.52142064360556e-19,2.37894864272869e-18,1.73252685731159e-18,"350/1191/348/338/335/341/3250/5444/8542/336/344/6291",12,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0032994","GO:0032994","protein-lipid complex","13/138","39/19518",4.30074654352062e-19,6.16440337904622e-18,4.48937577788556e-18,"350/1191/348/338/335/341/3250/5444/8542/336/3949/344/6291",13,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","8/138","20/19518",5.96660806309791e-13,7.33040419180600e-12,5.33854405645603e-12,"350/348/338/335/341/8542/336/344",8,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","8/138","20/19518",5.96660806309791e-13,7.33040419180600e-12,5.33854405645603e-12,"350/348/338/335/341/8542/336/344",8,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0042627","GO:0042627","chylomicron","6/138","12/19518",9.99244398455973e-11,1.14580024356285e-09,8.34456725728146e-10,"350/348/338/341/336/344",6,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0031089","GO:0031089","platelet dense granule lumen","6/138","14/19518",3.21000965386755e-10,3.45076037790762e-09,2.51309966322526e-09,"350/3700/6414/3959/3699/6694",6,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0042827","GO:0042827","platelet dense granule","6/138","21/19518",5.56927204123721e-09,5.63479288878118e-08,4.10367413564847e-08,"350/3700/6414/3959/3699/6694",6,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0071682","GO:0071682","endocytic vesicle lumen","6/138","23/19518",1.02408233041781e-08,9.78567560177015e-08,7.12665481401865e-08,"3240/348/338/335/3263/3039",6,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:1905370","GO:1905370","serine-type endopeptidase complex","5/138","17/19518",9.49526933749741e-08,8.59571750552397e-07,6.26003906461048e-07,"2147/2158/3075/2159/5648",5,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:1905286","GO:1905286","serine-type peptidase complex","5/138","18/19518",1.30727277307801e-07,1.12425458484709e-06,8.18765578927804e-07,"2147/2158/3075/2159/5648",5,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005604","GO:0005604","basement membrane","8/138","84/19518",1.41254895262643e-07,1.15694485643689e-06,8.42573059461381e-07,"2335/7448/5176/2192/4811/1280/3912/3371",8,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0009897","GO:0009897","external side of plasma membrane","15/138","426/19518",3.58363258473129e-07,2.80174911169901e-06,2.040441519536e-06,"2244/2147/2266/5340/255738/563/2243/7018/7057/2159/929/3949/6382/23308/7049",15,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0034362","GO:0034362","low-density lipoprotein particle","4/138","12/19518",1.1332962796206e-06,8.47508522151057e-06,6.17218568763622e-06,"348/338/3949/344",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0098637","GO:0098637","protein complex involved in cell-matrix adhesion","4/138","17/19518",5.30122255362909e-06,3.79920949676752e-05,2.76686615737659e-05,"7448/4811/3912/3371",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005796","GO:0005796","Golgi lumen","7/138","106/19518",1.03178983499543e-05,7.09871406476857e-05,5.16981012060869e-05,"7448/2147/2158/2159/6382/176/2817",7,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0046930","GO:0046930","pore complex","4/138","26/19518",3.16941221039416e-05,0.000209668807764537,0.000152696377747735,"729/735/727/730",4,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0005583","GO:0005583","fibrillar collagen trimer","3/138","12/19518",7.2613112782351e-05,0.000446051978520156,0.00032484813613157,"1281/1277/1280",3,"Upres_DEq_MS_CTRL_vs_HBV"
"GO:0098643","GO:0098643","banded collagen fibril","3/138","12/19518",7.2613112782351e-05,0.000446051978520156,0.00032484813613157,"1281/1277/1280",3,"Upres_DEq_MS_CTRL_vs_HBV"
