"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0045296","GO:0045296","cadherin binding","28/259","333/18369",3.44176367592856e-14,1.66925538282535e-11,1.24628074159939e-11,"3875/7534/7529/10397/7531/2023/832/2317/6709/5216/5797/1937/11315/3326/831/8407/5694/302/5052/51031/226/3312/1192/23499/1938/10694/9588/6711",28,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0044183","GO:0044183","protein folding chaperone","12/259","67/18369",1.44345279703096e-10,3.22245044354035e-08,2.40590982653908e-08,"3315/3329/3313/811/3336/3320/3326/10131/3311/3312/10694/22948",12,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone","10/259","41/18369",1.99326831559197e-10,3.22245044354035e-08,2.40590982653908e-08,"3329/3313/3336/3320/3326/10131/3311/3312/10694/22948",10,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016209","GO:0016209","antioxidant activity","12/259","82/18369",1.65379968984336e-09,1.84891608594071e-07,1.38041700176583e-07,"6648/10935/847/2954/25824/2878/11315/5052/2168/7295/9588/6647",12,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0051082","GO:0051082","unfolded protein binding","14/259","122/18369",1.90609905767084e-09,1.84891608594071e-07,1.38041700176583e-07,"3329/3313/811/821/4869/3336/3320/3326/10131/3311/5478/3312/10694/22948",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","14/259","133/18369",5.9438277632976e-09,4.80459410866556e-07,3.58715219399013e-07,"622/3418/3033/57016/4191/4190/54363/11112/22949/8644/2819/7358/1646/873",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","13/259","123/18369",1.99659257209294e-08,1.38335342495011e-06,1.03282382676687e-06,"622/3418/3033/57016/4191/4190/11112/22949/8644/2819/7358/1646/873",13,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0051287","GO:0051287","NAD binding","8/259","52/18369",6.1720017118346e-07,3.74177603779973e-05,2.79364288009356e-05,"3418/3033/217/11112/2597/5860/2819/7358",8,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016829","GO:0016829","lyase activity","14/259","198/18369",8.78427351413601e-07,4.66964901335987e-05,3.48640099966531e-05,"3155/1892/2023/7167/2805/2271/11315/435/48/2739/226/760/5106/50",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0004601","GO:0004601","peroxidase activity","8/259","55/18369",9.62814229558735e-07,4.66964901335987e-05,3.48640099966531e-05,"10935/847/2954/25824/2878/11315/5052/9588",8,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0051015","GO:0051015","actin filament binding","14/259","202/18369",1.11617923213785e-06,4.92133570533507e-05,3.67431249622412e-05,"4082/7168/5357/87/5358/1072/81/832/7170/2317/6709/9948/23499/6711",14,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","8/259","57/18369",1.27528190242323e-06,5.02671688537579e-05,3.75299101154481e-05,"10935/847/2954/25824/2878/11315/5052/9588",8,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016769","GO:0016769","transferase activity, transferring nitrogenous groups","6/259","26/18369",1.34736741257495e-06,5.02671688537579e-05,3.75299101154481e-05,"18/189/2805/2806/29968/2597",6,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016853","GO:0016853","isomerase activity","12/259","154/18369",1.94847399372544e-06,6.75007062112028e-05,5.03966205895904e-05,"3329/5034/1632/4351/1892/7167/2954/5238/4282/5223/2821/5478",12,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016860","GO:0016860","intramolecular oxidoreductase activity","7/259","48/18369",4.59269394549527e-06,0.000148497104237681,0.000110869243315816,"5034/1632/4351/1892/7167/4282/2821",7,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0031406","GO:0031406","carboxylic acid binding","13/259","200/18369",5.49289084239782e-06,0.000166503253660184,0.000124312792749003,"5660/5009/4706/189/10247/5836/8644/5478/2168/1373/2729/1646/23576",13,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","16/259","301/18369",6.2069876815427e-06,0.000177081707385189,0.000132210759284872,"3329/3313/811/7534/203068/7531/7167/5684/1398/3320/3326/3311/2821/3312/7332/9588",16,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0032052","GO:0032052","bile acid binding","4/259","10/18369",7.58639889238553e-06,0.000204411303489277,0.000152615275963779,"5836/8644/2168/1646",4,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016667","GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","7/259","54/18369",1.02794563080943e-05,0.000250349155992807,0.000186912880437386,"30001/5034/10935/2745/1738/5230/7295",7,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0043177","GO:0043177","organic acid binding","13/259","212/18369",1.03236765357859e-05,0.000250349155992807,0.000186912880437386,"5660/5009/4706/189/10247/5836/8644/5478/2168/1373/2729/1646/23576",13,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016835","GO:0016835","carbon-oxygen lyase activity","8/259","77/18369",1.27380755540893e-05,0.000283205768034579,0.000211443915797928,"1892/2023/7167/2271/11315/48/760/50",8,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","16/259","320/18369",1.3350213796773e-05,0.000283205768034579,0.000211443915797928,"3329/3313/811/7534/203068/7531/7167/5684/1398/3320/3326/3311/2821/3312/7332/9588",16,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0003779","GO:0003779","actin binding","19/259","434/18369",1.37710798098119e-05,0.000283205768034579,0.000211443915797928,"4082/7168/5034/5357/87/5358/1072/81/832/7170/2317/6709/5216/226/9948/10487/23499/4130/6711",19,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0008238","GO:0008238","exopeptidase activity","9/259","102/18369",1.4014306047072e-05,0.000283205768034579,0.000211443915797928,"10072/5476/290/1803/55748/51056/1200/5184/6051",9,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016668","GO:0016668","oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","4/259","12/18369",1.74882461740275e-05,0.000339271975776134,0.000253303439320651,"10935/1738/5230/7295",4,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0004177","GO:0004177","aminopeptidase activity","6/259","40/18369",1.90390466816011e-05,0.000355151447714483,0.000265159192650639,"10072/290/1803/51056/5184/6051",6,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0008483","GO:0008483","transaminase activity","5/259","25/18369",2.26133872662316e-05,0.000406203437930456,0.00030327505729371,"18/189/2805/2806/29968",5,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016836","GO:0016836","hydro-lyase activity","7/259","62/18369",2.59354610907854e-05,0.000449239236751104,0.000335405962978578,"1892/2023/2271/11315/48/760/50",7,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","6/259","48/18369",5.53926681794255e-05,0.000926394623000737,0.000691654368556166,"57016/217/1738/54363/2597/8644",6,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"GO:0050661","GO:0050661","NADP binding","6/259","53/18369",9.77073656682645e-05,0.00157960241163694,0.00117934504525905,"1666/847/11112/2597/1429/5860",6,"Upres_DEq_MS_HBV.myr_vs_CTRL"
