"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa01200","hsa01200","Carbon metabolism","30/197","115/8779",2.7742577184426e-24,6.21433728931141e-22,4.76004219059098e-22,"3418/2653/38/1892/6888/7086/2023/189/7167/2805/4191/1738/847/2271/2806/8801/39/4190/5230/54363/29968/2597/2203/48/5223/2821/226/1373/50/25796",30,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa03050","hsa03050","Proteasome","16/197","46/8779",1.23277681829388e-15,1.38071003648914e-13,1.05759274411527e-13,"5687/5685/5684/5689/5686/5720/5688/5698/5683/5696/5682/5694/5691/5721/5693/5705",16,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa01230","hsa01230","Biosynthesis of amino acids","18/197","75/8779",2.97970615846241e-14,2.22484726498526e-12,1.70418282045394e-12,"3418/5009/6888/7086/2023/7167/2805/2806/95/5230/29968/435/2597/48/5223/226/1373/50",18,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00630","hsa00630","Glyoxylate and dicarboxylate metabolism","11/197","30/8779",2.06973969536542e-11,1.15905422940464e-09,8.87809395643589e-10,"2653/38/189/4191/1738/847/39/4190/54363/48/50",11,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa05012","hsa05012","Parkinson disease","25/197","266/8779",1.02415574033996e-09,4.58821771672303e-08,3.51447127737713e-08,"84790/203068/7277/4706/5687/5685/5684/506/5689/5686/5688/5683/5682/11315/10131/5694/5691/54205/7295/5693/5705/7332/4729/7280/6647",25,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation","11/197","48/8779",6.01423218583131e-09,2.24531334937702e-07,1.71985937945702e-07,"3155/38/3033/10449/1892/18/217/1738/39/36/11112",11,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00020","hsa00020","Citrate cycle (TCA cycle)","9/197","30/8779",1.14419006195034e-08,3.66140819824107e-07,2.80455609169781e-07,"3418/4191/1738/2271/8801/4190/48/5106/50",9,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa05016","hsa05016","Huntington disease","25/197","306/8779",1.82553661891025e-08,5.11150253294871e-07,3.9152956431891e-07,"6648/7052/84790/203068/7277/4706/5687/5685/5684/506/5689/5686/5688/5683/5682/2878/5694/10488/5691/54205/5693/5705/4729/7280/6647",25,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa05020","hsa05020","Prion disease","23/197","272/8779",3.75798485527792e-08,9.35320675091393e-07,7.16434539661171e-07,"84790/203068/7277/4706/5687/5685/5684/506/5689/5686/5688/5683/5682/5694/10488/5691/54205/3312/5693/5705/4729/7280/6647",23,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00270","hsa00270","Cysteine and methionine metabolism","10/197","52/8779",1.79563701797636e-07,4.02222692026704e-06,3.08093509400154e-06,"7263/2805/4191/2806/4190/29968/4357/2937/55256/2729",10,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis","11/197","67/8779",2.357101728153e-07,4.79991624642066e-06,3.67662757597071e-06,"2023/7167/217/1738/5230/2597/2203/5223/2821/226/5106",11,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa01210","hsa01210","2-Oxocarboxylic acid metabolism","8/197","33/8779",4.78571772514149e-07,8.93333975359745e-06,6.84273674735143e-06,"3418/189/2805/1738/2806/95/48/50",8,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00620","hsa00620","Pyruvate metabolism","9/197","47/8779",7.83321372087717e-07,1.3497229795973e-05,1.03385735749229e-05,"38/4191/217/1738/2271/39/4190/2739/5106",9,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00650","hsa00650","Butanoate metabolism","7/197","27/8779",1.56294250582324e-06,2.50070800931718e-05,1.91548592818938e-05,"622/3155/38/3033/1892/18/39",7,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis","24/197","364/8779",1.89601435615519e-06,2.83138143852508e-05,2.16877431616348e-05,"84790/203068/7277/4706/5687/5685/5684/506/5216/5689/5686/847/5688/5683/5682/2878/5694/5691/54205/5693/5705/4729/7280/6647",24,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00071","hsa00071","Fatty acid degradation","8/197","43/8779",4.12302922954834e-06,5.77224092136768e-05,4.42140634484461e-05,"1632/38/3033/10449/1892/217/39/36",8,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00220","hsa00220","Arginine biosynthesis","6/197","22/8779",6.54197562570073e-06,8.62001494209978e-05,6.60273700922117e-05,"5009/2805/2806/95/435/1373",6,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","7/197","37/8779",1.49800937698183e-05,0.000186418944691072,0.000142792706694759,"18/189/2805/2806/56954/435/1373",7,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"hsa05017","hsa05017","Spinocerebellar ataxia","13/197","143/8779",1.82703574442685e-05,0.000215397898290323,0.000164989931491178,"5687/5685/5684/5689/5686/5688/5683/5682/5694/5691/54205/5693/5705",13,"Upres_DEq_MS_HBV.myr_vs_CTRL"
