"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","2/3","108/10955",0.0002870335129268,0.00403825315959407,0.00121451222844934,"C3/PCSK9",2,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","2/3","125/10955",0.000384595539008959,0.00403825315959407,0.00121451222844934,"C3/PCSK9",2,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-8866427","R-HSA-8866427","VLDLR internalisation and degradation","1/3","16/10955",0.00437556354093582,0.0213113955800726,0.00640944227972107,"PCSK9",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-8964038","R-HSA-8964038","LDL clearance","1/3","19/10955",0.00519455810530245,0.0213113955800726,0.00640944227972107,"PCSK9",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-166663","R-HSA-166663","Initial triggering of complement","1/3","23/10955",0.00628585203569565,0.0213113955800726,0.00640944227972107,"C3",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9660826","R-HSA-9660826","Purinergic signaling in leishmaniasis infection","1/3","26/10955",0.00710379852669085,0.0213113955800726,0.00640944227972107,"C3",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9664424","R-HSA-9664424","Cell recruitment (pro-inflammatory response)","1/3","26/10955",0.00710379852669085,0.0213113955800726,0.00640944227972107,"C3",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-8964043","R-HSA-8964043","Plasma lipoprotein clearance","1/3","37/10955",0.0100990954194666,0.0265101254760999,0.00797297006799997,"PCSK9",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-977606","R-HSA-977606","Regulation of Complement cascade","1/3","47/10955",0.0128168597371501,0.0299060060533502,0.00899428753484216,"C3",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-166658","R-HSA-166658","Complement cascade","1/3","58/10955",0.0158006499672574,0.0331813649312405,0.00997935787405729,"C3",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-174824","R-HSA-174824","Plasma lipoprotein assembly, remodeling, and clearance","1/3","75/10955",0.020400126347755,0.038945695754805,0.0117129912044526,"PCSK9",1,"Downres_DEq_MS_HBV_vs_CTRL.myr"
