"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0042627","GO:0042627","chylomicron","2/6","12/19518",5.19066853734044e-06,9.45345155965029e-05,4.18989542809985e-05,"344/341",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","2/6","20/19518",1.49265024626057e-05,9.45345155965029e-05,4.18989542809985e-05,"344/341",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","2/6","20/19518",1.49265024626057e-05,9.45345155965029e-05,4.18989542809985e-05,"344/341",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0034364","GO:0034364","high-density lipoprotein particle","2/6","27/19518",2.75483735836964e-05,0.000130854774522558,5.79965759656767e-05,"344/341",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0034358","GO:0034358","plasma lipoprotein particle","2/6","36/19518",4.938498789836e-05,0.000156385795011473,6.93122637169964e-05,"344/341",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:1990777","GO:1990777","lipoprotein particle","2/6","36/19518",4.938498789836e-05,0.000156385795011473,6.93122637169964e-05,"344/341",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0032994","GO:0032994","protein-lipid complex","2/6","39/19518",5.80623272282615e-05,0.000157597745333853,6.98494162144499e-05,"344/341",2,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0034362","GO:0034362","low-density lipoprotein particle","1/6","12/19518",0.00368370833429488,0.00842369833701465,0.00373349510781813,"344",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0106068","GO:0106068","SUMO ligase complex","1/6","13/19518",0.00399017289648063,0.00842369833701465,0.00373349510781813,"56160",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
"GO:0031904","GO:0031904","endosome lumen","1/6","39/19518",0.0119307238563245,0.0226683753270166,0.0100469253526944,"5771",1,"Downres_DEq_MS_HBV.myr_vs_HBV"
