"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","20/39","415/19518",1.07661771447166e-23,1.00125447445864e-21,5.89306538447646e-22,"2243/2266/2244/7057/2267/2335/3959/3698/375790/1291/2192/348/5176/2/5858/3339/4811/2162/10631/4060",20,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0072562","GO:0072562","blood microparticle","11/39","144/19518",3.36053404420935e-15,1.56264833055735e-13,9.19725106836242e-14,"2243/2266/2244/2335/3959/3698/720/348/2/5858/2162",11,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0031093","GO:0031093","platelet alpha granule lumen","9/39","67/19518",7.39443624391494e-15,2.29227523561363e-13,1.34916029713536e-13,"2243/2266/2244/7057/2335/2/5768/83706/2162",9,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0031091","GO:0031091","platelet alpha granule","9/39","91/19518",1.31102305815578e-13,3.0481286102122e-12,1.79403155326581e-12,"2243/2266/2244/7057/2335/2/5768/83706/2162",9,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","12/39","312/19518",5.99471265529195e-13,1.1150165538843e-11,6.56263280158277e-12,"2243/2266/7057/2335/3698/338/720/1291/348/5768/116519/174",12,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0031983","GO:0031983","vesicle lumen","11/39","327/19518",2.72352329748926e-11,4.22146111110835e-10,2.48461774507792e-10,"2243/2266/2244/7057/2335/3959/338/2/5768/83706/2162",11,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034774","GO:0034774","secretory granule lumen","10/39","322/19518",5.40671006248696e-10,6.87687000994671e-09,4.04750696680508e-09,"2243/2266/2244/7057/2335/3959/2/5768/83706/2162",10,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","10/39","325/19518",5.91558710533051e-10,6.87687000994671e-09,4.04750696680508e-09,"2243/2266/2244/7057/2335/3959/2/5768/83706/2162",10,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034358","GO:0034358","plasma lipoprotein particle","5/39","36/19518",8.79498159936258e-09,8.1793328874072e-08,4.81409519123004e-08,"338/348/4018/116519/55937",5,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:1990777","GO:1990777","lipoprotein particle","5/39","36/19518",8.79498159936258e-09,8.1793328874072e-08,4.81409519123004e-08,"338/348/4018/116519/55937",5,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0032994","GO:0032994","protein-lipid complex","5/39","39/19518",1.33736116766767e-08,1.13067807811903e-07,6.65481155203052e-08,"338/348/4018/116519/55937",5,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0005604","GO:0005604","basement membrane","6/39","84/19518",1.54344916436971e-08,1.19617310238652e-07,7.04029443396709e-08,"2335/375790/2192/5176/3339/4811",6,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","4/39","20/19518",6.44261421256265e-08,4.27973658405947e-07,2.5189168349869e-07,"338/348/116519/55937",4,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","4/39","20/19518",6.44261421256265e-08,4.27973658405947e-07,2.5189168349869e-07,"338/348/116519/55937",4,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034364","GO:0034364","high-density lipoprotein particle","4/39","27/19518",2.31037084634688e-07,1.43242992473507e-06,8.43082694807284e-07,"338/348/116519/55937",4,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0034362","GO:0034362","low-density lipoprotein particle","3/39","12/19518",1.60259202288895e-06,8.76712106639252e-06,5.16004861858982e-06,"338/348/55937",3,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0042627","GO:0042627","chylomicron","3/39","12/19518",1.60259202288895e-06,8.76712106639252e-06,5.16004861858982e-06,"338/348/116519",3,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0046930","GO:0046930","pore complex","3/39","26/19518",1.85764367278373e-05,9.59782564271593e-05,5.64897491138911e-05,"727/730/732",3,"Downres_DEq_MS_HBV_vs_CTRL.myr"
"GO:0043202","GO:0043202","lysosomal lumen","4/39","98/19518",4.29493585713411e-05,0.000210225807743933,0.000123732224139044,"338/375790/3339/4060",4,"Downres_DEq_MS_HBV_vs_CTRL.myr"
