"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","23/73","415/19518",4.00978456350273e-21,5.53350269763377e-19,4.13640933919229e-19,"7057/2266/2243/2244/2267/3698/2335/1291/2192/348/5176/1522/375790/5858/3339/6694/4811/335/2162/4060/197/10631/1311",23,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","16/73","312/19518",2.87158409449234e-14,1.98139302519972e-12,1.48113284873816e-12,"7057/2266/2243/3698/2335/1291/348/116519/1522/5768/174/6694/7018/335/197/336",16,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0072562","GO:0072562","blood microparticle","12/73","144/19518",2.04384861638792e-13,9.40170363538444e-12,7.02797068091286e-12,"2266/2243/2244/3698/2335/348/5858/7018/335/2162/197/336",12,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","7/73","20/19518",5.68254549967971e-13,1.39475545476459e-11,1.04260895932059e-11,"348/116519/341/335/55937/344/336",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","7/73","20/19518",5.68254549967971e-13,1.39475545476459e-11,1.04260895932059e-11,"348/116519/341/335/55937/344/336",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034358","GO:0034358","plasma lipoprotein particle","8/73","36/19518",7.17684031521324e-13,1.39475545476459e-11,1.04260895932059e-11,"348/116519/4018/341/335/55937/344/336",8,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:1990777","GO:1990777","lipoprotein particle","8/73","36/19518",7.17684031521324e-13,1.39475545476459e-11,1.04260895932059e-11,"348/116519/4018/341/335/55937/344/336",8,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034774","GO:0034774","secretory granule lumen","15/73","322/19518",8.0935791940021e-13,1.39475545476459e-11,1.04260895932059e-11,"7057/2266/2243/2244/2335/1522/5768/83706/4758/6694/210/7018/335/2162/197",15,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","15/73","325/19518",9.25170019385124e-13,1.39475545476459e-11,1.04260895932059e-11,"7057/2266/2243/2244/2335/1522/5768/83706/4758/6694/210/7018/335/2162/197",15,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0031983","GO:0031983","vesicle lumen","15/73","327/19518",1.01069235852506e-12,1.39475545476459e-11,1.04260895932059e-11,"7057/2266/2243/2244/2335/1522/5768/83706/4758/6694/210/7018/335/2162/197",15,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0032994","GO:0032994","protein-lipid complex","8/73","39/19518",1.44622928183724e-12,1.81436037175945e-11,1.3562724365555e-11,"348/116519/4018/341/335/55937/344/336",8,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0031093","GO:0031093","platelet alpha granule lumen","9/73","67/19518",3.09231985884621e-12,3.55616783767315e-11,2.65831005409587e-11,"7057/2266/2243/2244/2335/5768/83706/2162/197",9,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034364","GO:0034364","high-density lipoprotein particle","7/73","27/19518",6.37595924498426e-12,6.76832596775252e-11,5.05946563569601e-11,"348/116519/341/335/55937/344/336",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0031091","GO:0031091","platelet alpha granule","9/73","91/19518",5.27963153381961e-11,5.20420822619361e-10,3.8902548143934e-10,"7057/2266/2243/2244/2335/5768/83706/2162/197",9,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0042627","GO:0042627","chylomicron","5/73","12/19518",4.94073656502303e-10,4.54547763982119e-09,3.39783988331409e-09,"348/116519/341/344/336",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005604","GO:0005604","basement membrane","6/73","84/19518",7.16723697481414e-07,6.18174189077719e-06,4.62098173376175e-06,"2335/2192/5176/375790/3339/4811",6,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0034362","GO:0034362","low-density lipoprotein particle","3/73","12/19518",1.0778881595072e-05,8.74991564776435e-05,6.54074548803132e-05,"348/55937/344",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0043202","GO:0043202","lysosomal lumen","5/73","98/19518",3.30070026743253e-05,0.000253053687169827,0.000189162939303151,"375790/4758/3339/4060/10437",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0046930","GO:0046930","pore complex","3/73","26/19518",0.000122682023633555,0.000891058908496344,0.000666085225268053,"730/727/732",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005775","GO:0005775","vacuolar lumen","5/73","176/19518",0.00051547775815886,0.00355679653129614,0.00265878001576675,"375790/4758/3339/4060/10437",5,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005769","GO:0005769","early endosome","7/73","423/19518",0.00101695956985962,0.00668287717336319,0.00499559086948583,"348/116519/7018/335/9388/344/336",7,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0035580","GO:0035580","specific granule lumen","3/73","62/19518",0.00162051827145041,0.0101650691572799,0.00759860242115504,"1522/5768/4758",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0071682","GO:0071682","endocytic vesicle lumen","2/73","23/19518",0.00331772249167732,0.0199063349500639,0.0148804029375001,"348/335",2,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0045171","GO:0045171","intercellular bridge","3/73","89/19518",0.00452806731293495,0.026036387049376,0.0194627454678783,"5768/81027/2944",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0009897","GO:0009897","external side of plasma membrane","6/73","426/19518",0.0051861473059996,0.0286275331291178,0.0213996815152826,"7057/2266/2243/2244/7018/929",6,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0005796","GO:0005796","Golgi lumen","3/73","106/19518",0.00735246636145037,0.0390246291492366,0.0291717288834873,"375790/3339/4060",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0042470","GO:0042470","melanosome","3/73","112/19518",0.00854923307346868,0.0421355058620957,0.0314971744812004,"348/5176/2194",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
"GO:0048770","GO:0048770","pigment granule","3/73","112/19518",0.00854923307346868,0.0421355058620957,0.0314971744812004,"348/5176/2194",3,"Upres_DEq_MS_CTRL.myr_vs_HBV.myr"
