"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","15/150","300/10955",1.49900884799516e-05,0.00470172481925462,0.00428465163902998,"ITGA6/BMP1/ADAM9/NCSTN/ITGA2/TNC/ITGA5/CD151/SDC4/PLOD2/KLKB1/LOX/ADAM15/APP/ACTN1",15,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-9660826","R-HSA-9660826","Purinergic signaling in leishmaniasis infection","5/150","26/10955",2.3479427529121e-05,0.00470172481925462,0.00428465163902998,"NT5E/IL18/P2RX4/PYCARD/APP",5,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-9664424","R-HSA-9664424","Cell recruitment (pro-inflammatory response)","5/150","26/10955",2.3479427529121e-05,0.00470172481925462,0.00428465163902998,"NT5E/IL18/P2RX4/PYCARD/APP",5,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-3000170","R-HSA-3000170","Syndecan interactions","5/150","27/10955",2.84993434063753e-05,0.00470172481925462,0.00428465163902998,"ITGA6/ITGA2/TNC/SDC4/ACTN1",5,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","19/150","481/10955",3.00621791512443e-05,0.00470172481925462,0.00428465163902998,"VNN1/STOM/ANPEP/SERPINA3/NCSTN/IGF2R/LGALS3/CD59/VAMP8/S100A11/B4GALT1/LPCAT1/BST2/PYCARD/CD58/RHOF/ATP6AP2/FABP5/ATP11A",19,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-205043","R-HSA-205043","NRIF signals cell death from the nucleus","4/150","16/10955",5.40691756522753e-05,0.00704701589334655,0.00642190033624393,"SQSTM1/NCSTN/APH1A/RPS27A",4,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-9013405","R-HSA-9013405","RHOD GTPase cycle","6/150","54/10955",8.95722757961885e-05,0.0100065028103742,0.00911886176150671,"MCAM/RHOD/AKAP12/DBN1/CAV1/ACTN1",6,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-9035034","R-HSA-9035034","RHOF GTPase cycle","5/150","42/10955",0.000254569684650694,0.0248841866746054,0.0226767995405947,"MCAM/AKAP12/CAV1/RHOF/ACTN1",5,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-193704","R-HSA-193704","p75 NTR receptor-mediated signalling","7/150","97/10955",0.000359995557102865,0.0312796139616045,0.0285049113635836,"SQSTM1/NCSTN/RTN4/ARHGEF40/APH1A/RPS27A/OBSCN",7,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-204998","R-HSA-204998","Cell death signalling via NRAGE, NRIF and NADE","6/150","76/10955",0.000592358626644507,0.046257468924875,0.0421541344220492,"SQSTM1/NCSTN/ARHGEF40/APH1A/RPS27A/OBSCN",6,"Upres_DEq_MS_HBV.myr_vs_CTRL"
"R-HSA-879415","R-HSA-879415","Advanced glycosylation endproduct receptor signaling","3/150","13/10955",0.000650680509173434,0.046257468924875,0.0421541344220492,"SAA1/LGALS3/APP",3,"Upres_DEq_MS_HBV.myr_vs_CTRL"
