"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-162909","R-HSA-162909","Host Interactions of HIV factors","2/4","130/10955",0.000825484175151127,0.0451253743243045,0.00800006636220357,"RPS27A/HMGA1",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-162587","R-HSA-162587","HIV Life Cycle","2/4","149/10955",0.00108295834788285,0.0451253743243045,0.00800006636220357,"RPS27A/HMGA1",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9711097","R-HSA-9711097","Cellular response to starvation","2/4","157/10955",0.00120160476221194,0.0451253743243045,0.00800006636220357,"RPS27A/DEPDC5",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-2559583","R-HSA-2559583","Cellular Senescence","2/4","196/10955",0.00186615131436774,0.0451253743243045,0.00800006636220357,"RPS27A/HMGA1",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-162906","R-HSA-162906","HIV Infection","2/4","231/10955",0.00258300068143223,0.0451253743243045,0.00800006636220357,"RPS27A/HMGA1",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-937042","R-HSA-937042","IRAK2 mediated activation of TAK1 complex","1/4","10/10955",0.00364680300683695,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9014325","R-HSA-9014325","TICAM1,TRAF6-dependent induction of TAK1 complex","1/4","11/10955",0.00401093391482921,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9645460","R-HSA-9645460","Alpha-protein kinase 1 signaling pathway","1/4","11/10955",0.00401093391482921,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9664873","R-HSA-9664873","Pexophagy","1/4","11/10955",0.00401093391482921,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9708530","R-HSA-9708530","Regulation of BACH1 activity","1/4","11/10955",0.00401093391482921,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-71387","R-HSA-71387","Metabolism of carbohydrates","2/4","297/10955",0.00423930077359817,0.0451253743243045,0.00800006636220357,"RPS27A/PFKFB4",2,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-5689877","R-HSA-5689877","Josephin domain DUBs","1/4","12/10955",0.00437496500623447,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9013973","R-HSA-9013973","TICAM1-dependent activation of IRF3/IRF7","1/4","12/10955",0.00437496500623447,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9634600","R-HSA-9634600","Regulation of glycolysis by fructose 2,6-bisphosphate metabolism","1/4","12/10955",0.00437496500623447,0.0451253743243045,0.00800006636220357,"PFKFB4",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-1358803","R-HSA-1358803","Downregulation of ERBB2:ERBB3 signaling","1/4","13/10955",0.00473889629929636,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-209543","R-HSA-209543","p75NTR recruits signalling complexes","1/4","13/10955",0.00473889629929636,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-209560","R-HSA-209560","NF-kB is activated and signals survival","1/4","13/10955",0.00473889629929636,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-9637687","R-HSA-9637687","Suppression of phagosomal maturation","1/4","13/10955",0.00473889629929636,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-162594","R-HSA-162594","Early Phase of HIV Life Cycle","1/4","14/10955",0.00510272781225585,0.0451253743243045,0.00800006636220357,"HMGA1",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-174490","R-HSA-174490","Membrane binding and targetting of GAG proteins","1/4","14/10955",0.00510272781225585,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-174495","R-HSA-174495","Synthesis And Processing Of GAG, GAGPOL Polyproteins","1/4","14/10955",0.00510272781225585,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-3322077","R-HSA-3322077","Glycogen synthesis","1/4","14/10955",0.00510272781225585,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
"R-HSA-975110","R-HSA-975110","TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling","1/4","14/10955",0.00510272781225585,0.0451253743243045,0.00800006636220357,"RPS27A",1,"Upres_DEq_MS_HBV_vs_CTRL.myr"
