"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","CTRL.myr_vs_CTRL","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
-0.450008107125385,18.7072151166886,-6.95397161493729,0.00011706774983975,0.0347598905076514,1.70166145471646,"O00468",44,-8.04464414307849,1.05492593291555e-05,0.00583948594421639,0.450008107125385,"Non-significant",2.2336253825822,"AGRN","Agrin","O00468"
0.426484252839085,21.460742359705,8.19178866667851,3.64739633301932e-05,0.0339746840062535,2.7454695416077,"P04066",10,8.50179474820321,6.44848713933274e-06,0.00583948594421639,-0.426484252839089,"Non-significant",2.2336253825822,"FUCA1","Tissue alpha-L-fucosidase","P04066"
0.323288395904825,20.2935877246582,7.81098385963142,5.14038572484584e-05,0.0339746840062535,2.44397425110212,"P06865",23,9.00976602107633,3.82087172085333e-06,0.00583948594421639,-0.323288395904825,"Non-significant",2.2336253825822,"HEXA","Beta-hexosaminidase subunit alpha","P06865"
0.31709307758069,21.3295259113731,7.79324844695756,5.22487509811502e-05,0.0339746840062535,2.42952614043899,"P07686",27,9.14713360960631,3.33001992868602e-06,0.00583948594421639,-0.317093077580687,"Non-significant",2.2336253825822,"HEXB","Beta-hexosaminidase subunit beta","P07686"
-0.419558228751566,18.9605597252381,-6.7311245542444,0.000146833102752844,0.0347598905076514,1.4930411155996,"P11717",45,-7.80897693857192,1.37100122788914e-05,0.00583948594421639,0.419558228751562,"Non-significant",2.2336253825822,"IGF2R","Cation-independent mannose-6-phosphate receptor","P11717"
0.410883282999016,20.1148884708099,7.39658434455182,7.5829788981252e-05,0.0339746840062535,2.09652768420283,"P14920",11,7.86212102141225,1.29166536580023e-05,0.00583948594421639,-0.410883282999006,"Non-significant",2.2336253825822,"DAO","D-amino-acid oxidase","P14920"
0.510914508224531,24.0125722136126,7.86758049376786,4.88075008720155e-05,0.0339746840062535,2.48983449106899,"P50440",40,9.08278370673139,3.55083538234361e-06,0.00583948594421639,-0.510914508224527,"Up in CTRL.myr",2.2336253825822,"GATM","Glycine amidinotransferase, mitochondrial","P50440"
0.429383134757593,20.6236903936069,7.38302278453584,7.68225426121384e-05,0.0339746840062535,2.08480163798084,"Q12882",43,8.59983977350308,5.81796713440695e-06,0.00583948594421639,-0.429383134757593,"Non-significant",2.2336253825822,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","Q12882"
-0.47062360312141,21.2312213365215,-7.56807327854081,6.44306426779717e-05,0.0339746840062535,2.24283736016952,"Q13501",12,-8.21104810161017,8.79752843046097e-06,0.00583948594421639,0.47062360312141,"Non-significant",2.2336253825822,"SQSTM1","Sequestosome-1","Q13501"
0.616064199865345,19.9219346951337,7.20636593326974,9.11613188160417e-05,0.0339746840062535,1.92993073870154,"Q99519",13,7.97868240107684,1.13455043062166e-05,0.00583948594421639,-0.616064199865345,"Up in CTRL.myr",2.2336253825822,"NEU1","Sialidase-1","Q99519"
0.374195392439308,20.402371297997,7.89260788530139,4.77060996738993e-05,0.0339746840062535,2.50999531927957,"Q9UHL4",15,8.65902243093181,5.47002594058401e-06,0.00583948594421639,-0.374195392439308,"Non-significant",2.2336253825822,"DPP7","Dipeptidyl peptidase 2","Q9UHL4"
