"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","4/6","415/19518",2.92162372666642e-06,0.000169454176146652,4.92062943438555e-05,"350/12/1280/80781",4,"Upres_DEq_MS_BF_vs_CFM"
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","3/6","312/19518",7.80754388214369e-05,0.00226418772582167,0.000657477379548942,"1471/1280/80781",3,"Upres_DEq_MS_BF_vs_CFM"
"GO:0005604","GO:0005604","basement membrane","2/6","84/19518",0.000271474898590427,0.00403068691309788,0.00117043540126254,"1280/80781",2,"Upres_DEq_MS_BF_vs_CFM"
"GO:0005581","GO:0005581","collagen trimer","2/6","85/19518",0.000277978407799854,0.00403068691309788,0.00117043540126254,"1280/80781",2,"Upres_DEq_MS_BF_vs_CFM"
"GO:0005583","GO:0005583","fibrillar collagen trimer","1/6","12/19518",0.00368370833429488,0.0191692627763747,0.00556639209477305,"1280",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0042627","GO:0042627","chylomicron","1/6","12/19518",0.00368370833429488,0.0191692627763747,0.00556639209477305,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0098643","GO:0098643","banded collagen fibril","1/6","12/19518",0.00368370833429488,0.0191692627763747,0.00556639209477305,"1280",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0034774","GO:0034774","secretory granule lumen","2/6","322/19518",0.00389536843468651,0.0191692627763747,0.00556639209477305,"350/12",2,"Upres_DEq_MS_BF_vs_CFM"
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","2/6","325/19518",0.00396676757091178,0.0191692627763747,0.00556639209477305,"350/12",2,"Upres_DEq_MS_BF_vs_CFM"
"GO:0031983","GO:0031983","vesicle lumen","2/6","327/19518",0.00401471043614974,0.0191692627763747,0.00556639209477305,"350/12",2,"Upres_DEq_MS_BF_vs_CFM"
"GO:0005940","GO:0005940","septin ring","1/6","14/19518",0.00429655889815295,0.0191692627763747,0.00556639209477305,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0031089","GO:0031089","platelet dense granule lumen","1/6","14/19518",0.00429655889815295,0.0191692627763747,0.00556639209477305,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0031105","GO:0031105","septin complex","1/6","14/19518",0.00429655889815295,0.0191692627763747,0.00556639209477305,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0032156","GO:0032156","septin cytoskeleton","1/6","16/19518",0.0049090952844022,0.020337680463952,0.0059056785376267,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0034361","GO:0034361","very-low-density lipoprotein particle","1/6","20/19518",0.00613322603948963,0.0207480904986847,0.00602485386531678,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0034385","GO:0034385","triglyceride-rich plasma lipoprotein particle","1/6","20/19518",0.00613322603948963,0.0207480904986847,0.00602485386531678,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0042827","GO:0042827","platelet dense granule","1/6","21/19518",0.00643906256855731,0.0207480904986847,0.00602485386531678,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0098644","GO:0098644","complex of collagen trimers","1/6","21/19518",0.00643906256855731,0.0207480904986847,0.00602485386531678,"1280",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0034364","GO:0034364","high-density lipoprotein particle","1/6","27/19518",0.00827243524061771,0.0252526970503067,0.00733290658448108,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0034358","GO:0034358","plasma lipoprotein particle","1/6","36/19518",0.0110172077087949,0.0304284784338144,0.00883585580655229,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:1990777","GO:1990777","lipoprotein particle","1/6","36/19518",0.0110172077087949,0.0304284784338144,0.00883585580655229,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0032994","GO:0032994","protein-lipid complex","1/6","39/19518",0.0119307238563245,0.0314537265303102,0.00913356850244941,"350",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0032154","GO:0032154","cleavage furrow","1/6","54/19518",0.0164877640289982,0.040578111992273,0.0117831178198978,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:1904724","GO:1904724","tertiary granule lumen","1/6","55/19518",0.0167909428933544,0.040578111992273,0.0117831178198978,"1471",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0031093","GO:0031093","platelet alpha granule lumen","1/6","67/19518",0.0204230187376854,0.0451697045356519,0.0131164296292274,"12",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0001725","GO:0001725","stress fiber","1/6","69/19518",0.0210272762493552,0.0451697045356519,0.0131164296292274,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0097517","GO:0097517","contractile actin filament bundle","1/6","69/19518",0.0210272762493552,0.0451697045356519,0.0131164296292274,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0032153","GO:0032153","cell division site","1/6","73/19518",0.022234859455634,0.0459023457394045,0.0133291748063607,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0042641","GO:0042641","actomyosin","1/6","76/19518",0.0231397320234366,0.0459023457394045,0.0133291748063607,"989",1,"Upres_DEq_MS_BF_vs_CFM"
"GO:0032432","GO:0032432","actin filament bundle","1/6","78/19518",0.0237425926238299,0.0459023457394045,0.0133291748063607,"989",1,"Upres_DEq_MS_BF_vs_CFM"
