"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3000178","R-HSA-3000178","ECM proteoglycans","5/17","76/10955",8.15497882417727e-08,1.01955183620651e-05,6.27300240216014e-06,"AGRN/LAMA5/HSPG2/COL6A3/COL2A1",5,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","5/17","85/10955",1.43598850169931e-07,1.01955183620651e-05,6.27300240216014e-06,"AGRN/HSPG2/COL6A3/COL2A1/COL18A1",5,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-3656237","R-HSA-3656237","Defective EXT2 causes exostoses 2","3/17","14/10955",1.11804905808296e-06,3.52048264183594e-05,2.16604936450988e-05,"AGRN/HSPG2/EXT1",3,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-3656253","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","3/17","14/10955",1.11804905808296e-06,3.52048264183594e-05,2.16604936450988e-05,"AGRN/HSPG2/EXT1",3,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-1638091","R-HSA-1638091","Heparan sulfate/heparin (HS-GAG) metabolism","4/17","55/10955",1.2892504594497e-06,3.52048264183594e-05,2.16604936450988e-05,"AGRN/HSPG2/GLB1/EXT1",4,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-3000171","R-HSA-3000171","Non-integrin membrane-ECM interactions","4/17","59/10955",1.71392111241536e-06,3.52048264183594e-05,2.16604936450988e-05,"AGRN/LAMA5/HSPG2/COL2A1",4,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","5/17","140/10955",1.73544918963744e-06,3.52048264183594e-05,2.16604936450988e-05,"LAMA5/HSPG2/COL6A3/COL2A1/COL18A1",5,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","6/17","300/10955",3.84926598262935e-06,6.8324471191671e-05,4.20380363892416e-05,"AGRN/LAMA5/HSPG2/COL6A3/COL2A1/COL18A1",6,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-2024096","R-HSA-2024096","HS-GAG degradation","3/17","22/10955",4.69404452577671e-06,7.40615914066992e-05,4.55679176186511e-05,"AGRN/HSPG2/GLB1",3,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-3000157","R-HSA-3000157","Laminin interactions","3/17","30/10955",1.22805918073656e-05,0.000174384403664592,0.000107293591580142,"LAMA5/HSPG2/COL18A1",3,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-2022928","R-HSA-2022928","HS-GAG biosynthesis","3/17","31/10955",1.35833312002536e-05,0.000175348457312365,0.000107886745418282,"AGRN/HSPG2/EXT1",3,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-3560782","R-HSA-3560782","Diseases associated with glycosaminoglycan metabolism","3/17","41/10955",3.19056005964048e-05,0.000348173096694348,0.000214220659937961,"AGRN/HSPG2/EXT1",3,"Upres_DEq_MS_BFM_vs_CFM"
"R-HSA-1630316","R-HSA-1630316","Glycosaminoglycan metabolism","4/17","124/10955",3.32058428036681e-05,0.000348173096694348,0.000214220659937961,"AGRN/HSPG2/GLB1/EXT1",4,"Upres_DEq_MS_BFM_vs_CFM"
