"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","GO:0051607","defense response to virus","9/10","303/18614",7.03002321075233e-16,1.0033138045528e-13,3.96521511204601e-14,"4599/9636/4939/4938/3437/3434/4940/55601/6772",9
"GO:0140546","GO:0140546","defense response to symbiont","9/10","304/18614",7.24414299316098e-16,1.0033138045528e-13,3.96521511204601e-14,"4599/9636/4939/4938/3437/3434/4940/55601/6772",9
"GO:0034340","GO:0034340","response to type I interferon","7/10","83/18614",3.21223985111533e-15,2.96596812919648e-13,1.17218577023156e-13,"4599/9636/4939/4938/3434/4940/6772",7
"GO:0048525","GO:0048525","negative regulation of viral process","7/10","90/18614",5.77469753339288e-15,3.99897804187457e-13,1.58044353545489e-13,"4599/9636/4939/4938/3434/4940/6772",7
"GO:0009615","GO:0009615","response to virus","9/10","408/18614",1.04995516132635e-14,5.81675159374797e-13,2.29884919532506e-13,"4599/9636/4939/4938/3437/3434/4940/55601/6772",9
"GO:0045071","GO:0045071","negative regulation of viral genome replication","6/10","56/18614",1.17035956894422e-13,5.40316000995914e-12,2.13539289772278e-12,"4599/9636/4939/4938/3434/4940",6
"GO:0050792","GO:0050792","regulation of viral process","7/10","165/18614",4.44069374383903e-13,1.75724595291916e-11,6.94484435126705e-12,"4599/9636/4939/4938/3434/4940/6772",7
"GO:0071357","GO:0071357","cellular response to type I interferon","6/10","77/18614",8.5132064353287e-13,2.94769772823256e-11,1.16496509115024e-11,"9636/4939/4938/3434/4940/6772",6
"GO:0045069","GO:0045069","regulation of viral genome replication","6/10","86/18614",1.68535560318782e-12,5.18715002314474e-11,2.05002318984249e-11,"4599/9636/4939/4938/3434/4940",6
"GO:0019079","GO:0019079","viral genome replication","6/10","129/18614",2.02286697775886e-11,5.60334152839203e-10,2.21450700723075e-10,"4599/9636/4939/4938/3434/4940",6
"GO:1903900","GO:1903900","regulation of viral life cycle","6/10","143/18614",3.78791668435881e-11,9.53866292333991e-10,3.76979268108436e-10,"4599/9636/4939/4938/3434/4940",6
"GO:0032481","GO:0032481","positive regulation of type I interferon production","5/10","62/18614",8.65044757298066e-11,1.99681164809637e-09,7.89163638236833e-10,"9636/4939/4938/4940/6772",5
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","5/10","76/18614",2.46197005117307e-10,5.24589003211493e-09,2.07323793782996e-09,"9636/4939/4938/4940/6772",5
"GO:0016032","GO:0016032","viral process","7/10","426/18614",3.54177707671904e-10,7.00765893036552e-09,2.76950989457729e-09,"4599/9636/4939/4938/3434/4940/6772",7
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","5/10","100/18614",9.97891594968636e-10,1.84277314537541e-08,7.28285795626232e-09,"9636/4939/4938/4940/6772",5
"GO:0032479","GO:0032479","regulation of type I interferon production","5/10","104/18614",1.21781336226182e-09,1.98431941968544e-08,7.84226561456529e-09,"9636/4939/4938/4940/6772",5
"GO:0032606","GO:0032606","type I interferon production","5/10","104/18614",1.21781336226182e-09,1.98431941968544e-08,7.84226561456529e-09,"9636/4939/4938/4940/6772",5
"GO:0032728","GO:0032728","positive regulation of interferon-beta production","4/10","38/18614",3.07287683495868e-09,4.72881601824197e-08,1.86888415693394e-08,"9636/4939/4938/4940",4
"GO:0019058","GO:0019058","viral life cycle","6/10","320/18614",4.88265374990953e-09,7.11839520381547e-08,2.81327418277336e-08,"4599/9636/4939/4938/3434/4940",6
"GO:0032608","GO:0032608","interferon-beta production","4/10","56/18614",1.52191420646905e-08,2.00747731043774e-07,7.93378834450029e-08,"9636/4939/4938/4940",4
"GO:0032648","GO:0032648","regulation of interferon-beta production","4/10","56/18614",1.52191420646905e-08,2.00747731043774e-07,7.93378834450029e-08,"9636/4939/4938/4940",4
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","6/10","492/18614",6.34929567227741e-08,7.99434046009474e-07,3.15945813357345e-07,"4599/9636/4939/4938/4940/6772",6
"GO:0060339","GO:0060339","negative regulation of type I interferon-mediated signaling pathway","3/10","20/18614",1.26679062036782e-07,1.52565652974733e-06,6.02957549282623e-07,"9636/4938/4940",3
"GO:0032069","GO:0032069","regulation of nuclease activity","3/10","22/18614",1.71031281204581e-07,1.9739860372362e-06,7.80142686196332e-07,"4939/4938/4940",3
"GO:0140374","GO:0140374","antiviral innate immune response","3/10","26/18614",2.88428267721261e-07,3.19578520635157e-06,1.26301220391626e-06,"4599/4938/3434",3
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","3/10","42/18614",1.26778167556477e-06,1.35067509281324e-05,5.33802810764115e-06,"9636/4938/4940",3
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","5/10","463/18614",2.11826704266687e-06,2.17318507710638e-05,8.58868508527697e-06,"9636/4938/4940/55601/6772",5
"GO:0001819","GO:0001819","positive regulation of cytokine production","5/10","489/18614",2.77041930233846e-06,2.74073623838483e-05,1.08317145655338e-05,"9636/4939/4938/4940/6772",5
"GO:0045824","GO:0045824","negative regulation of innate immune response","3/10","78/18614",8.31635903636295e-06,7.94355673473289e-05,3.13938780320053e-05,"9636/4938/4940",3
"GO:0001960","GO:0001960","negative regulation of cytokine-mediated signaling pathway","3/10","87/18614",1.15575581464373e-05,0.000106714786885438,4.21749490255957e-05,"9636/4938/4940",3
"GO:0060761","GO:0060761","negative regulation of response to cytokine stimulus","3/10","92/18614",1.36737386934071e-05,0.000122181471550767,4.82875661838486e-05,"9636/4938/4940",3
"GO:0039530","GO:0039530","MDA-5 signaling pathway","2/10","11/18614",1.42504603531412e-05,0.000123355547431878,4.87515748923251e-05,"4940/55601",2
"GO:0002753","GO:0002753","cytosolic pattern recognition receptor signaling pathway","3/10","95/18614",1.50584951351193e-05,0.000125452039721044,4.95801335017615e-05,"4938/4940/55601",3
