"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070914","GO:0070914","UV-damage excision repair","1/1","13/18614",0.000698399054475218,0.0149887181691198,NA,"8450",1
"GO:0035518","GO:0035518","histone H2A monoubiquitination","1/1","19/18614",0.00102073707961736,0.0149887181691198,NA,"8450",1
"GO:0033522","GO:0033522","histone H2A ubiquitination","1/1","28/18614",0.00150424411733108,0.0149887181691198,NA,"8450",1
"GO:0010390","GO:0010390","histone monoubiquitination","1/1","31/18614",0.0016654131299022,0.0149887181691198,NA,"8450",1
"GO:0016574","GO:0016574","histone ubiquitination","1/1","46/18614",0.00247125819275806,0.0174062533576872,NA,"8450",1
"GO:1900087","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","1/1","55/18614",0.00295476523047178,0.0174062533576872,NA,"8450",1
"GO:1902808","GO:1902808","positive regulation of cell cycle G1/S phase transition","1/1","68/18614",0.00365316428494689,0.0174062533576872,NA,"8450",1
"GO:0006513","GO:0006513","protein monoubiquitination","1/1","82/18614",0.00440528634361226,0.0174062533576872,NA,"8450",1
"GO:0048708","GO:0048708","astrocyte differentiation","1/1","87/18614",0.00467390136456425,0.0174062533576872,NA,"8450",1
"GO:0034644","GO:0034644","cellular response to UV","1/1","93/18614",0.00499623938970661,0.0174062533576872,NA,"8450",1
"GO:1901992","GO:1901992","positive regulation of mitotic cell cycle phase transition","1/1","99/18614",0.00531857741484887,0.0174062533576872,NA,"8450",1
"GO:1901989","GO:1901989","positive regulation of cell cycle phase transition","1/1","121/18614",0.00650048350703769,0.0178206879614421,NA,"8450",1
"GO:0071482","GO:0071482","cellular response to light stimulus","1/1","127/18614",0.00682282153218006,0.0178206879614421,NA,"8450",1
"GO:0045931","GO:0045931","positive regulation of mitotic cell cycle","1/1","129/18614",0.00693026754056081,0.0178206879614421,NA,"8450",1
"GO:0009411","GO:0009411","response to UV","1/1","154/18614",0.00827334264532054,0.0198560223487693,NA,"8450",1
"GO:2000045","GO:2000045","regulation of G1/S transition of mitotic cell cycle","1/1","186/18614",0.00999247877941345,0.0217293751066555,NA,"8450",1
"GO:0071478","GO:0071478","cellular response to radiation","1/1","191/18614",0.0102610938003651,0.0217293751066555,NA,"8450",1
"GO:0045732","GO:0045732","positive regulation of protein catabolic process","1/1","209/18614",0.0112281078757925,0.0217832644359366,NA,"8450",1
"GO:1902806","GO:1902806","regulation of cell cycle G1/S phase transition","1/1","214/18614",0.0114967228967443,0.0217832644359366,NA,"8450",1
"GO:0010001","GO:0010001","glial cell differentiation","1/1","235/18614",0.0126249059847424,0.0225220697567214,NA,"8450",1
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","1/1","251/18614",0.013484474051789,0.0225220697567214,NA,"8450",1
"GO:0090068","GO:0090068","positive regulation of cell cycle process","1/1","262/18614",0.0140754270978832,0.0225220697567214,NA,"8450",1
"GO:0044843","GO:0044843","cell cycle G1/S phase transition","1/1","281/18614",0.0150961641775006,0.0225220697567214,NA,"8450",1
"GO:0042254","GO:0042254","ribosome biogenesis","1/1","298/18614",0.0160094552487374,0.0225220697567214,NA,"8450",1
"GO:0042063","GO:0042063","gliogenesis","1/1","320/18614",0.0171913613409261,0.0225220697567214,NA,"8450",1
"GO:0009416","GO:0009416","response to light stimulus","1/1","323/18614",0.0173525303534973,0.0225220697567214,NA,"8450",1
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","1/1","339/18614",0.0182120984205439,0.0225220697567214,NA,"8450",1
"GO:0104004","GO:0104004","cellular response to environmental stimulus","1/1","339/18614",0.0182120984205439,0.0225220697567214,NA,"8450",1
"GO:0045787","GO:0045787","positive regulation of cell cycle","1/1","354/18614",0.0190179434833992,0.0225220697567214,NA,"8450",1
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","1/1","357/18614",0.0191791124959707,0.0225220697567214,NA,"8450",1
"GO:0042176","GO:0042176","regulation of protein catabolic process","1/1","361/18614",0.0193940045127323,0.0225220697567214,NA,"8450",1
"GO:0009314","GO:0009314","response to radiation","1/1","452/18614",0.0242827978940583,0.0255184269904372,NA,"8450",1
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","1/1","457/18614",0.0245514129150101,0.0255184269904372,NA,"8450",1
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","1/1","467/18614",0.025088642956914,0.0255184269904372,NA,"8450",1
"GO:0016570","GO:0016570","histone modification","1/1","475/18614",0.0255184269904372,0.0255184269904372,NA,"8450",1
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","1/1","475/18614",0.0255184269904372,0.0255184269904372,NA,"8450",1
