"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0045109","GO:0045109","intermediate filament organization","6/11","73/18614",1.34156489275551e-12,1.15374580776974e-10,4.94260749962556e-11,"3860/196374/342574/3852/3851/374454",6,"Downres_DEq_MS_C_vs_CM"
"GO:0045104","GO:0045104","intermediate filament cytoskeleton organization","6/11","92/18614",5.59498322729568e-12,1.71411233671962e-10,7.34319850491882e-11,"3860/196374/342574/3852/3851/374454",6,"Downres_DEq_MS_C_vs_CM"
"GO:0045103","GO:0045103","intermediate filament-based process","6/11","93/18614",5.97946163971961e-12,1.71411233671962e-10,7.34319850491882e-11,"3860/196374/342574/3852/3851/374454",6,"Downres_DEq_MS_C_vs_CM"
"GO:0043588","GO:0043588","skin development","6/11","308/18614",8.42511625893055e-09,1.81139999567007e-07,7.75997550164656e-08,"388698/196374/342574/3852/3851/374454",6,"Downres_DEq_MS_C_vs_CM"
"GO:0008544","GO:0008544","epidermis development","6/11","375/18614",2.7257196427941e-08,4.68823778560585e-07,2.00842499995354e-07,"388698/196374/342574/3852/3851/374454",6,"Downres_DEq_MS_C_vs_CM"
"GO:0031424","GO:0031424","keratinization","4/11","83/18614",1.18419545225731e-07,1.69734681490214e-06,7.27137558403611e-07,"196374/3852/3851/374454",4,"Downres_DEq_MS_C_vs_CM"
"GO:0030216","GO:0030216","keratinocyte differentiation","4/11","174/18614",2.31278161599773e-06,2.84141741394007e-05,1.21725348210407e-05,"196374/3852/3851/374454",4,"Downres_DEq_MS_C_vs_CM"
"GO:0009913","GO:0009913","epidermal cell differentiation","4/11","240/18614",8.28449919961079e-06,8.9058366395816e-05,3.8152298945576e-05,"196374/3852/3851/374454",4,"Downres_DEq_MS_C_vs_CM"
"GO:0048730","GO:0048730","epidermis morphogenesis","2/11","36/18614",0.000197840968191192,0.00189048036271583,0.000809875308384996,"388698/342574",2,"Downres_DEq_MS_C_vs_CM"
"GO:0030261","GO:0030261","chromosome condensation","2/11","44/18614",0.000296310201489988,0.00253292033547682,0.00108509439096314,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0045910","GO:0045910","negative regulation of DNA recombination","2/11","46/18614",0.000323978182444709,0.00253292033547682,0.00108509439096314,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0034968","GO:0034968","histone lysine methylation","2/11","104/18614",0.0016454874267994,0.0117926598920623,0.00505193508227885,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0006334","GO:0006334","nucleosome assembly","2/11","118/18614",0.00211121068669765,0.0131351712670914,0.00562706235432314,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0098773","GO:0098773","skin epidermis development","2/11","121/18614",0.00221824883416335,0.0131351712670914,0.00562706235432314,"388698/342574",2,"Downres_DEq_MS_C_vs_CM"
"GO:0018022","GO:0018022","peptidyl-lysine methylation","2/11","123/18614",0.00229101824426013,0.0131351712670914,0.00562706235432314,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0016571","GO:0016571","histone methylation","2/11","133/18614",0.00267170796340173,0.0137160595939511,0.00587591292274527,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0000018","GO:0000018","regulation of DNA recombination","2/11","134/18614",0.00271131410578103,0.0137160595939511,0.00587591292274527,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0034728","GO:0034728","nucleosome organization","2/11","138/18614",0.00287251942853403,0.0137242594918848,0.0058794257309176,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0051053","GO:0051053","negative regulation of DNA metabolic process","2/11","148/18614",0.00329489969789586,0.0149137565273181,0.00638900218428559,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0006479","GO:0006479","protein methylation","2/11","182/18614",0.00493460777084028,0.020208393728203,0.00865720661550926,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0008213","GO:0008213","protein alkylation","2/11","182/18614",0.00493460777084028,0.020208393728203,0.00865720661550926,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0071169","GO:0071169","establishment of protein localization to chromatin","1/11","10/18614",0.00589526160499398,0.0230451135467947,0.00987244766386552,"3009",1,"Downres_DEq_MS_C_vs_CM"
"GO:0050821","GO:0050821","protein stabilization","2/11","213/18614",0.00669696283146754,0.0250408175437482,0.0107274004165384,"3009/1828",2,"Downres_DEq_MS_C_vs_CM"
"GO:0065004","GO:0065004","protein-DNA complex assembly","2/11","242/18614",0.00856909150896876,0.0281284611603163,0.0120501363599886,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0051570","GO:0051570","regulation of histone H3-K9 methylation","1/11","15/18614",0.00883102850382023,0.0281284611603163,0.0120501363599886,"3009",1,"Downres_DEq_MS_C_vs_CM"
"GO:0070734","GO:0070734","histone H3-K27 methylation","1/11","15/18614",0.00883102850382023,0.0281284611603163,0.0120501363599886,"3008",1,"Downres_DEq_MS_C_vs_CM"
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","1/11","15/18614",0.00883102850382023,0.0281284611603163,0.0120501363599886,"7555",1,"Downres_DEq_MS_C_vs_CM"
"GO:0071824","GO:0071824","protein-DNA complex subunit organization","2/11","263/18614",0.0100558664978693,0.030885875672027,0.0132314032866701,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0080182","GO:0080182","histone H3-K4 trimethylation","1/11","19/18614",0.0111739647799056,0.0331365852093753,0.0141955995389001,"3008",1,"Downres_DEq_MS_C_vs_CM"
"GO:0043555","GO:0043555","regulation of translation in response to stress","1/11","22/18614",0.0129278616685893,0.0358643904354412,0.0153641819490874,"3860",1,"Downres_DEq_MS_C_vs_CM"
"GO:0051567","GO:0051567","histone H3-K9 methylation","1/11","22/18614",0.0129278616685893,0.0358643904354412,0.0153641819490874,"3009",1,"Downres_DEq_MS_C_vs_CM"
"GO:0043414","GO:0043414","macromolecule methylation","2/11","320/18614",0.0146259460334841,0.0384947199876684,0.0164910061146682,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0031647","GO:0031647","regulation of protein stability","2/11","322/18614",0.0148000866087283,0.0384947199876684,0.0164910061146682,"3009/1828",2,"Downres_DEq_MS_C_vs_CM"
"GO:0006310","GO:0006310","DNA recombination","2/11","332/18614",0.0156844641978875,0.0384947199876684,0.0164910061146682,"3008/3009",2,"Downres_DEq_MS_C_vs_CM"
"GO:0070199","GO:0070199","establishment of protein localization to chromosome","1/11","28/18614",0.0164271738685094,0.0384947199876684,0.0164910061146682,"3009",1,"Downres_DEq_MS_C_vs_CM"
"GO:0061436","GO:0061436","establishment of skin barrier","1/11","29/18614",0.0170092948782721,0.0384947199876684,0.0164910061146682,"388698",1,"Downres_DEq_MS_C_vs_CM"
