"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031492","GO:0031492","nucleosomal DNA binding","3/14","41/18369",3.69323956705733e-06,0.000184661978352867,7.77524119380491e-05,"3008/3009/10473",3,"Downres_DEq_MS_C_vs_B"
"GO:0031491","GO:0031491","nucleosome binding","3/14","71/18369",1.9536488611489e-05,0.000403154680019186,0.000169749338955447,"3008/3009/10473",3,"Downres_DEq_MS_C_vs_B"
"GO:0051880","GO:0051880","G-quadruplex DNA binding","2/14","10/18369",2.41892808011511e-05,0.000403154680019186,0.000169749338955447,"7555/7486",2,"Downres_DEq_MS_C_vs_B"
"GO:0031490","GO:0031490","chromatin DNA binding","3/14","118/18369",8.93274023148915e-05,0.00111659252893614,0.000470144222709955,"3008/3009/10473",3,"Downres_DEq_MS_C_vs_B"
"GO:0008408","GO:0008408","3'-5' exonuclease activity","2/14","54/18369",0.000754620317069947,0.00754620317069947,0.00317734870345241,"5810/7486",2,"Downres_DEq_MS_C_vs_B"
"GO:0003684","GO:0003684","damaged DNA binding","2/14","71/18369",0.00130077291090677,0.0108397742575564,0.00456411547686584,"5810/7486",2,"Downres_DEq_MS_C_vs_B"
"GO:0004527","GO:0004527","exonuclease activity","2/14","80/18369",0.00164763529131159,0.0117688235093685,0.00495529410920779,"5810/7486",2,"Downres_DEq_MS_C_vs_B"
"GO:0030527","GO:0030527","structural constituent of chromatin","2/14","97/18369",0.00240976348446807,0.0150610217779254,0.00634148285386333,"3008/3009",2,"Downres_DEq_MS_C_vs_B"
"GO:0032356","GO:0032356","oxidized DNA binding","1/14","10/18369",0.00759730480069121,0.0408507384348201,0.0172003109199243,"7486",1,"Downres_DEq_MS_C_vs_B"
"GO:0032404","GO:0032404","mismatch repair complex binding","1/14","11/18369",0.00835408010069627,0.0408507384348201,0.0172003109199243,"7486",1,"Downres_DEq_MS_C_vs_B"
"GO:0031386","GO:0031386","protein tag","1/14","13/18369",0.00986602334666209,0.0408507384348201,0.0172003109199243,"7311",1,"Downres_DEq_MS_C_vs_B"
"GO:0004518","GO:0004518","nuclease activity","2/14","207/18369",0.0105196650103235,0.0408507384348201,0.0172003109199243,"5810/7486",2,"Downres_DEq_MS_C_vs_B"
"GO:0043138","GO:0043138","3'-5' DNA helicase activity","1/14","14/18369",0.0106211919930532,0.0408507384348201,0.0172003109199243,"7486",1,"Downres_DEq_MS_C_vs_B"
"GO:0000400","GO:0000400","four-way junction DNA binding","1/14","17/18369",0.0128834902240252,0.0460124650858044,0.0193736695098124,"7486",1,"Downres_DEq_MS_C_vs_B"
