"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-3108214","R-HSA-3108214","SUMOylation of DNA damage response and repair proteins","3/6","77/10955",6.57748558564271e-06,0.00031571930811085,0.000110778704600298,"SMC6/SMC5/NSMCE2",3,"Upres_DEq_MS_BM_vs_B"
"R-HSA-3108232","R-HSA-3108232","SUMO E3 ligases SUMOylate target proteins","3/6","182/10955",8.69514820180872e-05,0.00129611689219485,0.000454777856910473,"SMC6/SMC5/NSMCE2",3,"Upres_DEq_MS_BM_vs_B"
"R-HSA-2990846","R-HSA-2990846","SUMOylation","3/6","188/10955",9.57691683127564e-05,0.00129611689219485,0.000454777856910473,"SMC6/SMC5/NSMCE2",3,"Upres_DEq_MS_BM_vs_B"
"R-HSA-3000157","R-HSA-3000157","Laminin interactions","2/6","30/10955",0.000108009741016237,0.00129611689219485,0.000454777856910473,"HSPG2/ITGA1",2,"Upres_DEq_MS_BM_vs_B"
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","2/6","85/10955",0.000874608274548524,0.00839623943566583,0.00294604892479503,"HSPG2/ITGA1",2,"Upres_DEq_MS_BM_vs_B"
"R-HSA-3656237","R-HSA-3656237","Defective EXT2 causes exostoses 2","1/6","14/10955",0.00764501503982873,0.0338588710364738,0.0118803056268329,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-3656253","R-HSA-3656253","Defective EXT1 causes exostoses 1, TRPS2 and CHDS","1/6","14/10955",0.00764501503982873,0.0338588710364738,0.0118803056268329,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-75892","R-HSA-75892","Platelet Adhesion to exposed collagen","1/6","15/10955",0.00818921848647558,0.0338588710364738,0.0118803056268329,"ITGA1",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-416700","R-HSA-416700","Other semaphorin interactions","1/6","19/10955",0.0103635459637463,0.0338588710364738,0.0118803056268329,"ITGA1",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-5423646","R-HSA-5423646","Aflatoxin activation and detoxification","1/6","19/10955",0.0103635459637463,0.0338588710364738,0.0118803056268329,"DPEP1",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-9694614","R-HSA-9694614","Attachment and Entry","1/6","19/10955",0.0103635459637463,0.0338588710364738,0.0118803056268329,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization","2/6","300/10955",0.0104233754525613,0.0338588710364738,0.0118803056268329,"HSPG2/ITGA1",2,"Upres_DEq_MS_BM_vs_B"
"R-HSA-3560783","R-HSA-3560783","Defective B4GALT7 causes EDS, progeroid type","1/6","20/10955",0.0109065067102915,0.0338588710364738,0.0118803056268329,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-3560801","R-HSA-3560801","Defective B3GAT3 causes JDSSDHD","1/6","20/10955",0.0109065067102915,0.0338588710364738,0.0118803056268329,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-4420332","R-HSA-4420332","Defective B3GALT6 causes EDSP2 and SEMDJL1","1/6","20/10955",0.0109065067102915,0.0338588710364738,0.0118803056268329,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-2142691","R-HSA-2142691","Synthesis of Leukotrienes (LT) and Eoxins (EX)","1/6","21/10955",0.0114492191894628,0.0338588710364738,0.0118803056268329,"DPEP1",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-2024096","R-HSA-2024096","HS-GAG degradation","1/6","22/10955",0.0119916834920845,0.0338588710364738,0.0118803056268329,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-1971475","R-HSA-1971475","A tetrasaccharide linker sequence is required for GAG synthesis","1/6","26/10955",0.0141590607526796,0.0377574953404789,0.0132482439791154,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-2022928","R-HSA-2022928","HS-GAG biosynthesis","1/6","31/10955",0.0168627092445606,0.0426005286178372,0.0149475539009955,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
"R-HSA-9772572","R-HSA-9772572","Early SARS-CoV-2 Infection Events","1/6","38/10955",0.0206374343390809,0.0495298424137943,0.0173788920750155,"HSPG2",1,"Upres_DEq_MS_BM_vs_B"
