"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"R-HSA-193775","R-HSA-193775","Synthesis of bile acids and bile salts via 24-hydroxycholesterol","1/4","14/10955",0.00510272781225585,0.0441023048451014,0.0164728473105642,"AKR1C4",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-193807","R-HSA-193807","Synthesis of bile acids and bile salts via 27-hydroxycholesterol","1/4","15/10955",0.00546645956335268,0.0441023048451014,0.0164728473105642,"AKR1C4",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-9613829","R-HSA-9613829","Chaperone Mediated Autophagy","1/4","22/10955",0.0080097900206596,0.0441023048451014,0.0164728473105642,"LAMP2",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-193368","R-HSA-193368","Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol","1/4","24/10955",0.00873555904812684,0.0441023048451014,0.0164728473105642,"AKR1C4",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-2173788","R-HSA-2173788","Downregulation of TGF-beta receptor signaling","1/4","26/10955",0.00946092975736146,0.0441023048451014,0.0164728473105642,"NEDD4L",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-162588","R-HSA-162588","Budding and maturation of HIV virion","1/4","29/10955",0.0105482392933803,0.0441023048451014,0.0164728473105642,"NEDD4L",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-2173795","R-HSA-2173795","Downregulation of SMAD2/3:SMAD4 transcriptional activity","1/4","30/10955",0.0109104768041642,0.0441023048451014,0.0164728473105642,"NEDD4L",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-192105","R-HSA-192105","Synthesis of bile acids and bile salts","1/4","34/10955",0.0123584323268587,0.0441023048451014,0.0164728473105642,"AKR1C4",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-975634","R-HSA-975634","Retinoid metabolism and transport","1/4","44/10955",0.0159713658622767,0.0441023048451014,0.0164728473105642,"AKR1C4",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-194068","R-HSA-194068","Bile acid and bile salt metabolism","1/4","45/10955",0.0163321132306711,0.0441023048451014,0.0164728473105642,"AKR1C4",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-2173789","R-HSA-2173789","TGF-beta receptor signaling activates SMADs","1/4","46/10955",0.0166927614018052,0.0441023048451014,0.0164728473105642,"NEDD4L",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-6806667","R-HSA-6806667","Metabolism of fat-soluble vitamins","1/4","48/10955",0.0174137602250385,0.0441023048451014,0.0164728473105642,"AKR1C4",1,"Upres_DEq_MS_CM_vs_BM"
"R-HSA-2173793","R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","1/4","51/10955",0.0184945149350425,0.0441023048451014,0.0164728473105642,"NEDD4L",1,"Upres_DEq_MS_CM_vs_BM"
