"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0006081","GO:0006081","cellular aldehyde metabolic process","8/61","69/18614",5.91018778232305e-11,1.07860927027396e-07,7.89476662712415e-08,"7167/2739/26007/3417/8644/7086/6888/216",8,"Upres_DEq_MS_MF_vs_HF"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","10/61","328/18614",1.02378370619005e-07,6.77895699332465e-05,4.96178596944714e-05,"4282/1066/7358/8644/5092/4048/2194/55256/3692/216",10,"Upres_DEq_MS_MF_vs_HF"
"GO:0016053","GO:0016053","organic acid biosynthetic process","10/61","331/18614",1.11434909479309e-07,6.77895699332465e-05,4.96178596944714e-05,"4282/1066/7358/8644/5092/4048/2194/55256/3692/216",10,"Upres_DEq_MS_MF_vs_HF"
"GO:0006066","GO:0006066","alcohol metabolic process","10/61","366/18614",2.82506919150407e-07,0.000128893781862373,9.43424422110176e-05,"3949/6817/7167/26007/1066/6647/3417/8644/5092/216",10,"Upres_DEq_MS_MF_vs_HF"
"GO:0006414","GO:0006414","translational elongation","5/61","58/18614",1.28227757209524e-06,0.000468031313814763,0.000342570576629234,"6181/6176/10399/1938/1936",5,"Upres_DEq_MS_MF_vs_HF"
"GO:0019362","GO:0019362","pyridine nucleotide metabolic process","5/61","79/18614",5.9835877205511e-06,0.00155824485539654,0.00114054086315686,"7415/23475/3417/7086/6888",5,"Upres_DEq_MS_MF_vs_HF"
"GO:0046496","GO:0046496","nicotinamide nucleotide metabolic process","5/61","79/18614",5.9835877205511e-06,0.00155824485539654,0.00114054086315686,"7415/23475/3417/7086/6888",5,"Upres_DEq_MS_MF_vs_HF"
"GO:0006096","GO:0006096","glycolytic process","5/61","85/18614",8.57868304894054e-06,0.00155824485539654,0.00114054086315686,"7167/226/2597/2821/3692",5,"Upres_DEq_MS_MF_vs_HF"
"GO:0072524","GO:0072524","pyridine-containing compound metabolic process","5/61","85/18614",8.57868304894054e-06,0.00155824485539654,0.00114054086315686,"7415/23475/3417/7086/6888",5,"Upres_DEq_MS_MF_vs_HF"
"GO:0006757","GO:0006757","ATP generation from ADP","5/61","86/18614",9.08544098287555e-06,0.00155824485539654,0.00114054086315686,"7167/226/2597/2821/3692",5,"Upres_DEq_MS_MF_vs_HF"
"GO:0052547","GO:0052547","regulation of peptidase activity","9/61","425/18614",9.39216077225314e-06,0.00155824485539654,0.00114054086315686,"3336/7415/10935/10399/2168/2597/5037/2821/5269",9,"Upres_DEq_MS_MF_vs_HF"
"GO:0034614","GO:0034614","cellular response to reactive oxygen species","6/61","152/18614",1.02973390684196e-05,0.00156605364998882,0.00114625642787934,"5052/6647/10935/10399/2168/8644",6,"Upres_DEq_MS_MF_vs_HF"
"GO:0052548","GO:0052548","regulation of endopeptidase activity","8/61","336/18614",1.3281088210791e-05,0.0018014893687593,0.00131858111547544,"3336/7415/10935/10399/2168/2597/2821/5269",8,"Upres_DEq_MS_MF_vs_HF"
"GO:0046031","GO:0046031","ADP metabolic process","5/61","94/18614",1.40357869196862e-05,0.0018014893687593,0.00131858111547544,"7167/226/2597/2821/3692",5,"Upres_DEq_MS_MF_vs_HF"
"GO:0016052","GO:0016052","carbohydrate catabolic process","6/61","162/18614",1.48067619350079e-05,0.0018014893687593,0.00131858111547544,"7167/26007/226/2597/2821/3692",6,"Upres_DEq_MS_MF_vs_HF"
"GO:0006165","GO:0006165","nucleoside diphosphate phosphorylation","5/61","102/18614",2.0875457209581e-05,0.00229457484272385,0.00167948981999513,"7167/226/2597/2821/3692",5,"Upres_DEq_MS_MF_vs_HF"
