"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05169","hsa05169","Epstein-Barr virus infection","8/23","202/8776",2.50080931945032e-08,1.5755098712537e-06,1.23724250541226e-06,"4938/9636/6772/4940/5610/6891/6892/6890",8
"hsa05171","hsa05171","Coronavirus disease - COVID-19","6/23","233/8776",2.26924614057483e-05,0.000503039473162363,0.000395035175248639,"4938/9636/6772/4940/5610/64135",6
"hsa05162","hsa05162","Measles","5/23","138/8776",2.39542606267792e-05,0.000503039473162363,0.000395035175248639,"4938/6772/4940/5610/64135",5
"hsa05164","hsa05164","Influenza A","5/23","171/8776",6.70595165269659e-05,0.00105618738529971,0.00082942033599142,"4938/6772/4940/5610/64135",5
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection","5/23","212/8776",0.000185100918385904,0.00233227157166239,0.00183152487666052,"6891/6892/684/6890/983",5
"hsa05160","hsa05160","Hepatitis C","4/23","158/8776",0.0006857088654241,0.00719994308695305,0.00565409064472504,"4938/6772/4940/5610",4
"hsa04612","hsa04612","Antigen processing and presentation","3/23","78/8776",0.00105241855208178,0.00947176696873603,0.00743814615757048,"6891/6892/6890",3
"hsa05340","hsa05340","Primary immunodeficiency","2/23","38/8776",0.00436160055844674,0.0343476043977681,0.0269730560851311,"6891/6890",2
"hsa02010","hsa02010","ABC transporters","2/23","45/8776",0.00607425794701745,0.0399437565331499,0.0313676951889398,"6891/6890",2
"hsa03050","hsa03050","Proteasome","2/23","46/8776",0.00634027881478571,0.0399437565331499,0.0313676951889398,"5698/5696",2
"hsa04217","hsa04217","Necroptosis","3/23","159/8776",0.00792023060294694,0.0453613207259689,0.0356220897931585,"6772/5610/2752",3
