"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048525","GO:0048525","negative regulation of viral process","15/43","90/18614",7.35537192100285e-25,5.87694216488128e-22,4.10352328224369e-22,"4938/9636/6772/4940/5610/3669/5359/4599/684/10410/64135/6737/3434/24138/4939",15
"GO:0045071","GO:0045071","negative regulation of viral genome replication","13/43","56/18614",1.2584007554974e-23,5.02731101821211e-21,3.51027579165064e-21,"4938/9636/4940/5610/3669/5359/4599/684/10410/64135/3434/24138/4939",13
"GO:0051607","GO:0051607","defense response to virus","19/43","303/18614",3.35109114639647e-23,7.13118240061606e-21,4.97928551785325e-21,"4938/9636/6772/151636/4940/5610/3669/3437/5359/4599/684/10410/10379/64135/6737/3429/3434/24138/4939",19
"GO:0140546","GO:0140546","defense response to symbiont","19/43","304/18614",3.57005376751742e-23,7.13118240061606e-21,4.97928551785325e-21,"4938/9636/6772/151636/4940/5610/3669/3437/5359/4599/684/10410/10379/64135/6737/3429/3434/24138/4939",19
"GO:0045069","GO:0045069","regulation of viral genome replication","14/43","86/18614",4.68021318912041e-23,7.47898067621442e-21,5.22213261101857e-21,"4938/9636/4940/5610/3669/5359/4599/684/10410/7153/64135/3434/24138/4939",14
"GO:0050792","GO:0050792","regulation of viral process","16/43","165/18614",1.49155452824289e-22,1.98625344677678e-20,1.38688403503286e-20,"4938/9636/6772/4940/5610/3669/5359/4599/684/10410/7153/64135/6737/3434/24138/4939",16
"GO:0019079","GO:0019079","viral genome replication","15/43","129/18614",2.27281910822783e-22,2.59426066782005e-20,1.81141974039211e-20,"4938/9636/4940/5610/3669/5359/4599/684/10410/7153/64135/3429/3434/24138/4939",15
"GO:1903900","GO:1903900","regulation of viral life cycle","15/43","143/18614",1.13871811631014e-21,1.13729471866475e-19,7.94106054795229e-20,"4938/9636/4940/5610/3669/5359/4599/684/10410/7153/64135/6737/3434/24138/4939",15
"GO:0009615","GO:0009615","response to virus","19/43","408/18614",9.74677944968964e-21,8.65297420033558e-19,6.04186328460294e-19,"4938/9636/6772/151636/4940/5610/3669/3437/5359/4599/684/10410/10379/64135/6737/3429/3434/24138/4939",19
"GO:0016032","GO:0016032","viral process","18/43","426/18614",7.47825123644862e-19,5.97512273792244e-17,4.17207700559765e-17,"4938/9636/6772/4940/5610/3669/5359/4599/684/10410/7153/84875/64135/6737/3429/3434/24138/4939",18
"GO:0019058","GO:0019058","viral life cycle","16/43","320/18614",6.98177906435947e-18,5.07131042947565e-16,3.54099799436413e-16,"4938/9636/4940/5610/3669/5359/4599/684/10410/7153/64135/6737/3429/3434/24138/4939",16
"GO:0034340","GO:0034340","response to type I interferon","11/43","83/18614",3.56913259857656e-17,2.37644745521889e-15,1.65933357653121e-15,"4938/9636/6772/4940/6672/4599/10410/3429/3434/4939/11274",11
"GO:0071357","GO:0071357","cellular response to type I interferon","10/43","77/18614",1.3750007261928e-15,8.45096600175423e-14,5.90081283305414e-14,"4938/9636/6772/4940/6672/10410/3429/3434/4939/11274",10
"GO:0140888","GO:0140888","interferon-mediated signaling pathway","10/43","100/18614",2.09044291180674e-14,1.19304563323827e-12,8.33033641547047e-13,"4938/9636/6772/4940/6672/54625/10410/3429/4939/11274",10
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","9/43","76/18614",9.75057463982164e-14,5.19380609147833e-12,3.62652951516173e-12,"4938/9636/6772/4940/6672/10410/3429/4939/11274",9
"GO:0045824","GO:0045824","negative regulation of innate immune response","7/43","78/18614",4.91878208083604e-10,2.4563168016175e-08,1.7151016466073e-08,"4938/9636/4940/54625/6737/11274/3106",7
"GO:0032479","GO:0032479","regulation of type I interferon production","7/43","104/18614",3.7844179158295e-09,1.67986106374876e-07,1.17294824291792e-07,"4938/9636/6772/4940/64135/6737/4939",7
