"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003725","GO:0003725","double-stranded RNA binding","5/43","70/18369",5.97879429182506e-07,8.22286144279623e-05,6.10066448197311e-05,"4938/4940/5610/64135/4939",5
"GO:1904680","GO:1904680","peptide transmembrane transporter activity","3/43","10/18369",1.41751727233021e-06,8.22286144279623e-05,6.10066448197311e-05,"6891/6892/6890",3
"GO:0016779","GO:0016779","nucleotidyltransferase activity","6/43","154/18369",1.48605929689088e-06,8.22286144279623e-05,6.10066448197311e-05,"4938/4940/54625/84875/64761/4939",6
"GO:0042605","GO:0042605","peptide antigen binding","4/43","39/18369",2.01682629625747e-06,8.36982912946848e-05,6.2097020174243e-05,"6891/6892/6890/3106",4
"GO:0042887","GO:0042887","amide transmembrane transporter activity","4/43","46/18369",3.95406317575676e-06,0.000131274897435124,9.7394819276535e-05,"6891/6892/6890/10560",4
"GO:0003950","GO:0003950","NAD+ ADP-ribosyltransferase activity","3/43","23/18369",2.0480655636821e-05,0.000485684119387469,0.000360336347294445,"54625/84875/64761",3
"GO:1990404","GO:1990404","NAD+-protein ADP-ribosyltransferase activity","3/43","23/18369",2.0480655636821e-05,0.000485684119387469,0.000360336347294445,"54625/84875/64761",3
"GO:0070566","GO:0070566","adenylyltransferase activity","3/43","30/18369",4.64182799028038e-05,0.000963179307983179,0.000714597203766848,"4938/4940/4939",3
"GO:0042287","GO:0042287","MHC protein binding","3/43","42/18369",0.000128707414509261,0.00237393675650415,0.00176125935644252,"6891/6892/6890",3
"GO:0003823","GO:0003823","antigen binding","4/43","118/18369",0.000164558311652251,0.00273166797342737,0.00202666552245404,"6891/6892/6890/3106",4
"GO:0016763","GO:0016763","pentosyltransferase activity","3/43","49/18369",0.000204215965825074,0.00282498752724686,0.00209590070188892,"54625/84875/64761",3
"GO:0140359","GO:0140359","ABC-type transporter activity","3/43","49/18369",0.000204215965825074,0.00282498752724686,0.00209590070188892,"6891/6892/6890",3
"GO:0070003","GO:0070003","threonine-type peptidase activity","2/43","19/18369",0.000892450053409737,0.0113959006820013,0.0084547899796712,"5698/5696",2
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","3/43","99/18369",0.00160272174279398,0.0190037006645572,0.0140991311208193,"6891/6892/6890",3
"GO:0016887","GO:0016887","ATP hydrolysis activity","5/43","376/18369",0.00177754748194964,0.0196715254669093,0.0145946003781128,"6891/57674/4176/6890/64135",5
