"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016812","GO:0016812","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides","1/3","15/18369",0.00244791275037481,0.0262656794987453,0.00240418118981651,"1800",1
"GO:0016805","GO:0016805","dipeptidase activity","1/3","17/18369",0.00277399896600883,0.0262656794987453,0.00240418118981651,"1800",1
"GO:0043027","GO:0043027","cysteine-type endopeptidase inhibitor activity involved in apoptotic process","1/3","21/18369",0.00342595819548852,0.0262656794987453,0.00240418118981651,"1800",1
"GO:0051861","GO:0051861","glycolipid binding","1/3","29/18369",0.00472902406417142,0.0268588450590283,0.00245847552027719,"1800",1
"GO:0031492","GO:0031492","nucleosomal DNA binding","1/3","41/18369",0.00668149232097881,0.0268588450590283,0.00245847552027719,"3008",1
"GO:0043028","GO:0043028","cysteine-type endopeptidase regulator activity involved in apoptotic process","1/3","43/18369",0.00700665523278998,0.0268588450590283,0.00245847552027719,"1800",1
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","1/3","54/18369",0.00879378288184396,0.0288938580403444,0.00264474673138164,"1800",1
"GO:0008235","GO:0008235","metalloexopeptidase activity","1/3","68/18369",0.0110652061134753,0.0295204687237563,0.00270210240034383,"1800",1
"GO:0031491","GO:0031491","nucleosome binding","1/3","71/18369",0.0115514877614699,0.0295204687237563,0.00270210240034383,"3008",1
"GO:0072341","GO:0072341","modified amino acid binding","1/3","85/18369",0.0138186944350198,0.0317535450591456,0.00290650298024216,"1800",1
"GO:0030527","GO:0030527","structural constituent of chromatin","1/3","97/18369",0.015759252886965,0.0317535450591456,0.00290650298024216,"3008",1
"GO:0008238","GO:0008238","exopeptidase activity","1/3","102/18369",0.0165670669873803,0.0317535450591456,0.00290650298024216,"1800",1
"GO:0031490","GO:0031490","chromatin DNA binding","1/3","118/18369",0.0191491015975608,0.0338791797495306,0.00310106908462523,"3008",1
"GO:0016810","GO:0016810","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds","1/3","131/18369",0.021243673802497,0.0349003212469594,0.00319453741390933,"1800",1
"GO:0016853","GO:0016853","isomerase activity","1/3","154/18369",0.0249421466982701,0.0382446249373475,0.00350065216817826,"64081",1
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","1/3","173/18369",0.0279903701092165,0.038533072194634,0.00352705466312439,"1800",1
"GO:0030414","GO:0030414","peptidase inhibitor activity","1/3","180/18369",0.0291117963401277,0.038533072194634,0.00352705466312439,"1800",1
"GO:0061135","GO:0061135","endopeptidase regulator activity","1/3","187/18369",0.0302323596984655,0.038533072194634,0.00352705466312439,"1800",1
"GO:0008237","GO:0008237","metallopeptidase activity","1/3","197/18369",0.0318316683346976,0.038533072194634,0.00352705466312439,"1800",1
"GO:0061134","GO:0061134","peptidase regulator activity","1/3","230/18369",0.0370969097360832,0.0426614461964956,0.00390493786695612,"1800",1
"GO:0035091","GO:0035091","phosphatidylinositol binding","1/3","275/18369",0.0442459712049241,0.0484598732244407,0.00443568633633325,"1800",1
