"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031406","GO:0031406","carboxylic acid binding","8/44","200/18369",2.17451772658996e-08,1.70956223439489e-06,1.15317409581094e-06,"2938/54659/54658/1644/213/259/5948/4706",8
"GO:0005501","GO:0005501","retinoid binding","5/44","38/18369",2.95183546052266e-08,1.70956223439489e-06,1.15317409581094e-06,"127/54659/5950/54658/5948",5
"GO:0019840","GO:0019840","isoprenoid binding","5/44","38/18369",2.95183546052266e-08,1.70956223439489e-06,1.15317409581094e-06,"127/54659/5950/54658/5948",5
"GO:0043177","GO:0043177","organic acid binding","8/44","212/18369",3.42136295507062e-08,1.70956223439489e-06,1.15317409581094e-06,"2938/54659/54658/1644/213/259/5948/4706",8
"GO:0033293","GO:0033293","monocarboxylic acid binding","6/44","80/18369",3.48890251917324e-08,1.70956223439489e-06,1.15317409581094e-06,"2938/54659/54658/213/5948/4706",6
"GO:0019842","GO:0019842","vitamin binding","6/44","150/18369",1.46575498658016e-06,5.98516619520233e-05,4.03725496303659e-05,"2194/127/5950/1644/213/5948",6
"GO:0005504","GO:0005504","fatty acid binding","4/44","49/18369",5.607562012346e-06,0.00019626467043211,0.000132389058035838,"2938/213/5948/4706",4
"GO:0019841","GO:0019841","retinol binding","3/44","16/18369",7.02612799706149e-06,0.000215175169910008,0.000145145012570875,"127/5950/5948",3
"GO:0016918","GO:0016918","retinal binding","3/44","19/18369",1.20968048880666e-05,0.000329301910841813,0.000222128464026486,"127/5950/5948",3
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","4/44","61/18369",1.35259093020188e-05,0.000331384777899461,0.000223533448464943,"2939/2938/2222/2948",4
"GO:0004857","GO:0004857","enzyme inhibitor activity","7/44","359/18369",2.1123130720875e-05,0.000470469729692215,0.000317352298868648,"54658/259/336/5265/2/197/6209",7
"GO:0004364","GO:0004364","glutathione transferase activity","3/44","26/18369",3.20798778923061e-05,0.000654964173634582,0.000441801827113338,"2939/2938/2948",3
"GO:0043178","GO:0043178","alcohol binding","4/44","88/18369",5.76655280998244e-05,0.001086773414189,0.000733075944264974,"127/5950/5948/336",4
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","4/44","173/18369",0.000768921087154932,0.0134561190252113,0.00907673764536273,"259/5265/2/197",4
"GO:0001972","GO:0001972","retinoic acid binding","2/44","18/18369",0.000837290075432189,0.0136506560533002,0.00920796133348286,"54659/54658",2
"GO:0030414","GO:0030414","peptidase inhibitor activity","4/44","180/18369",0.000891471415725729,0.0136506560533002,0.00920796133348286,"259/5265/2/197",4
"GO:0061135","GO:0061135","endopeptidase regulator activity","4/44","187/18369",0.00102721283172297,0.0148039496336546,0.00998590802356076,"259/5265/2/197",4
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","3/44","92/18369",0.00138782900010457,0.0188898947236455,0.0127420557319542,"259/5265/2",3
"GO:0005496","GO:0005496","steroid binding","3/44","99/18369",0.00171331172021658,0.0220927037606874,0.0149024897547924,"54658/336/2103",3
"GO:0061134","GO:0061134","peptidase regulator activity","4/44","230/18369",0.00219524198050191,0.0268917142611484,0.0181396311020421,"259/5265/2/197",4
"GO:0015020","GO:0015020","glucuronosyltransferase activity","2/44","34/18369",0.00299628998938614,0.0338345714933712,0.0228228903306521,"54659/54658",2
"GO:0016746","GO:0016746","acyltransferase activity","4/44","253/18369",0.00309603932839213,0.0338345714933712,0.0228228903306521,"2194/348158/3157/570",4
"GO:0016616","GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3/44","123/18369",0.00317630671162261,0.0338345714933712,0.0228228903306521,"2194/622/127",3
"GO:0016614","GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","3/44","133/18369",0.00395691732636808,0.0389003648672809,0.0262399883315278,"2194/622/127",3
"GO:0016709","GO:0016709","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen","2/44","40/18369",0.00412820198591553,0.0389003648672809,0.0262399883315278,"2330/1595",2
"GO:0016790","GO:0016790","thiolester hydrolase activity","2/44","40/18369",0.00412820198591553,0.0389003648672809,0.0262399883315278,"2194/570",2
