"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0006275","GO:0006275","regulation of DNA replication","3/5","136/18614",3.77451502735386e-06,0.000437672158554385,0.000150230718039263,"4175/4176/983",3,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0000727","GO:0000727","double-strand break repair via break-induced replication","2/5","12/18614",3.80584485699465e-06,0.000437672158554385,0.000150230718039263,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation","2/5","15/18614",6.05280092770815e-06,0.000464048071124292,0.000159284234939688,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0006268","GO:0006268","DNA unwinding involved in DNA replication","2/5","21/18614",1.20977956730897e-05,0.000695623251202658,0.000238772283021507,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0009636","GO:0009636","response to toxic substance","3/5","242/18614",2.1290742182878e-05,0.000979374140412387,0.000336169613413863,"983/213/5243",3,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0006260","GO:0006260","DNA replication","3/5","278/18614",3.22335672307573e-05,0.00123562007717903,0.000424125884615227,"4175/4176/983",3,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0006270","GO:0006270","DNA replication initiation","2/5","37/18614",3.83013353990208e-05,0.00125847244882497,0.000431969948109257,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0090329","GO:0090329","regulation of DNA-templated DNA replication","2/5","58/18614",9.4848675328209e-05,0.00272689941568601,0.000936006664423115,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0009410","GO:0009410","response to xenobiotic stimulus","3/5","440/18614",0.000126624727841254,0.00323596526705426,0.00111074322667766,"4176/983/5243",3,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0032508","GO:0032508","DNA duplex unwinding","2/5","77/18614",0.000167550004831452,0.00385365011112339,0.00132276319603778,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0032392","GO:0032392","DNA geometric change","2/5","83/18614",0.000194738340218193,0.00407180165910767,0.00139764359008272,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0071103","GO:0071103","DNA conformation change","2/5","90/18614",0.000229015355325685,0.00438946097707562,0.00150667996924793,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0000086","GO:0000086","G2/M transition of mitotic cell cycle","2/5","136/18614",0.000522337888523725,0.00924136264311206,0.00317209244042748,"983/5243",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0098754","GO:0098754","detoxification","2/5","144/18614",0.000585332495004087,0.00961617670363856,0.00330074715227868,"213/5243",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0044839","GO:0044839","cell cycle G2/M phase transition","2/5","151/18614",0.00064334561026292,0.00986463269069811,0.00338602952769958,"983/5243",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0006261","GO:0006261","DNA-templated DNA replication","2/5","160/18614",0.000721890749691321,0.0103771795268127,0.00356196093597691,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","2/5","171/18614",0.000823917584048723,0.0110228482414509,0.00378358635290078,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0000725","GO:0000725","recombinational repair","2/5","175/18614",0.000862657688461378,0.0110228482414509,0.00378358635290078,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0071466","GO:0071466","cellular response to xenobiotic stimulus","2/5","189/18614",0.00100511165012232,0.0121671410277965,0.00417636419718414,"4176/5243",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0006302","GO:0006302","double-strand break repair","2/5","303/18614",0.00255675354950904,0.028055333522227,0.00962997718154246,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0055015","GO:0055015","ventricular cardiac muscle cell development","1/5","10/18614",0.0026835536412565,0.028055333522227,0.00962997718154246,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:1903959","GO:1903959","regulation of monoatomic anion transmembrane transport","1/5","10/18614",0.0026835536412565,0.028055333522227,0.00962997718154246,"5243",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0006310","GO:0006310","DNA recombination","2/5","332/18614",0.00306083861331241,0.0306083861331241,0.0105063110296765,"4175/4176",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0051657","GO:0051657","maintenance of organelle location","1/5","12/18614",0.00321957236052361,0.030847604794494,0.0105884226983389,"213",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0048308","GO:0048308","organelle inheritance","1/5","14/18614",0.00375536058367754,0.030847604794494,0.0105884226983389,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0048313","GO:0048313","Golgi inheritance","1/5","14/18614",0.00375536058367754,0.030847604794494,0.0105884226983389,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0055012","GO:0055012","ventricular cardiac muscle cell differentiation","1/5","14/18614",0.00375536058367754,0.030847604794494,0.0105884226983389,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:1902969","GO:1902969","mitotic DNA replication","1/5","14/18614",0.00375536058367754,0.030847604794494,0.0105884226983389,"4175",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0006271","GO:0006271","DNA strand elongation involved in DNA replication","1/5","15/18614",0.00402316828244509,0.0319078863780128,0.0109523637453133,"4176",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0047484","GO:0047484","regulation of response to osmotic stress","1/5","16/18614",0.00429091838506301,0.0328970409521498,0.0112918904870079,"5243",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0035627","GO:0035627","ceramide transport","1/5","17/18614",0.00455861090082155,0.0336374709991608,0.0115460426770575,"5243",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0034501","GO:0034501","protein localization to kinetochore","1/5","18/18614",0.00482624583901003,0.0336374709991608,0.0115460426770575,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:1903083","GO:1903083","protein localization to condensed chromosome","1/5","18/18614",0.00482624583901003,0.0336374709991608,0.0115460426770575,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0044070","GO:0044070","regulation of monoatomic anion transport","1/5","19/18614",0.00509382320891794,0.0344582158250331,0.0118277628690045,"5243",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","2/5","467/18614",0.00597322848520665,0.039252644331358,0.0134734477109924,"983/5243",2,"Downres_DEq_MS_HBVM_vs_Null"
"GO:1990961","GO:1990961","xenobiotic detoxification by transmembrane export across the plasma membrane","1/5","24/18614",0.00643084685927697,0.0410859660453807,0.0141027343405197,"5243",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0046618","GO:0046618","xenobiotic export from cell","1/5","27/18614",0.00723237082438,0.0449579808002,0.01543180119,"5243",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0010971","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","1/5","28/18614",0.00749943049758584,0.045391289853809,0.0155805342747628,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0060045","GO:0060045","positive regulation of cardiac muscle cell proliferation","1/5","30/18614",0.008033377426929,0.0473763284152223,0.0162618976253623,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:1902751","GO:1902751","positive regulation of cell cycle G2/M phase transition","1/5","31/18614",0.00830026470162026,0.0477265220343165,0.0163821013847768,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0070633","GO:0070633","transepithelial transport","1/5","34/18614",0.00910058187707996,0.0498988633805284,0.0171277563091059,"5243",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0007095","GO:0007095","mitotic G2 DNA damage checkpoint signaling","1/5","35/18614",0.00936723941694095,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0014037","GO:0014037","Schwann cell differentiation","1/5","37/18614",0.00990038227435575,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0022616","GO:0022616","DNA strand elongation","1/5","37/18614",0.00990038227435575,0.0498988633805284,0.0171277563091059,"4176",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0055023","GO:0055023","positive regulation of cardiac muscle tissue growth","1/5","37/18614",0.00990038227435575,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0033260","GO:0033260","nuclear DNA replication","1/5","38/18614",0.0101668676104504,0.0498988633805284,0.0171277563091059,"4175",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0042307","GO:0042307","positive regulation of protein import into nucleus","1/5","39/18614",0.0104332955638281,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0045740","GO:0045740","positive regulation of DNA replication","1/5","39/18614",0.0104332955638281,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0060421","GO:0060421","positive regulation of heart growth","1/5","41/18614",0.0109659793595043,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0046688","GO:0046688","response to copper ion","1/5","42/18614",0.0112322352203346,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0044786","GO:0044786","cell cycle DNA replication","1/5","43/18614",0.0114984337355131,0.0498988633805284,0.0171277563091059,"4175",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0071364","GO:0071364","cellular response to epidermal growth factor stimulus","1/5","43/18614",0.0114984337355131,0.0498988633805284,0.0171277563091059,"4176",1,"Downres_DEq_MS_HBVM_vs_Null"
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","1/5","43/18614",0.0114984337355131,0.0498988633805284,0.0171277563091059,"983",1,"Downres_DEq_MS_HBVM_vs_Null"
