"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051984","GO:0051984","positive regulation of chromosome segregation","2/4","27/18614",1.21354015502428e-05,0.00234213249919686,0.000510964275799696,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0030261","GO:0030261","chromosome condensation","2/4","44/18614",3.26669583099426e-05,0.00315236147690946,0.000687725438104055,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:2001252","GO:2001252","positive regulation of chromosome organization","2/4","111/18614",0.000209803984242104,0.0134973896529087,0.00294461732269619,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0051983","GO:0051983","regulation of chromosome segregation","2/4","131/18614",0.000292205328961844,0.014098907122409,0.00307584556801941,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","2/4","199/18614",0.000672767847384169,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0000819","GO:0000819","sister chromatid segregation","2/4","250/18614",0.00105898165414011,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0033044","GO:0033044","regulation of chromosome organization","2/4","250/18614",0.00105898165414011,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0090068","GO:0090068","positive regulation of cell cycle process","2/4","262/18614",0.00116229008868905,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0140014","GO:0140014","mitotic nuclear division","2/4","286/18614",0.00138302653330278,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0098813","GO:0098813","nuclear chromosome segregation","2/4","339/18614",0.00193673795953511,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0045787","GO:0045787","positive regulation of cell cycle","2/4","354/18614",0.00210989410314274,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0006707","GO:0006707","cholesterol catabolic process","1/4","10/18614",0.00214736200342913,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0016127","GO:0016127","sterol catabolic process","1/4","10/18614",0.00214736200342913,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0150172","GO:0150172","regulation of phosphatidylcholine metabolic process","1/4","10/18614",0.00214736200342913,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0032490","GO:0032490","detection of molecule of bacterial origin","1/4","11/18614",0.00236190782970236,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0060623","GO:0060623","regulation of chromosome condensation","1/4","11/18614",0.00236190782970236,0.0244157872559802,0.00532659661979388,"64151",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0034086","GO:0034086","maintenance of sister chromatid cohesion","1/4","12/18614",0.00257641905739037,0.0244157872559802,0.00532659661979388,"23137",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0034088","GO:0034088","maintenance of mitotic sister chromatid cohesion","1/4","12/18614",0.00257641905739037,0.0244157872559802,0.00532659661979388,"23137",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0000722","GO:0000722","telomere maintenance via recombination","1/4","14/18614",0.00300533773189038,0.0244157872559802,0.00532659661979388,"23137",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0007059","GO:0007059","chromosome segregation","2/4","435/18614",0.00316891234513037,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0010867","GO:0010867","positive regulation of triglyceride biosynthetic process","1/4","15/18614",0.00321974518614188,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0043518","GO:0043518","negative regulation of DNA damage response, signal transduction by p53 class mediator","1/4","15/18614",0.00321974518614188,0.0244157872559802,0.00532659661979388,"754",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0044406","GO:0044406","adhesion of symbiont to host","1/4","15/18614",0.00321974518614188,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0000280","GO:0000280","nuclear division","2/4","450/18614",0.00338779315955526,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0034375","GO:0034375","high-density lipoprotein particle remodeling","1/4","16/18614",0.00343411805668636,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0034638","GO:0034638","phosphatidylcholine catabolic process","1/4","16/18614",0.00343411805668636,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0007063","GO:0007063","regulation of sister chromatid cohesion","1/4","18/18614",0.00386276006153063,0.0244157872559802,0.00532659661979388,"23137",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0010885","GO:0010885","regulation of cholesterol storage","1/4","18/18614",0.00386276006153063,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0034384","GO:0034384","high-density lipoprotein particle clearance","1/4","18/18614",0.00386276006153063,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0007076","GO:0007076","mitotic chromosome condensation","1/4","19/18614",0.00407702920326836,0.0244157872559802,0.00532659661979388,"64151",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0048285","GO:0048285","organelle fission","2/4","497/18614",0.00411919094948155,0.0244157872559802,0.00532659661979388,"23137/64151",2,"Downres_DEq_MS_HBV_vs_Null"
"GO:0010878","GO:0010878","cholesterol storage","1/4","20/18614",0.00429126377617439,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0043691","GO:0043691","reverse cholesterol transport","1/4","20/18614",0.00429126377617439,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0035461","GO:0035461","vitamin transmembrane transport","1/4","21/18614",0.00450546378396699,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0051000","GO:0051000","positive regulation of nitric-oxide synthase activity","1/4","22/18614",0.00471962923036406,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0098856","GO:0098856","intestinal lipid absorption","1/4","22/18614",0.00471962923036406,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0010866","GO:0010866","regulation of triglyceride biosynthetic process","1/4","23/18614",0.00493376011908409,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:0090208","GO:0090208","positive regulation of triglyceride metabolic process","1/4","23/18614",0.00493376011908409,0.0244157872559802,0.00532659661979388,"949",1,"Downres_DEq_MS_HBV_vs_Null"
"GO:1902254","GO:1902254","negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator","1/4","23/18614",0.00493376011908409,0.0244157872559802,0.00532659661979388,"754",1,"Downres_DEq_MS_HBV_vs_Null"
