"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0060326","GO:0060326","cell chemotaxis","2/3","312/18614",0.000830865630209403,0.0374737987927351,0.00900112440093955,"3315/1800",2,"Downres_DEq_MS_Null_vs_HBVM"
"GO:0006751","GO:0006751","glutathione catabolic process","1/3","11/18614",0.0017719068074511,0.0374737987927351,0.00900112440093955,"1800",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:1905383","GO:1905383","protein localization to presynapse","1/3","11/18614",0.0017719068074511,0.0374737987927351,0.00900112440093955,"3315",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:1901748","GO:1901748","leukotriene D4 metabolic process","1/3","12/18614",0.00193288537432623,0.0374737987927351,0.00900112440093955,"1800",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:0050667","GO:0050667","homocysteine metabolic process","1/3","14/18614",0.00225479058601996,0.0374737987927351,0.00900112440093955,"1800",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:0098840","GO:0098840","protein transport along microtubule","1/3","14/18614",0.00225479058601996,0.0374737987927351,0.00900112440093955,"3315",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:0099118","GO:0099118","microtubule-based protein transport","1/3","14/18614",0.00225479058601996,0.0374737987927351,0.00900112440093955,"3315",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:2001028","GO:2001028","positive regulation of endothelial cell chemotaxis","1/3","15/18614",0.00241571723269984,0.0374737987927351,0.00900112440093955,"3315",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:0071732","GO:0071732","cellular response to nitric oxide","1/3","16/18614",0.00257662657450863,0.0374737987927351,0.00900112440093955,"1800",1,"Downres_DEq_MS_Null_vs_HBVM"
"GO:1901569","GO:1901569","fatty acid derivative catabolic process","1/3","17/18614",0.00273751861237681,0.0374737987927351,0.00900112440093955,"1800",1,"Downres_DEq_MS_Null_vs_HBVM"
