"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:1904090","GO:1904090","peptidase inhibitor complex","1/3","11/19518",0.00168988084141941,0.0184312850153461,0.00242516908096659,"1475",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0098554","GO:0098554","cytoplasmic side of endoplasmic reticulum membrane","1/3","15/19518",0.00230391062691826,0.0184312850153461,0.00242516908096659,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0030867","GO:0030867","rough endoplasmic reticulum membrane","1/3","24/19518",0.00368455696162495,0.0190300478551375,0.00250395366514967,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0042788","GO:0042788","polysomal ribosome","1/3","31/19518",0.00475751196378438,0.0190300478551375,0.00250395366514967,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit","1/3","41/19518",0.00628896813185176,0.0201246980219256,0.00264798658183232,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0001533","GO:0001533","cornified envelope","1/3","59/19518",0.00904162870805225,0.0223138016367851,0.00293602653115593,"1475",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0005844","GO:0005844","polysome","1/3","67/19518",0.0102633999128851,0.0223138016367851,0.00293602653115593,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0015935","GO:0015935","small ribosomal subunit","1/3","74/19518",0.0113316255820027,0.0223138016367851,0.00293602653115593,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0005791","GO:0005791","rough endoplasmic reticulum","1/3","82/19518",0.0125515134206916,0.0223138016367851,0.00293602653115593,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0022626","GO:0022626","cytosolic ribosome","1/3","100/19518",0.015292591295106,0.0244681460721695,0.00321949290423283,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0044391","GO:0044391","ribosomal subunit","1/3","185/19518",0.0281680496439255,0.0391653942986154,0.00515334135508097,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0098562","GO:0098562","cytoplasmic side of membrane","1/3","193/19518",0.0293740457239615,0.0391653942986154,0.00515334135508097,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
"GO:0005840","GO:0005840","ribosome","1/3","229/19518",0.0347886821355337,0.042816839551426,0.00563379467781921,"6235",1,"Upres_DEq_MS_HBV_vs_Null"
