"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","name"
"hsa04977","hsa04977","Vitamin digestion and absorption","1/2","26/8846",0.00587005563574017,0.0316196223374718,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04975","hsa04975","Fat digestion and absorption","1/2","43/8846",0.00969882623170637,0.0316196223374718,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04913","hsa04913","Ovarian steroidogenesis","1/2","51/8846",0.0114980444863534,0.0316196223374718,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04979","hsa04979","Cholesterol metabolism","1/2","51/8846",0.0114980444863534,0.0316196223374718,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04927","hsa04927","Cortisol synthesis and secretion","1/2","65/8846",0.014642739971067,0.0322140279363475,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04976","hsa04976","Bile secretion","1/2","90/8846",0.0202458064230002,0.0346270784801223,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04925","hsa04925","Aldosterone synthesis and secretion","1/2","98/8846",0.0220354135782597,0.0346270784801223,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04142","hsa04142","Lysosome","1/2","132/8846",0.0296229931238462,0.0356273740981126,NA,"9741",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04934","hsa04934","Cushing syndrome","1/2","155/8846",0.034739012001988,0.0356273740981126,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa04145","hsa04145","Phagosome","1/2","157/8846",0.0351832441729192,0.0356273740981126,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
"hsa05160","hsa05160","Hepatitis C","1/2","159/8846",0.0356273740981126,0.0356273740981126,NA,"949",1,"Upres_DEq_MS_Null_vs_HBV"
