"Protein.Ids"	"First.Protein.Description"	"Protein.Names"	"Genes"	"Peptides"	"B1_1"	"B1_2"	"B1_3"	"B1_4"	"B2_1"	"B2_2"	"B2_3"	"B2_4"	"BD_2"	"BD_3"	"BD_4"	"BD_1"	"BDM_1"	"BDM_2"	"BDM_3"	"BDM_4"	"BM1_1"	"BM1_2"	"BM1_3"	"BM1_4"	"BM2_1"	"BM2_2"	"BM2_3"	"BM2_4"	"BT_1"	"BT_2"	"BT_3"	"BT_4"	"C_1"	"C_2"	"C_3"	"C_4"	"CM_1"	"CM_2"	"CM_3"	"CM_4"	"D_1"	"D_2"	"D_3"	"D_4"	"DM_1"	"DM_2"	"DM_3"	"DM_4"	"T_1"	"T_2"	"T_3"	"T_4"
"1"	"Q6UWZ7"	"BRCA1-A complex subunit Abraxas 1"	"ABRX1_HUMAN"	"ABRAXAS1"	3	NA	7.07502698898315	NA	NA	6.11514377593994	NA	6.13242483139038	5.35688161849976	6.27335214614868	6.37763929367065	6.07069301605225	5.40531063079834	NA	6.56085443496704	NA	5.85033988952637	NA	6.29921436309814	NA	6.06370115280151	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	"Q7Z6V5"	"tRNA-specific adenosine deaminase 2"	"ADAT2_HUMAN"	"ADAT2"	2	NA	5.44182300567627	NA	NA	5.56897163391113	NA	5.99802398681641	NA	NA	NA	NA	5.93494176864624	6.05670881271362	6.58214378356934	5.98676681518555	6.37924718856812	4.08745241165161	NA	NA	NA	NA	5.49625205993652	5.95911407470703	NA	NA	5.41099786758423	5.01572799682617	NA	NA	5.50721073150635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.51254034042358	NA	NA	NA	6.00392150878906	NA	NA
"3"	"Q9UHB7"	"AF4/FMR2 family member 4"	"AFF4_HUMAN"	"AFF4"	2	NA	6.2085075378418	NA	NA	NA	NA	6.35796499252319	6.52946043014526	7.23963832855225	6.89155530929565	6.96309232711792	6.55596542358398	6.23448610305786	NA	NA	NA	NA	NA	NA	NA	6.53827428817749	NA	5.57928371429443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.22951745986938	6.5413875579834	NA	7.04852437973022	NA	5.81217479705811	NA	NA	NA	NA	5.4143853187561	5.9878044128418
"4"	"Q9HCJ1"	"Mineralization regulator ANKH"	"ANKH_HUMAN"	"ANKH"	5	7.10190200805664	5.96296739578247	NA	NA	NA	NA	NA	NA	NA	NA	6.97089195251465	6.48530006408691	NA	NA	6.86712884902954	NA	NA	NA	7.00947761535645	NA	NA	NA	6.20497989654541	NA	NA	6.93363618850708	6.49468374252319	NA	6.56508159637451	6.77790260314941	6.97437047958374	6.95747327804565	NA	NA	6.16703176498413	NA	NA	6.3612174987793	7.02948713302612	NA	NA	NA	NA	NA	6.5314040184021	6.82367372512817	NA	NA
"5"	"P17342"	"Atrial natriuretic peptide receptor 3"	"ANPRC_HUMAN"	"NPR3"	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9176025390625	6.68000745773315	6.68989086151123	6.03318166732788	6.15218591690063	NA	NA	NA	NA	NA	6.72156286239624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.62474393844604	NA	NA	NA	NA	5.19260454177856	NA	NA
"6"	"Q99856"	"AT-rich interactive domain-containing protein 3A"	"ARI3A_HUMAN"	"ARID3A"	7	NA	NA	NA	NA	NA	NA	NA	NA	7.46244716644287	7.50087976455688	7.1562180519104	7.26459741592407	7.19819641113281	6.92512607574463	7.38680458068848	7.17638874053955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	"Q9BZR8"	"Apoptosis facilitator Bcl-2-like protein 14"	"B2L14_HUMAN"	"BCL2L14"	3	NA	NA	NA	NA	NA	NA	NA	NA	8.03297710418701	7.88111352920532	7.92404460906982	8.03373050689697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	"Q8NCR0"	"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2"	"B3GL2_HUMAN"	"B3GALNT2"	3	NA	NA	NA	6.87442779541016	NA	NA	NA	NA	6.53814554214478	6.4928822517395	5.44099521636963	6.5988974571228	NA	NA	NA	5.86776113510132	NA	7.03916215896606	NA	NA	NA	NA	NA	NA	7.59636735916138	NA	NA	7.1314697265625	NA	NA	6.10693883895874	NA	NA	NA	NA	NA	NA	5.87556123733521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	"P02747"	"Complement C1q subcomponent subunit C"	"C1QC_HUMAN"	"C1QC"	1	6.73920154571533	NA	NA	NA	6.05104875564575	NA	NA	6.81475639343262	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.39059686660767	5.51069831848145	6.11954879760742	NA	6.33012437820435	6.06975126266479	NA	NA	6.36407995223999	6.33117723464966	6.31639766693115	7.10173225402832	7.42739295959473	6.12579011917114	NA	NA	6.18778991699219	NA	NA	NA	NA	5.87463760375977	6.67786121368408	NA	5.93730115890503	NA
"10"	"P55287"	"Cadherin-11"	"CAD11_HUMAN"	"CDH11"	4	NA	NA	NA	6.77119398117065	6.50530815124512	NA	NA	6.24428939819336	7.46406412124634	7.55735158920288	7.77179908752441	7.51256656646729	7.83932971954346	7.58521127700806	6.95003509521484	7.67841672897339	NA	NA	6.69210195541382	NA	NA	6.98634672164917	6.44595575332642	NA	NA	NA	NA	6.46042537689209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	"Q9BWT7"	"Caspase recruitment domain-containing protein 10"	"CAR10_HUMAN"	"CARD10"	3	NA	NA	NA	NA	NA	5.46665143966675	NA	NA	6.72459268569946	NA	NA	NA	5.86405515670776	5.04165601730347	NA	5.19084358215332	NA	6.08135175704956	NA	6.24569511413574	NA	NA	NA	5.58967208862305	NA	NA	NA	NA	NA	NA	6.10467195510864	4.70842838287354	5.94659852981567	NA	NA	NA	5.8596715927124	4.06450605392456	6.45077037811279	3.99955487251282	NA	NA	5.8103666305542	NA	NA	NA	NA	NA
"12"	"Q9UI42"	"Carboxypeptidase A4"	"CBPA4_HUMAN"	"CPA4"	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.98233366012573	6.83913612365723	6.04395341873169	7.55499172210693	7.59976530075073	8.01159954071045	6.95699071884155	NA	6.74745082855225	NA	NA	NA	NA	NA	NA	NA	7.01553583145142	NA	NA	NA	NA	NA	9.66592884063721	NA	NA	NA	6.17637348175049	NA	NA	8.0921459197998	NA	7.20501184463501	NA	NA	6.91953039169312	NA	6.9475531578064	NA	7.62867307662964
"13"	"Q6TFL3"	"Coiled-coil domain-containing protein 171"	"CC171_HUMAN"	"CCDC171"	1	7.89816331863403	8.68063926696777	7.62759494781494	NA	NA	8.08377647399902	NA	7.54413986206055	NA	NA	7.16467380523682	NA	NA	NA	NA	7.64049768447876	NA	NA	NA	8.09481525421143	7.44030714035034	7.35533809661865	NA	NA	NA	NA	NA	NA	8.09625339508057	7.74051189422607	7.72486877441406	8.34987545013428	NA	NA	NA	NA	NA	7.19744062423706	NA	NA	7.89666557312012	NA	NA	NA	6.93699645996094	NA	NA	NA
