"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016053","organic acid biosynthetic process","35/274","342/18860",0.10233918128655,7.04422247833696,13.6961372693537,8.57941600377338e-20,2.54551272831956e-16,2.27399678921067e-16,"51733/2194/1109/5053/3992/1806/6342/9415/570/64577/2944/130013/6319/2326/5313/116519/635/9420/348158/1491/2752/1576/80270/26227/51302/32/1559/11057/1571/27165/6718/1036/31/157506/1558",35,"Down_B1_vs_BD"
"GO:0046394","carboxylic acid biosynthetic process","34/274","339/18860",0.100294985250737,6.90351613806171,13.3174180585498,5.65280454668421e-19,8.38593554500602e-16,7.49145360450044e-16,"51733/2194/1109/5053/3992/1806/6342/9415/570/64577/2944/130013/6319/5313/116519/635/9420/348158/1491/2752/1576/80270/26227/51302/32/1559/11057/1571/27165/6718/1036/31/157506/1558",34,"Down_B1_vs_BD"
"GO:0006631","fatty acid metabolic process","34/274","421/18860",0.0807600950118765,5.5588882916934,11.4861097499447,4.46653509715954e-16,4.41740321109079e-13,3.94622293847289e-13,"134526/2194/1109/3992/80724/6342/9415/570/2944/3248/6319/55198/2326/116519/1562/348158/5165/1576/2329/5264/32/1548/84266/1559/11057/1549/1571/31/5163/1557/57678/5164/23305/1558",34,"Down_B1_vs_BD"
"GO:0072330","monocarboxylic acid biosynthetic process","25/274","237/18860",0.105485232067511,7.26077181311405,11.7765714660354,9.96363873772609e-15,7.39052903370833e-12,6.6022216688406e-12,"2194/1109/3992/6342/9415/570/64577/2944/130013/6319/5313/116519/9420/348158/1576/80270/51302/32/1559/11057/1571/6718/31/157506/1558",25,"Down_B1_vs_BD"
"GO:0006805","xenobiotic metabolic process","19/274","135/18860",0.140740740740741,9.6874831035415,12.2996170333175,9.33548467287479e-14,5.5396766048839e-11,4.94878955922079e-11,"57412/2944/2326/6580/590/1562/348158/23491/7366/1576/10864/2329/1548/1559/1549/1571/2330/1557/1558",19,"Down_B1_vs_BD"
"GO:0006720","isoprenoid metabolic process","18/274","121/18860",0.148760330578512,10.2394884478494,12.379669532441,1.59086597203741e-13,7.86683223172501e-11,7.02772020629861e-11,"1109/4047/64577/2222/126/130/125/2224/1562/57107/3422/1576/5264/1559/1571/1557/157506/1558",18,"Down_B1_vs_BD"
"GO:0071466","cellular response to xenobiotic stimulus","21/274","202/18860",0.103960396039604,7.15581412155814,10.6799761584408,1.94976643540114e-12,8.26422430547881e-10,7.38272463810535e-10,"57412/2944/2326/6580/590/1562/348158/23491/7366/1576/10864/2329/1548/1559/1549/1571/2330/1557/6554/673/1558",21,"Down_B1_vs_BD"
"GO:0006066","alcohol metabolic process","27/274","368/18860",0.0733695652173913,5.05018248175183,9.52682533856965,5.41154796243462e-12,2.00700785056794e-09,1.79293128544873e-09,"1109/4047/6342/26007/2222/126/116519/130/125/2224/1562/1719/9420/3422/1595/1576/1601/51302/20/1559/6820/6718/2330/3613/157506/51478/1558",27,"Down_B1_vs_BD"
"GO:0008202","steroid metabolic process","26/274","345/18860",0.0753623188405797,5.18734793187348,9.53077864503083,7.48561352478851e-12,2.46775725867195e-09,2.20453507080906e-09,"1109/4047/6342/570/2222/116519/2224/9420/3422/1595/7366/1576/80270/1601/51302/1548/20/1559/1571/6820/6718/2330/1557/51171/51478/1558",26,"Down_B1_vs_BD"
"GO:0006721","terpenoid metabolic process","15/274","106/18860",0.141509433962264,9.74039388513979,10.9566711375507,3.67693982688111e-11,1.09094804663562e-08,9.74582577272277e-09,"1109/4047/64577/2222/126/130/125/2224/1562/1576/1559/1571/1557/157506/1558",15,"Down_B1_vs_BD"
"GO:0120254","olefinic compound metabolic process","18/274","169/18860",0.106508875739645,7.33123137390403,10.0382247223938,5.16703792759614e-11,1.39369104828889e-08,1.24503363652508e-08,"1109/3992/6342/9415/64577/126/130/125/1562/1576/1601/1548/1559/1549/1571/1557/157506/1558",18,"Down_B1_vs_BD"
"GO:0006520","amino acid metabolic process","22/274","286/18860",0.0769230769230769,5.29477821448624,8.88613041324376,2.218303576348e-10,5.38926288788965e-08,4.81441965185679e-08,"51733/389434/5053/27232/1806/125061/143941/570/64577/130013/3176/55191/1644/635/1491/443/2752/10841/6567/26227/27165/1036",22,"Down_B1_vs_BD"
"GO:0044282","small molecule catabolic process","25/274","373/18860",0.0670241286863271,4.61341265337273,8.55815999917222,2.36132179112118e-10,5.38926288788965e-08,4.81441965185679e-08,"51733/5053/10840/1806/125061/80724/6342/26007/64577/229/130013/3176/2326/2752/1576/10841/5264/51302/32/11057/27165/6718/1036/51171/2645",25,"Down_B1_vs_BD"
"GO:1901605","alpha-amino acid metabolic process","18/274","207/18860",0.0869565217391304,5.98540145985401,8.75694474529562,1.45092163636109e-09,3.0749174964881e-07,2.74693284237385e-07,"389434/5053/27232/125061/143941/570/64577/130013/3176/55191/635/1491/443/2752/10841/26227/27165/1036",18,"Down_B1_vs_BD"
