"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","cell-substrate adhesion","23/110","369/18860",0.0623306233062331,10.6868686868687,14.3936664089984,1.58128604384123e-17,3.51836144754674e-14,2.88792766954162e-14,"7057/3915/3911/7016/3912/11093/3679/4241/3491/2243/2266/29780/960/2335/2244/7059/7148/8829/1601/11117/4811/10562/79987",23,"Down_B1_vs_CM"
"GO:0034446","substrate adhesion-dependent cell spreading","13/110","101/18860",0.128712871287129,22.0684068406841,16.2608250843351,2.32269283645026e-14,2.58399578055092e-11,2.12098530065327e-11,"3915/3911/7016/3912/4241/2243/2266/29780/2335/2244/8829/1601/10562",13,"Down_B1_vs_CM"
"GO:0030198","extracellular matrix organization","19/110","331/18860",0.0574018126888218,9.84180170282889,12.4303630656847,5.95179784897311e-14,2.95171073161711e-11,2.42281164724101e-11,"3915/1311/2331/3912/11093/4241/1291/3491/4148/5768/7078/57188/2131/7148/7049/6692/11117/7042/4811",19,"Down_B1_vs_CM"
"GO:0043062","extracellular structure organization","19/110","332/18860",0.0572289156626506,9.81215772179628,12.40772242566,6.28377456368307e-14,2.95171073161711e-11,2.42281164724101e-11,"3915/1311/2331/3912/11093/4241/1291/3491/4148/5768/7078/57188/2131/7148/7049/6692/11117/7042/4811",19,"Down_B1_vs_CM"
"GO:0045229","external encapsulating structure organization","19/110","333/18860",0.0570570570570571,9.78269178269178,12.3851777763067,6.63305782385866e-14,2.95171073161711e-11,2.42281164724101e-11,"3915/1311/2331/3912/11093/4241/1291/3491/4148/5768/7078/57188/2131/7148/7049/6692/11117/7042/4811",19,"Down_B1_vs_CM"
"GO:1903053","regulation of extracellular matrix organization","10/110","76/18860",0.131578947368421,22.5598086124402,14.4248961247313,2.0783387974536e-11,7.7071730405571e-09,6.32617160277543e-09,"3915/3912/4241/1291/7078/7148/7049/11117/7042/4811",10,"Down_B1_vs_CM"
"GO:0042060","wound healing","18/110","453/18860",0.0397350993377483,6.81276339554485,9.59169316356495,1.32379597912119e-10,4.20778007649236e-08,3.45381356958687e-08,"7057/2267/1311/11093/2243/1026/2266/960/2335/2244/1606/977/2131/11117/3710/7042/2162/79987",18,"Down_B1_vs_CM"
"GO:0007160","cell-matrix adhesion","14/110","246/18860",0.0569105691056911,9.75757575757576,10.5897726995171,1.72334655965872e-10,4.79305761905083e-08,3.93421879079985e-08,"7057/11093/3679/2243/2266/960/2335/2244/7059/7148/8829/11117/4811/79987",14,"Down_B1_vs_CM"
"GO:0010811","positive regulation of cell-substrate adhesion","11/110","133/18860",0.0827067669172932,14.1804511278195,11.6836093386448,3.32650371936269e-10,8.22385641731331e-08,6.75027362935001e-08,"7016/3491/2243/2266/2335/2244/8829/1601/11117/4811/10562",11,"Down_B1_vs_CM"
"GO:0072378","blood coagulation, fibrin clot formation","6/110","18/18860",0.333333333333333,57.1515151515151,18.2553123878584,6.01446607747482e-10,1.33821870223815e-07,1.09843143625461e-07,"7057/2243/2266/2335/2244/2162",6,"Down_B1_vs_CM"
"GO:0010810","regulation of cell-substrate adhesion","13/110","230/18860",0.0565217391304348,9.69090909090909,10.1572872482726,8.77118426275154e-10,1.77417136223838e-07,1.45626839194966e-07,"7057/7016/4241/3491/2243/2266/2335/2244/8829/1601/11117/4811/10562",13,"Down_B1_vs_CM"
"GO:0007596","blood coagulation","13/110","243/18860",0.0534979423868313,9.17246539468762,9.82101590815136,1.71577756204761e-09,3.18133756296327e-07,2.61129304399351e-07,"7057/2267/1311/11093/2243/2266/2335/2244/1606/11117/3710/2162/79987",13,"Down_B1_vs_CM"
"GO:0050817","coagulation","13/110","248/18860",0.0524193548387097,8.9875366568915,9.69833585090581,2.19736942780934e-09,3.59283569959425e-07,2.94905733355223e-07,"7057/2267/1311/11093/2243/2266/2335/2244/1606/11117/3710/2162/79987",13,"Down_B1_vs_CM"
"GO:0072376","protein activation cascade","6/110","22/18860",0.272727272727273,46.7603305785124,16.448948244571,2.37199077721118e-09,3.59283569959425e-07,2.94905733355223e-07,"7057/2243/2266/2335/2244/2162",6,"Down_B1_vs_CM"
"GO:0007599","hemostasis","13/110","250/18860",0.052,8.91563636363636,9.65023056072467,2.42213642669276e-09,3.59283569959425e-07,2.94905733355223e-07,"7057/2267/1311/11093/2243/2266/2335/2244/1606/11117/3710/2162/79987",13,"Down_B1_vs_CM"
"GO:1900024","regulation of substrate adhesion-dependent cell spreading","8/110","62/18860",0.129032258064516,22.1231671554252,12.7601004927294,2.69365073966208e-09,3.74585805984258e-07,3.0746605482327e-07,"7016/4241/2243/2266/2244/8829/1601/10562",8,"Down_B1_vs_CM"
"GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","7/110","44/18860",0.159090909090909,27.2768595041322,13.3656837786816,6.07184476750471e-09,7.94697329864588e-07,6.52300351183943e-07,"7016/2243/2266/2244/8829/1601/10562",7,"Down_B1_vs_CM"
"GO:0007229","integrin-mediated signaling pathway","9/110","117/18860",0.0769230769230769,13.1888111888112,10.1295409559987,2.74017641260869e-08,3.38716251003018e-06,2.78023747127256e-06,"3915/3911/3912/11093/3679/3491/2335/8829/4811",9,"Down_B1_vs_CM"
"GO:0050878","regulation of body fluid levels","14/110","389/18860",0.0359897172236504,6.1706006076186,7.89270055477711,6.09718460292462e-08,7.14012407447752e-06,5.86072869034583e-06,"7057/2267/1311/11093/2243/2266/2335/2244/1606/2131/11117/3710/2162/79987",14,"Down_B1_vs_CM"
"GO:0030168","platelet activation","9/110","141/18860",0.0638297872340425,10.9439071566731,9.07779417914811,1.38204756737714e-07,1.53752791870706e-05,1.26202764705228e-05,"1311/11093/2243/2266/2244/1606/11117/3710/79987",9,"Down_B1_vs_CM"
"GO:0030199","collagen fibril organization","7/110","71/18860",0.0985915492957746,16.9039692701665,10.2834278622629,1.85183835162161e-07,1.96206682493242e-05,1.61049601005689e-05,"1311/2331/1291/2131/7148/11117/7042",7,"Down_B1_vs_CM"
"GO:0031639","plasminogen activation","5/110","28/18860",0.178571428571429,30.6168831168831,12.012272651082,5.43879283919502e-07,5.50059730327678e-05,4.51497874449921e-05,"7057/4241/2243/2266/2244",5,"Down_B1_vs_CM"
"GO:0034116","positive regulation of heterotypic cell-cell adhesion","4/110","13/18860",0.307692307692308,52.7552447552448,14.2974953648341,7.5213638231333e-07,7.27610195933547e-05,5.97234152546282e-05,"2243/2266/960/2244",4,"Down_B1_vs_CM"
"GO:0007492","endoderm development","7/110","90/18860",0.0777777777777778,13.3353535353535,8.98453813182385,9.50035343834122e-07,8.80761933346217e-05,7.22943562084299e-05,"3915/3912/3679/1291/2335/3909/2131",7,"Down_B1_vs_CM"
"GO:0050673","epithelial cell proliferation","14/110","496/18860",0.0282258064516129,4.83944281524927,6.63713171816909,1.15105702545719e-06,0.00010244407526569,8.40877448070829e-05,"7057/2267/2719/7060/3915/3911/3912/3339/1969/1026/8829/1601/7049/7042",14,"Down_B1_vs_CM"
"GO:0071711","basement membrane organization","5/110","41/18860",0.121951219512195,20.9090909090909,9.77462542496924,3.90442531245514e-06,0.000323125941553778,0.000265226970358748,"3915/3912/1291/2131/4811",5,"Down_B1_vs_CM"
