"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","defense response to virus","73/762","334/18860",0.218562874251497,5.40957455168403,16.6840167449797,2.9306620770434e-33,8.04761956077277e-30,6.60185460048676e-30,"4599/3433/4939/3434/6772/9636/3437/64135/23586/3669/51251/5371/6737/4938/25939/4940/6773/55601/5610/24138/2633/834/11277/10379/8638/5359/83666/4600/56829/684/3627/10475/91351/103/2635/197259/2634/10346/7098/7706/3665/7128/10410/57169/10964/55337/151636/958/64343/10581/2537/91543/3428/64108/9188/85363/81622/7726/51191/8467/23515/3459/54726/3429/11274/1755/7097/148022/79132/10417/60489/566/58515",73,"Down_BD_vs_BM1"
"GO:0009615","response to virus","84/762","445/18860",0.18876404494382,4.67203397328143,16.0850478979026,3.26144663050568e-33,8.04761956077277e-30,6.60185460048676e-30,"4599/3433/4939/3434/6772/9636/3437/64135/23586/3669/51251/5371/6737/4938/25939/4940/6773/55601/5610/24138/2633/834/11277/10379/8638/5359/83666/4600/56829/684/3627/10475/91351/103/2635/197259/2634/10346/7098/7706/3665/7128/10410/57169/10964/55337/151636/958/64343/10581/9111/2537/91543/3428/64108/9188/2332/3965/85363/81622/7726/51191/8467/10561/23515/3459/54726/3429/8729/2131/11274/1755/7097/148022/79132/23076/10417/5600/60489/3717/566/3934/58515/7040",84,"Down_BD_vs_BM1"
"GO:0050792","regulation of viral process","45/762","141/18860",0.319148936170213,7.89914558552521,16.8727187626282,2.25693139421112e-28,3.71265214347728e-25,3.04566952355647e-25,"4599/4939/3434/6772/9636/64135/3669/6737/4938/4940/5610/6672/24138/2040/8638/5359/56829/684/10475/103/7706/10410/57169/55337/972/10581/5819/91543/3428/2332/3965/85363/27074/9683/51574/6732/128637/9830/7113/3838/60489/6733/6590/4851/51773",45,"Down_BD_vs_BM1"
"GO:1903900","regulation of viral life cycle","38/762","115/18860",0.330434782608696,8.17847769028871,15.8438264570284,9.11060287056437e-25,1.12402062915588e-21,9.22088911583962e-22,"4599/4939/3434/9636/64135/3669/6737/4938/4940/5610/24138/8638/5359/56829/684/10475/103/7706/10410/57169/55337/972/10581/5819/91543/3428/2332/3965/85363/27074/9683/6732/7113/3838/60489/6733/6590/4851",38,"Down_BD_vs_BM1"
"GO:0048525","negative regulation of viral process","30/762","76/18860",0.394736842105263,9.76999585578119,15.7193168678362,1.97792225090151e-22,1.95220926163979e-19,1.60149241620362e-19,"4599/4939/3434/6772/9636/64135/3669/6737/4938/4940/5610/6672/24138/8638/5359/56829/684/10410/57169/55337/10581/91543/3428/9683/51574/6732/9830/60489/6733/6590",30,"Down_BD_vs_BM1"
"GO:0045071","negative regulation of viral genome replication","25/762","50/18860",0.5,12.3753280839895,16.526316267717,4.78453755998823e-22,3.93528214309032e-19,3.22830376416048e-19,"4599/4939/3434/9636/64135/3669/4938/4940/5610/24138/8638/5359/56829/684/10410/57169/55337/10581/91543/3428/9683/6732/60489/6733/6590",25,"Down_BD_vs_BM1"
"GO:0045069","regulation of viral genome replication","28/762","80/18860",0.35,8.66272965879265,14.0929602646635,2.33249268098442e-19,1.64440734009401e-16,1.34898749640091e-16,"4599/4939/3434/9636/64135/3669/4938/4940/5610/24138/8638/5359/56829/684/10475/103/10410/57169/55337/10581/91543/3428/9683/6732/60489/6733/6590/4851",28,"Down_BD_vs_BM1"
"GO:0016032","viral process","60/762","396/18860",0.151515151515152,3.75009941939076,11.3489221158142,6.11391920207461e-19,3.77152390777977e-16,3.09396490147091e-16,"4599/4939/3434/6772/9636/64135/3669/6737/4938/4940/5610/6672/24138/84875/3678/290/6520/2040/8638/5359/83666/56829/684/10475/103/4245/2634/7706/3665/10410/57169/55337/950/972/10581/10241/5819/91543/3428/2332/3965/85363/27074/2959/9683/1604/51574/6732/51510/128637/9830/7113/3838/60489/6733/6590/4851/983/4684/51773",60,"Down_BD_vs_BM1"
"GO:0019058","viral life cycle","48/762","298/18860",0.161073825503356,3.9866828726946,10.6636623017624,1.88536602137174e-16,1.03380903505217e-13,8.4808394364862e-14,"4599/4939/3434/9636/64135/3669/6737/4938/4940/5610/24138/3678/290/6520/8638/5359/56829/684/10475/103/2634/7706/10410/57169/55337/950/972/10581/5819/91543/3428/2332/3965/85363/27074/9683/1604/6732/51510/128637/7113/3838/60489/6733/6590/4851/983/4684",48,"Down_BD_vs_BM1"
"GO:0034341","response to type II interferon","31/762","129/18860",0.24031007751938,5.94783210238255,11.5704660201194,5.19824703698422e-16,2.56533491275171e-13,2.10446927413066e-13,"6772/115361/6737/54625/51667/7431/6672/2633/834/83666/684/2635/2634/7098/10410/55337/140885/972/958/11093/10581/10241/961/2934/3965/3459/2643/7097/3717/6584/65010",31,"Down_BD_vs_BM1"
"GO:0019079","viral genome replication","29/762","117/18860",0.247863247863248,6.1347780245418,11.4318515478084,1.90043882160082e-15,8.52605962236368e-13,6.99434230418828e-13,"4599/4939/3434/9636/64135/3669/4938/4940/5610/24138/8638/5359/56829/684/10475/103/10410/57169/55337/10581/91543/3428/2332/9683/6732/60489/6733/6590/4851",29,"Down_BD_vs_BM1"
"GO:0045824","negative regulation of innate immune response","27/762","104/18860",0.259615384615385,6.42565112053301,11.3846568787661,5.12946871123764e-15,2.10949400749648e-12,1.73052075994912e-12,"9636/6737/4938/25939/4940/6773/3105/54625/3134/11277/634/3106/103/7128/10906/5819/9111/3428/3965/3133/2896/11274/58509/79132/55646/3135/7040",27,"Down_BD_vs_BM1"
"GO:0002832","negative regulation of response to biotic stimulus","31/762","144/18860",0.215277777777778,5.32826625838437,10.6981878846456,1.37819992149216e-14,5.23185893274141e-12,4.29194890531082e-12,"9636/6737/4938/25939/4940/6773/3105/54625/3134/11277/634/3106/10475/103/7128/10906/140885/5819/9111/3428/3965/3133/2896/11274/58509/79132/29126/55646/3135/114769/7040",31,"Down_BD_vs_BM1"
"GO:0060759","regulation of response to cytokine stimulus","36/762","210/18860",0.171428571428571,4.2429696287964,9.69693835412508,1.7044697236206e-13,6.00825577576261e-11,4.92886508048483e-11,"9636/64135/23586/4938/25939/4940/6773/54625/834/11277/83666/841/103/29761/3665/8887/7128/8737/102/972/958/2950/8767/54726/3557/2131/11274/6868/58509/1435/7097/84888/56928/1893/114769/4317",36,"Down_BD_vs_BM1"
"GO:0043122","regulation of canonical NF-kappaB signal transduction","46/762","332/18860",0.13855421686747,3.42930778231034,9.16344623941059,2.46663554769765e-13,8.11523095192526e-11,6.65731952031239e-11,"6772/24138/834/56829/684/10475/841/10616/10346/7098/7706/8887/7128/8737/140885/972/958/64343/840/80833/9188/2950/3965/85363/7329/5587/8767/55072/79753/58509/7097/148022/57708/6283/497661/54602/7049/10892/1893/5581/23411/8743/10725/80762/114769/7040",46,"Down_BD_vs_BM1"
"GO:0007249","canonical NF-kappaB signal transduction","48/762","359/18860",0.133704735376045,3.3092799333231,9.06458088139304,2.84851268439934e-13,8.78588131094422e-11,7.2074867001315e-11,"6772/6737/24138/834/56829/684/10475/841/10616/10346/7098/7706/8887/7128/8737/140885/972/958/64343/840/80833/9188/2950/3965/85363/7329/7726/5587/8767/55072/79753/58509/7097/148022/57708/6283/497661/54602/7049/10892/1893/5581/23411/8743/10725/80762/114769/7040",48,"Down_BD_vs_BM1"
"GO:0140374","antiviral innate immune response","21/762","79/18860",0.265822784810127,6.57928834845011,10.1965797535264,3.37216894738118e-12,9.78800591237843e-10,8.0295783584509e-10,"4599/3433/4939/3434/3437/64135/23586/6737/4938/4940/5610/8638/3627/10346/7706/8467/23515/54726/11274/79132/60489",21,"Down_BD_vs_BM1"
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","36/762","232/18860",0.155172413793103,3.84061906054847,8.93296019188734,3.64205421086963e-12,9.78800591237843e-10,8.0295783584509e-10,"24138/834/56829/684/10475/841/10616/10346/7098/7706/8737/972/958/840/80833/9188/3965/85363/7329/5587/8767/55072/7097/148022/57708/6283/497661/54602/10892/1893/5581/8743/10725/80762/114769/7040",36,"Down_BD_vs_BM1"
"GO:0001959","regulation of cytokine-mediated signaling pathway","33/762","198/18860",0.166666666666667,4.12510936132983,9.07068836355607,3.93138937150373e-12,9.78800591237843e-10,8.0295783584509e-10,"9636/4938/25939/4940/6773/54625/834/11277/83666/841/103/29761/3665/8887/7128/8737/102/972/958/2950/8767/54726/3557/2131/11274/6868/58509/1435/84888/56928/1893/114769/4317",33,"Down_BD_vs_BM1"
"GO:0002720","positive regulation of cytokine production involved in immune response","22/762","88/18860",0.25,6.18766404199475,10.0087405230319,3.96677037988994e-12,9.78800591237843e-10,8.0295783584509e-10,"23586/3105/3134/7098/567/972/91543/9188/3606/3133/8767/1604/3098/148022/10417/8809/3135/10892/8482/7855/23411/8140",22,"Down_BD_vs_BM1"
"GO:0016072","rRNA metabolic process","39/762","270/18860",0.144444444444444,3.57509477981919,8.74494192420997,4.55124470652334e-12,1.06954250603299e-09,8.77397851693673e-10,"3669/162394/7150/9188/55661/23560/6125/9555/4839/51490/6129/6194/10969/84365/55720/117246/65095/27292/79039/9790/51202/55506/6229/64282/23076/55646/56342/6597/57050/84154/23481/10557/317781/51096/23378/114049/51406/8602/10412",39,"Down_BD_vs_BM1"
"GO:0002237","response to molecule of bacterial origin","47/762","375/18860",0.125333333333333,3.10208223972003,8.43678794254881,5.32342091337559e-12,1.1941401003413e-09,9.79611331714952e-10,"129607/6891/7431/834/3627/841/2635/3929/2634/7128/567/140885/958/11093/840/1291/2950/3606/3965/85363/968/8767/2643/54/1728/1604/6868/51510/58509/7097/8856/148022/29126/10417/28964/3717/6590/10892/4851/5581/3934/7855/8140/114769/4317/25819/4318",47,"Down_BD_vs_BM1"
"GO:0034340","response to type I interferon","23/762","99/18860",0.232323232323232,5.75015244306583,9.72341175025717,6.69914970164168e-12,1.43740451206964e-09,1.17917298638508e-09,"4599/4939/3434/6772/9636/64135/4938/25939/4940/6773/6672/11277/8638/103/3665/10410/55337/64343/10581/23515/3429/11274/58509",23,"Down_BD_vs_BM1"
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","15/762","38/18860",0.394736842105263,9.76999585578119,11.1040095313714,7.08099815203466e-12,1.45603024501213e-09,1.19445258301427e-09,"6890/6891/3105/3134/3107/3106/5641/6892/4012/567/3136/3133/10437/1636/3135",15,"Down_BD_vs_BM1"
"GO:0002699","positive regulation of immune effector process","39/762","276/18860",0.141304347826087,3.49737532808399,8.57610883063202,9.10076868199259e-12,1.79649173782534e-09,1.47374974109236e-09,"23586/6891/301/55601/3105/3134/3107/3106/3929/7098/567/972/958/2590/5819/91543/3136/9188/3606/3965/3133/8767/10584/1604/3098/148022/79132/78989/10417/8809/3135/10892/8482/3684/7855/23411/8140/55183/7040",39,"Down_BD_vs_BM1"
"GO:0019882","antigen processing and presentation","25/762","120/18860",0.208333333333333,5.15638670166229,9.37223782220238,1.08079233778051e-11,2.05142699497954e-09,1.68288555915135e-09,"6890/6891/3105/7057/3134/11277/3107/3106/5641/2629/6892/4012/567/972/5696/3136/3133/81622/968/10437/2131/51762/1636/3135/1515",25,"Down_BD_vs_BM1"
"GO:0032760","positive regulation of tumor necrosis factor production","24/762","113/18860",0.212389380530973,5.25677653125218,9.31270203262836,1.81453045975745e-11,3.31655845144556e-09,2.72073456071234e-09,"4939/64135/23586/4938/4940/7057/3929/7098/8737/102/3965/3133/8767/3459/6868/7097/148022/10417/3717/566/7855/58515/4317/7040",24,"Down_BD_vs_BM1"
"GO:0032496","response to lipopolysaccharide","44/762","350/18860",0.125714285714286,3.11151106111736,8.18174043822248,2.32835481194447e-11,3.99381863435852e-09,3.27632410126228e-09,"129607/7431/834/3627/841/2635/3929/2634/7128/567/140885/958/11093/840/1291/2950/3606/3965/85363/968/8767/2643/54/1728/1604/6868/51510/58509/7097/148022/29126/10417/28964/3717/6590/10892/4851/5581/3934/8140/114769/4317/25819/4318",44,"Down_BD_vs_BM1"
"GO:0071219","cellular response to molecule of bacterial origin","36/762","247/18860",0.145748987854251,3.60738308521151,8.46382462091589,2.3469248307274e-11,3.99381863435852e-09,3.27632410126228e-09,"129607/7431/834/3627/2635/3929/2634/7128/567/140885/958/11093/840/2950/3606/85363/968/8767/1604/51510/58509/7097/8856/148022/29126/10417/28964/3717/10892/5581/3934/7855/8140/114769/4317/4318",36,"Down_BD_vs_BM1"
"GO:0071706","tumor necrosis factor superfamily cytokine production","32/762","201/18860",0.159203980099502,3.94040297201656,8.59967865827613,2.91358765872197e-11,4.59709057356149e-09,3.77121747899909e-09,"4939/64135/23586/4938/4940/7057/11277/3929/7098/7128/8737/102/140885/961/2950/3965/3133/8767/3459/54/6868/58509/7097/148022/29126/10417/3717/566/7855/58515/4317/7040",32,"Down_BD_vs_BM1"
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","32/762","201/18860",0.159203980099502,3.94040297201656,8.59967865827613,2.91358765872197e-11,4.59709057356149e-09,3.77121747899909e-09,"4939/64135/23586/4938/4940/7057/11277/3929/7098/7128/8737/102/140885/961/2950/3965/3133/8767/3459/54/6868/58509/7097/148022/29126/10417/3717/566/7855/58515/4317/7040",32,"Down_BD_vs_BM1"
"GO:0071216","cellular response to biotic stimulus","38/762","274/18860",0.138686131386861,3.43257275322336,8.32280418686488,2.98088953098212e-11,4.59709057356149e-09,3.77121747899909e-09,"129607/7431/834/3627/2635/3929/2634/7128/567/140885/958/11093/840/2950/3606/85363/968/57103/8767/1604/51510/58509/7097/8856/148022/29126/10417/28964/3717/10892/4851/5581/3934/7855/8140/114769/4317/4318",38,"Down_BD_vs_BM1"
"GO:0022613","ribonucleoprotein complex biogenesis","54/762","496/18860",0.108870967741935,2.69462788925578,7.84789293774653,3.52467953797691e-11,5.2709980363382e-09,4.3240566197956e-09,"3669/103/9188/55661/23560/6125/8899/4839/55153/10713/51490/79753/6129/6194/90441/6732/9129/9416/10969/10514/55720/117246/6433/6193/65095/27292/79039/9790/51202/55027/6229/55702/64282/23076/55646/56342/6936/57050/84154/6733/23481/10557/317781/96764/51096/23378/91746/114049/51406/8602/26164/23064/64794/10412",54,"Down_BD_vs_BM1"
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production","24/762","117/18860",0.205128205128205,5.07705767548287,9.07698791947915,3.95353037630093e-11,5.73843306089562e-09,4.70751635518681e-09,"4939/64135/23586/4938/4940/7057/3929/7098/8737/102/3965/3133/8767/3459/6868/7097/148022/10417/3717/566/7855/58515/4317/7040",24,"Down_BD_vs_BM1"
"GO:0071222","cellular response to lipopolysaccharide","34/762","229/18860",0.148471615720524,3.674769911403,8.35617663046269,5.05277494164912e-11,7.12441266772525e-09,5.8445029851376e-09,"129607/7431/834/3627/2635/3929/2634/7128/567/140885/958/11093/840/2950/3606/85363/968/8767/1604/51510/58509/7097/148022/29126/10417/28964/3717/10892/5581/3934/8140/114769/4317/4318",34,"Down_BD_vs_BM1"
"GO:0002367","cytokine production involved in immune response","25/762","130/18860",0.192307692307692,4.75974157076519,8.82637359188292,6.80578447669205e-11,8.93065398813455e-09,7.32625078405919e-09,"23586/3105/3134/684/7098/567/972/91543/9188/3606/3133/8767/54/1604/3098/148022/10417/8809/3135/10892/8482/7855/23411/8140/7040",25,"Down_BD_vs_BM1"
"GO:0002718","regulation of cytokine production involved in immune response","25/762","130/18860",0.192307692307692,4.75974157076519,8.82637359188292,6.80578447669205e-11,8.93065398813455e-09,7.32625078405919e-09,"23586/3105/3134/684/7098/567/972/91543/9188/3606/3133/8767/54/1604/3098/148022/10417/8809/3135/10892/8482/7855/23411/8140/7040",25,"Down_BD_vs_BM1"
"GO:0032640","tumor necrosis factor production","31/762","196/18860",0.158163265306122,3.91464459799668,8.41652470764806,7.05765968667168e-11,8.93065398813455e-09,7.32625078405919e-09,"4939/64135/23586/4938/4940/7057/11277/3929/7098/7128/8737/102/140885/961/2950/3965/3133/8767/3459/54/6868/58509/7097/148022/10417/3717/566/7855/58515/4317/7040",31,"Down_BD_vs_BM1"
"GO:0032680","regulation of tumor necrosis factor production","31/762","196/18860",0.158163265306122,3.91464459799668,8.41652470764806,7.05765968667168e-11,8.93065398813455e-09,7.32625078405919e-09,"4939/64135/23586/4938/4940/7057/11277/3929/7098/7128/8737/102/140885/961/2950/3965/3133/8767/3459/54/6868/58509/7097/148022/10417/3717/566/7855/58515/4317/7040",31,"Down_BD_vs_BM1"
"GO:0140888","interferon-mediated signaling pathway","24/762","121/18860",0.198347107438017,4.90922105811154,8.8517926686018,8.31809835550922e-11,1.02624538461095e-08,8.41879112507591e-09,"4939/6772/9636/64135/4938/25939/4940/6773/54625/6672/11277/8638/83666/103/3665/10410/64343/10581/23515/3459/3429/11274/58509/3717",24,"Down_BD_vs_BM1"
"GO:0071357","cellular response to type I interferon","21/762","93/18860",0.225806451612903,5.58885784438236,9.10269885965342,9.80896470952024e-11,1.18066441076786e-08,9.68556566696145e-09,"4939/3434/6772/9636/64135/4938/25939/4940/6773/6672/11277/8638/103/3665/10410/64343/10581/23515/3429/11274/58509",21,"Down_BD_vs_BM1"
