"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0009615","response to virus","82/763","445/18860",0.184269662921348,4.55481761821314,15.5822358641618,1.30309270487571e-31,4.07679957458558e-28,3.19942557237351e-28,"3434/4599/6772/3437/64135/4939/9636/3433/23586/51251/5371/4940/6773/6737/4938/55601/25939/103/3669/5610/5359/3627/11274/11277/2633/10379/24138/79132/91543/684/10346/338/83666/197259/834/57169/8638/55337/91351/64343/7098/3965/56829/10561/151636/10410/1755/2635/2131/10475/2962/7726/958/7128/23515/3428/81622/10964/2332/60489/54726/85363/581/64108/10581/2537/51191/3459/80149/3717/10417/3934/3429/661/566/4600/23087/5600/148022/55703/7040/3665",82,"Down_BD_vs_DM"
"GO:0051607","defense response to virus","71/763","334/18860",0.212574850299401,5.25447139796423,16.1081742117456,1.63104603904204e-31,4.07679957458558e-28,3.19942557237351e-28,"3434/4599/6772/3437/64135/4939/9636/3433/23586/51251/5371/4940/6773/6737/4938/55601/25939/103/3669/5610/5359/3627/11274/11277/2633/10379/24138/79132/91543/684/10346/83666/197259/834/57169/8638/55337/91351/64343/7098/56829/151636/10410/1755/2635/10475/7726/958/7128/23515/3428/81622/10964/60489/54726/85363/64108/10581/2537/51191/3459/80149/10417/3429/661/566/4600/23087/148022/55703/3665",71,"Down_BD_vs_DM"
"GO:0050792","regulation of viral process","42/763","141/18860",0.297872340425532,7.36287331641616,15.5718358447299,3.40590169622902e-25,5.67536752648296e-22,4.45396337608617e-22,"3434/4599/6772/64135/4939/9636/4940/6737/4938/103/3669/5610/5359/24138/91543/684/6672/57169/8638/27074/55337/3965/56829/2040/972/4057/10410/10475/23367/3428/128637/2332/60489/51773/85363/10581/7113/9830/3838/6733/3123/9683",42,"Down_BD_vs_DM"
"GO:1903900","regulation of viral life cycle","36/763","115/18860",0.31304347826087,7.73787680209699,14.8815295049847,1.35009749144001e-22,1.68728433992715e-19,1.32416140805182e-19,"3434/4599/64135/4939/9636/4940/6737/4938/103/3669/5610/5359/24138/91543/684/57169/8638/27074/55337/3965/56829/972/4057/10410/10475/23367/3428/2332/60489/85363/10581/7113/3838/6733/3123/9683",36,"Down_BD_vs_DM"
"GO:0045071","negative regulation of viral genome replication","24/763","50/18860",0.48,11.864744429882,15.795319875402,1.16554533541464e-20,1.16531222634756e-17,9.14523676861133e-18,"3434/4599/64135/4939/9636/4940/4938/3669/5610/5359/24138/91543/684/57169/8638/55337/56829/4057/10410/3428/60489/10581/6733/9683",24,"Down_BD_vs_DM"
"GO:0048525","negative regulation of viral process","28/763","76/18860",0.368421052631579,9.1067117334621,14.540381206473,4.81977000328395e-20,4.01567170773608e-17,3.15145312319988e-17,"3434/4599/6772/64135/4939/9636/4940/6737/4938/3669/5610/5359/24138/91543/684/6672/57169/8638/55337/56829/4057/10410/3428/60489/10581/9830/6733/9683",28,"Down_BD_vs_DM"
"GO:0045069","regulation of viral genome replication","27/763","80/18860",0.3375,8.34239842726081,13.5130521525374,3.14163678044379e-18,2.24357746649122e-15,1.7607338767991e-15,"3434/4599/64135/4939/9636/4940/4938/103/3669/5610/5359/24138/91543/684/57169/8638/55337/56829/4057/10410/10475/23367/3428/60489/10581/6733/9683",27,"Down_BD_vs_DM"
"GO:0016032","viral process","58/763","396/18860",0.146464646464646,3.62034499649179,10.8208525173395,1.30223880621025e-17,8.13736474030632e-15,6.38611056677055e-15,"3434/4599/6772/64135/4939/9636/4940/6737/4938/103/3669/5610/5359/348/84875/290/24138/91543/684/6672/83666/57169/8638/27074/55337/3965/56829/4245/2040/972/4057/6520/3678/10410/10475/23367/3428/950/128637/2332/60489/10241/8829/51773/85363/1604/10581/2959/80149/6714/7113/9830/3838/6733/3123/9683/4684/3665",58,"Down_BD_vs_DM"
"GO:0019058","viral life cycle","47/763","298/18860",0.157718120805369,3.89851082357701,10.3559269991993,9.52467948082884e-16,5.29043030274037e-13,4.1518690555613e-13,"3434/4599/64135/4939/9636/4940/6737/4938/103/3669/5610/5359/348/290/24138/91543/684/57169/8638/27074/55337/3965/56829/972/4057/6520/3678/10410/10475/23367/3428/950/128637/2332/60489/8829/85363/1604/10581/80149/6714/7113/3838/6733/3123/9683/4684",47,"Down_BD_vs_DM"
"GO:0019079","viral genome replication","29/763","117/18860",0.247863247863248,6.12673768637071,11.4217534514426,1.96629195828374e-15,9.82949349946041e-13,7.71407381949842e-13,"3434/4599/64135/4939/9636/4940/4938/103/3669/5610/5359/24138/91543/684/57169/8638/55337/56829/4057/10410/10475/23367/3428/2332/60489/10581/80149/6733/9683",29,"Down_BD_vs_DM"
"GO:0034341","response to type II interferon","29/763","129/18860",0.224806201550388,5.55680859926646,10.6633451454332,3.08826851583355e-14,1.40347766460472e-11,1.10143318263269e-11,"6772/7431/6737/54625/2633/115361/684/6672/83666/51667/834/55337/7098/3965/972/10410/2635/958/2934/10241/961/140885/65010/11093/10581/3459/3717/55647/6584",29,"Down_BD_vs_DM"
"GO:0071706","tumor necrosis factor superfamily cytokine production","35/763","201/18860",0.174129353233831,4.30416723720845,9.67017142548028,2.39220645794465e-13,9.19895391020408e-11,7.21923357794308e-11,"7057/64135/4939/23586/4940/4938/11277/7098/3929/3965/102/4057/8737/3133/7128/6868/8767/3066/961/140885/2950/3459/51465/80149/58509/3717/10417/83786/29126/566/4317/54/7855/148022/7040",35,"Down_BD_vs_DM"
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","35/763","201/18860",0.174129353233831,4.30416723720845,9.67017142548028,2.39220645794465e-13,9.19895391020408e-11,7.21923357794308e-11,"7057/64135/4939/23586/4940/4938/11277/7098/3929/3965/102/4057/8737/3133/7128/6868/8767/3066/961/140885/2950/3459/51465/80149/58509/3717/10417/83786/29126/566/4317/54/7855/148022/7040",35,"Down_BD_vs_DM"
"GO:0032640","tumor necrosis factor production","34/763","196/18860",0.173469387755102,4.28785406692166,9.50071984128047,5.90403192412137e-13,1.9305418770826e-10,1.51506713466627e-10,"7057/64135/4939/23586/4940/4938/11277/7098/3929/3965/102/4057/8737/3133/7128/6868/8767/3066/961/140885/2950/3459/51465/80149/58509/3717/10417/83786/566/4317/54/7855/148022/7040",34,"Down_BD_vs_DM"
"GO:0032680","regulation of tumor necrosis factor production","34/763","196/18860",0.173469387755102,4.28785406692166,9.50071984128047,5.90403192412137e-13,1.9305418770826e-10,1.51506713466627e-10,"7057/64135/4939/23586/4940/4938/11277/7098/3929/3965/102/4057/8737/3133/7128/6868/8767/3066/961/140885/2950/3459/51465/80149/58509/3717/10417/83786/566/4317/54/7855/148022/7040",34,"Down_BD_vs_DM"
"GO:0002832","negative regulation of response to biotic stimulus","29/763","144/18860",0.201388888888889,4.9779743701762,9.83909184256234,6.17896980062444e-13,1.9305418770826e-10,1.51506713466627e-10,"9636/4940/6773/6737/4938/54625/3105/25939/103/3134/11274/11277/79132/3106/3965/710/634/4057/10906/3133/10475/7128/3428/140885/55646/58509/29126/114769/7040",29,"Down_BD_vs_DM"
