"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0000470","maturation of LSU-rRNA","9/95","27/18860",0.333333333333333,66.1754385964912,24.113094037132,6.15837272480864e-15,8.3445950421157e-12,7.87623459014999e-12,"23560/6130/6129/117246/8886/23029/56342/11224/10412",9,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0016072","rRNA metabolic process","17/95","270/18860",0.062962962962963,12.4998050682261,13.5418972570514,2.54281487400386e-14,1.48030631801012e-11,1.39722056817424e-11,"23560/9555/6130/55661/6129/6194/117246/6155/8886/23029/55506/8602/11056/9790/56342/11224/10412",17,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0042273","ribosomal large subunit biogenesis","11/95","69/18860",0.159420289855072,31.6491228070175,18.1474035517125,4.18633547252022e-14,1.48030631801012e-11,1.39722056817424e-11,"23560/6130/6129/117246/8886/23029/55153/56342/11224/23195/10412",11,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0022613","ribonucleoprotein complex biogenesis","21/95","496/18860",0.0423387096774194,8.4053480475382,11.891852660488,4.36990794984536e-14,1.48030631801012e-11,1.39722056817424e-11,"23560/6130/55661/6129/6194/117246/6155/8886/23029/10713/8602/6732/55153/11056/9790/56342/11224/83443/23195/10412/6733",21,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0042254","ribosome biogenesis","17/95","318/18860",0.0534591194968553,10.6130420390599,12.3010720337937,3.67452460704662e-13,8.316936032632e-11,7.85012800904865e-11,"23560/6130/55661/6129/6194/117246/6155/8886/23029/8602/55153/11056/9790/56342/11224/23195/10412",17,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0006364","rRNA processing","15/95","223/18860",0.0672645739910314,13.3537880575879,13.2041796261249,3.68277610301048e-13,8.316936032632e-11,7.85012800904865e-11,"23560/6130/55661/6129/6194/117246/6155/8886/23029/8602/11056/9790/56342/11224/10412",15,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/95","17/18860",0.411764705882353,81.7461300309597,23.6983441445071,1.22628224992008e-12,2.37373206948816e-10,2.24050065210962e-10,"23560/6129/117246/8886/23029/56342/11224",7,"Down_BT_vs_res_DEq_MS_BM1"
"GO:0002181","cytoplasmic translation","13/95","208/18860",0.0625,12.4078947368421,11.7712156963971,3.86704210140912e-11,6.5498025592617e-09,6.18217914896326e-09,"6143/7555/6137/6132/6130/6124/6129/6141/6194/6128/6155/6187/11224",13,"Down_BT_vs_res_DEq_MS_BM1"
"GO:1902254","negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator","4/95","24/18860",0.166666666666667,33.0877192982456,11.1917236612614,5.94157492681993e-06,0.000894537113982334,0.000844329068548096,"50484/51499/4282/4193",4,"Down_BT_vs_res_DEq_MS_BM1"
"GO:1902253","regulation of intrinsic apoptotic signaling pathway by p53 class mediator","4/95","37/18860",0.108108108108108,21.4623044096728,8.86457320113244,3.51236677203318e-05,0.00475925697610496,0.00449213224002138,"50484/51499/4282/4193",4,"Down_BT_vs_res_DEq_MS_BM1"
"GO:1901797","negative regulation of signal transduction by p53 class mediator","4/95","45/18860",0.0888888888888889,17.646783625731,7.9548377991034,7.68335431872817e-05,0.00946449554716061,0.00893327798780357,"50484/51499/4282/4193",4,"Down_BT_vs_res_DEq_MS_BM1"
"GO:1901796","regulation of signal transduction by p53 class mediator","5/95","123/18860",0.040650406504065,8.07017543859649,5.59731265357998,0.000394373081500795,0.0445312937861315,0.0420318678967953,"50484/51499/4282/4193/90809",5,"Down_BT_vs_res_DEq_MS_BM1"
