"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0006006","glucose metabolic process","5/24","206/18860",0.0242718446601942,19.0736245954693,9.31029606323928,5.3157094143617e-06,0.00302092853977063,0.00173196488679152,"230/648791/5166/2822/2645",5,"Down_C_vs_res_DEq_MS_B1"
"GO:0010906","regulation of glucose metabolic process","4/24","105/18860",0.0380952380952381,29.9365079365079,10.613358758116,8.84605721748355e-06,0.00302092853977063,0.00173196488679152,"648791/5166/2822/2645",4,"Down_C_vs_res_DEq_MS_B1"
"GO:0019318","hexose metabolic process","5/24","249/18860",0.0200803212851406,15.7797858099063,8.38018429199142,1.33398451096363e-05,0.00303703806996054,0.00174120083536306,"230/648791/5166/2822/2645",5,"Down_C_vs_res_DEq_MS_B1"
"GO:0005996","monosaccharide metabolic process","5/24","272/18860",0.0183823529411765,14.4454656862745,7.97286809406858,2.0419956530737e-05,0.00348670757762334,0.00199900627090372,"230/648791/5166/2822/2645",5,"Down_C_vs_res_DEq_MS_B1"
"GO:0090207","regulation of triglyceride metabolic process","3/24","47/18860",0.0638297872340425,50.1595744680851,12.0447731891403,2.82982956997322e-05,0.00386554719258342,0.00221620336848429,"7069/341/2822",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0010907","positive regulation of glucose metabolic process","3/24","50/18860",0.06,47.15,11.663608131146,3.4120187138465e-05,0.00388401463592859,0.00222679116061561,"648791/2822/2645",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0019530","taurine metabolic process","2/24","10/18860",0.2,157.166666666667,17.632068868033,6.94046522356572e-05,0.005695971468518,0.00326562593247853,"570/1036",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0019694","alkanesulfonate metabolic process","2/24","10/18860",0.2,157.166666666667,17.632068868033,6.94046522356572e-05,0.005695971468518,0.00326562593247853,"570/1036",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0062012","regulation of small molecule metabolic process","5/24","360/18860",0.0138888888888889,10.9143518518519,6.77954150687913,7.76877586322346e-05,0.005695971468518,0.00326562593247853,"648791/5166/341/2822/2645",5,"Down_C_vs_res_DEq_MS_B1"
"GO:0006109","regulation of carbohydrate metabolic process","4/24","186/18860",0.021505376344086,16.8996415770609,7.77849790903798,8.33963611788873e-05,0.005695971468518,0.00326562593247853,"648791/5166/2822/2645",4,"Down_C_vs_res_DEq_MS_B1"
"GO:0044828","host-mediated suppression of viral genome replication","2/24","13/18860",0.153846153846154,120.897435897436,15.435868374051,0.000120021070386431,0.00678504266724652,0.00389001444434878,"23137/79677",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0046890","regulation of lipid biosynthetic process","4/24","205/18860",0.0195121951219512,15.3333333333333,7.36541318515004,0.0001214534314651,0.00678504266724652,0.00389001444434878,"5166/7069/341/2822",4,"Down_C_vs_res_DEq_MS_B1"
"GO:0010896","regulation of triglyceride catabolic process","2/24","14/18860",0.142857142857143,112.261904761905,14.8652263085594,0.000139915748165315,0.00678504266724652,0.00389001444434878,"341/2822",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0032869","cellular response to insulin stimulus","4/24","219/18860",0.0182648401826484,14.3531202435312,7.09481089419111,0.000156611199088784,0.00678504266724652,0.00389001444434878,"5166/2822/197/2645",4,"Down_C_vs_res_DEq_MS_B1"
"GO:0045913","positive regulation of carbohydrate metabolic process","3/24","84/18860",0.0357142857142857,28.0654761904762,8.87410141149512,0.000161230793473339,0.00678504266724652,0.00389001444434878,"648791/2822/2645",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0000722","telomere maintenance via recombination","2/24","15/18860",0.133333333333333,104.777777777778,14.3523341044571,0.000161315775117109,0.00678504266724652,0.00389001444434878,"23137/79677",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0005977","glycogen metabolic process","3/24","87/18860",0.0344827586206897,27.0977011494253,8.7089470501931,0.000178906442324559,0.00678504266724652,0.00389001444434878,"648791/5502/2645",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0015980","energy derivation by oxidation of organic compounds","5/24","434/18860",0.0115207373271889,9.05337941628264,6.05868121170232,0.000186701723538835,0.00678504266724652,0.00389001444434878,"230/648791/5166/5502/2645",5,"Down_C_vs_res_DEq_MS_B1"
"GO:0044042","glucan metabolic process","3/24","89/18860",0.0337078651685393,26.4887640449438,8.60341130217556,0.000191362293772849,0.00678504266724652,0.00389001444434878,"648791/5502/2645",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0045725","positive regulation of glycogen biosynthetic process","2/24","17/18860",0.117647058823529,92.4509803921569,13.4650637065361,0.000208617710120318,0.00678504266724652,0.00389001444434878,"648791/2645",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0090209","negative regulation of triglyceride metabolic process","2/24","17/18860",0.117647058823529,92.4509803921569,13.4650637065361,0.000208617710120318,0.00678504266724652,0.00389001444434878,"341/2822",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0140588","chromatin looping","2/24","18/18860",0.111111111111111,87.3148148148148,13.077619770022,0.00023451254979999,0.00728054870515422,0.00417409897251656,"23137/79677",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0043434","response to peptide hormone","5/24","461/18860",0.0108459869848156,8.52313810556761,5.83744763373143,0.000247090371412042,0.00733750972497499,0.00420675598010433,"5166/1036/2822/197/2645",5,"Down_C_vs_res_DEq_MS_B1"
"GO:0006112","energy reserve metabolic process","3/24","102/18860",0.0294117647058824,23.1127450980392,7.99318914680291,0.000286203259261985,0.00814486775316399,0.00466963212480081,"648791/5502/2645",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0070875","positive regulation of glycogen metabolic process","2/24","21/18860",0.0952380952380952,74.8412698412698,12.0851067547575,0.000321130271675993,0.00860047395899428,0.00493084120019399,"648791/2645",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0005976","polysaccharide metabolic process","3/24","108/18860",0.0277777777777778,21.8287037037037,7.74855879610396,0.000338604125395468,0.00860047395899428,0.00493084120019399,"648791/5502/2645",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0006091","generation of precursor metabolites and energy","5/24","494/18860",0.0101214574898785,7.95377867746289,5.59046147084112,0.000339989453723054,0.00860047395899428,0.00493084120019399,"230/648791/5166/5502/2645",5,"Down_C_vs_res_DEq_MS_B1"
"GO:0010866","regulation of triglyceride biosynthetic process","2/24","22/18860",0.0909090909090909,71.4393939393939,11.7999499436654,0.000352968868301981,0.00860991918036618,0.00493625635369688,"7069/2822",2,"Down_C_vs_res_DEq_MS_B1"
"GO:0006641","triglyceride metabolic process","3/24","112/18860",0.0267857142857143,21.0491071428571,7.59621390756698,0.00037675861229258,0.00876452038172846,0.00502489262850118,"7069/341/2822",3,"Down_C_vs_res_DEq_MS_B1"
"GO:0032868","response to insulin","4/24","280/18860",0.0142857142857143,11.2261904761905,6.15376133644753,0.000399728761699249,0.00876452038172846,0.00502489262850118,"5166/2822/197/2645",4,"Down_C_vs_res_DEq_MS_B1"
"GO:0042593","glucose homeostasis","4/24","281/18860",0.0142348754448399,11.1862396204033,6.14082174738453,0.00040515624212918,0.00876452038172846,0.00502489262850118,"648791/5166/2822/2645",4,"Down_C_vs_res_DEq_MS_B1"
