"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","cell-substrate adhesion","25/145","369/18860",0.0677506775067751,8.81226053639847,13.3400702883552,7.90441910594126e-17,2.09150929543206e-13,1.70985065923256e-13,"7057/3915/3491/3673/11093/5054/960/3912/4241/3679/3911/29780/2243/2266/2335/2244/3675/79987/7148/7059/1601/8829/11117/10562/4811",25,"Down_res_DEq_MS_B2_vs_CM"
"GO:0042060","wound healing","25/145","453/18860",0.0551876379690949,7.17819897998021,11.7156908172657,9.22817174769808e-15,1.22088712222046e-11,9.98099628501029e-12,"7057/2267/1311/5754/3673/11093/5054/960/977/10398/2243/2266/2335/1026/3710/2244/1606/26509/2125/2131/79987/653145/57591/11117/7042",25,"Down_res_DEq_MS_B2_vs_CM"
"GO:0030198","extracellular matrix organization","20/145","331/18860",0.0604229607250755,7.85915199499948,11.081711728867,1.04631279190574e-12,6.18868868142547e-10,5.05937671175134e-10,"3915/2331/3491/1311/1291/3673/11093/3912/4241/6692/4148/5768/2131/64856/7148/858/11117/7132/4811/7042",20,"Down_res_DEq_MS_B2_vs_CM"
"GO:0043062","extracellular structure organization","20/145","332/18860",0.0602409638554217,7.83547985043623,11.0604346452883,1.1062722308802e-12,6.18868868142547e-10,5.05937671175134e-10,"3915/2331/3491/1311/1291/3673/11093/3912/4241/6692/4148/5768/2131/64856/7148/858/11117/7132/4811/7042",20,"Down_res_DEq_MS_B2_vs_CM"
"GO:0045229","external encapsulating structure organization","20/145","333/18860",0.0600600600600601,7.8119498809154,11.0392463632,1.16944230563595e-12,6.18868868142547e-10,5.05937671175134e-10,"3915/2331/3491/1311/1291/3673/11093/3912/4241/6692/4148/5768/2131/64856/7148/858/11117/7132/4811/7042",20,"Down_res_DEq_MS_B2_vs_CM"
"GO:0007160","cell-matrix adhesion","17/145","246/18860",0.0691056910569106,8.98850574712644,11.1009888484989,7.00448270353132e-12,3.08897687225731e-09,2.52530034311524e-09,"7057/3673/11093/5054/960/3679/2243/2266/2335/2244/3675/79987/7148/7059/8829/11117/4811",17,"Down_res_DEq_MS_B2_vs_CM"
"GO:0034446","substrate adhesion-dependent cell spreading","12/145","101/18860",0.118811881188119,15.453738477296,12.8198945605007,1.78614472774843e-11,6.75162707088907e-09,5.51959009853086e-09,"3915/3912/4241/3911/29780/2243/2266/2335/2244/1601/8829/10562",12,"Down_res_DEq_MS_B2_vs_CM"
"GO:0007596","blood coagulation","16/145","243/18860",0.065843621399177,8.56421172129984,10.4462491361534,6.22010267609396e-11,2.05729896011808e-08,1.6818830262333e-08,"7057/2267/1311/3673/11093/5054/10398/2243/2266/2335/3710/2244/1606/79987/653145/11117",16,"Down_res_DEq_MS_B2_vs_CM"
"GO:0050817","coagulation","16/145","248/18860",0.0645161290322581,8.39154616240267,10.3136651608517,8.42792213506317e-11,2.47780910770857e-08,2.02565847807659e-08,"7057/2267/1311/3673/11093/5054/10398/2243/2266/2335/3710/2244/1606/79987/653145/11117",16,"Down_res_DEq_MS_B2_vs_CM"
"GO:0007599","hemostasis","16/145","250/18860",0.064,8.32441379310345,10.2616714400929,9.4981758827617e-11,2.48790827631461e-08,2.03391475029897e-08,"7057/2267/1311/3673/11093/5054/10398/2243/2266/2335/3710/2244/1606/79987/653145/11117",16,"Down_res_DEq_MS_B2_vs_CM"
"GO:0007229","integrin-mediated signaling pathway","12/145","117/18860",0.102564102564103,13.3404067197171,11.7855883398105,1.03427781706201e-10,2.48790827631461e-08,2.03391475029897e-08,"3915/3491/3673/11093/5054/3912/3679/3911/2335/3675/8829/4811",12,"Down_res_DEq_MS_B2_vs_CM"
"GO:0050878","regulation of body fluid levels","18/145","389/18860",0.0462724935732648,6.01861537097775,8.80363289666381,1.17954246682405e-09,2.60089113934703e-07,2.12628049940652e-07,"7057/2267/1311/3673/11093/5054/10398/2243/2266/2335/3710/2244/1606/2131/79987/653145/2132/11117",18,"Down_res_DEq_MS_B2_vs_CM"
"GO:0010810","regulation of cell-substrate adhesion","14/145","230/18860",0.0608695652173913,7.91724137931034,9.29049463763341,2.8768054848654e-09,5.85540562534911e-07,4.78691115092987e-07,"7057/3491/5054/4241/2243/2266/2335/2244/3675/1601/8829/11117/10562/4811",14,"Down_res_DEq_MS_B2_vs_CM"
"GO:0010811","positive regulation of cell-substrate adhesion","11/145","133/18860",0.0827067669172932,10.7575836142079,9.93990909036604,6.40853037236856e-09,1.1859229436659e-06,9.69515713582939e-07,"3491/2243/2266/2335/2244/3675/1601/8829/11117/10562/4811",11,"Down_res_DEq_MS_B2_vs_CM"
"GO:1903053","regulation of extracellular matrix organization","9/145","76/18860",0.118421052631579,15.4029038112523,11.074171178093,6.7229191817795e-09,1.1859229436659e-06,9.69515713582939e-07,"3915/1291/3912/4241/7148/11117/7132/4811/7042",9,"Down_res_DEq_MS_B2_vs_CM"
"GO:0031639","plasminogen activation","6/145","28/18860",0.214285714285714,27.871921182266,12.5250055096139,6.09994943565645e-08,1.00877913792169e-05,8.24697111202238e-06,"7057/5054/4241/2243/2266/2244",6,"Down_res_DEq_MS_B2_vs_CM"
"GO:0030168","platelet activation","10/145","141/18860",0.0709219858156028,9.22474932746393,8.62857980677246,1.38249553792354e-07,2.15181364314452e-05,1.75915066899869e-05,"1311/11093/10398/2243/2266/3710/2244/1606/79987/11117",10,"Down_res_DEq_MS_B2_vs_CM"
"GO:0072378","blood coagulation, fibrin clot formation","5/145","18/18860",0.277777777777778,36.1302681992337,13.1251003894467,1.98134883933801e-07,2.91258279382687e-05,2.38109465780094e-05,"7057/2243/2266/2335/2244",5,"Down_res_DEq_MS_B2_vs_CM"
"GO:0031638","zymogen activation","7/145","57/18860",0.12280701754386,15.9733817301875,9.96534106465783,2.63219193934044e-07,3.66567361657621e-05,2.99676146002471e-05,"7057/5054/4241/2243/2266/2244/1675",7,"Down_res_DEq_MS_B2_vs_CM"
"GO:1900024","regulation of substrate adhesion-dependent cell spreading","7/145","62/18860",0.112903225806452,14.6852057842047,9.50035360334161,4.74192445944263e-07,6.21232082294401e-05,5.07869645985994e-05,"4241/2243/2266/2244/1601/8829/10562",7,"Down_res_DEq_MS_B2_vs_CM"
"GO:0007369","gastrulation","11/145","203/18860",0.0541871921182266,7.04807202310175,7.62592418180555,4.93041335154286e-07,6.21232082294401e-05,5.07869645985994e-05,"2719/1291/3673/3912/1969/3679/2335/3675/2131/3909/2132",11,"Down_res_DEq_MS_B2_vs_CM"
"GO:0072376","protein activation cascade","5/145","22/18860",0.227272727272727,29.5611285266458,11.7982535020209,5.94069242254164e-07,7.14503279547509e-05,5.84120714273831e-05,"7057/2243/2266/2335/2244",5,"Down_res_DEq_MS_B2_vs_CM"
"GO:0071711","basement membrane organization","6/145","41/18860",0.146341463414634,19.0344827586207,10.1752658255175,6.70574331276345e-07,7.71452035024873e-05,6.30677460307958e-05,"3915/1291/3912/2131/858/4811",6,"Down_res_DEq_MS_B2_vs_CM"
"GO:0001704","formation of primary germ layer","9/145","135/18860",0.0666666666666667,8.67126436781609,7.87356353631551,1.00507386523031e-06,0.000109331844270861,8.93809682844492e-05,"1291/3673/3912/1969/3679/2335/3675/3909/2132",9,"Down_res_DEq_MS_B2_vs_CM"
"GO:1900026","positive regulation of substrate adhesion-dependent cell spreading","6/145","44/18860",0.136363636363636,17.7366771159875,9.78318665307773,1.03299172591517e-06,0.000109331844270861,8.93809682844492e-05,"2243/2266/2244/1601/8829/10562",6,"Down_res_DEq_MS_B2_vs_CM"
