"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","cell-substrate adhesion","30/332","369/18860",0.0813008130081301,4.61847389558233,9.39663870345506,3.43743752871122e-12,8.01041756619148e-09,6.5898585117227e-09,"27329/5054/3675/3491/4241/3679/10631/3673/22998/1601/7057/3655/8829/3912/8754/967/11093/79987/960/59277/7059/29780/4811/1490/22795/83706/5467/7148/4070/683",30,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0030198","extracellular matrix organization","28/332","331/18860",0.0845921450151057,4.80544534634004,9.34991357032371,7.25739616726091e-12,8.01041756619148e-09,6.5898585117227e-09,"2331/3491/4241/6624/10631/3673/649/1303/3912/7045/11093/1291/5768/59277/55959/7042/4811/51124/22795/2131/1311/4324/7148/4148/57190/3549/4239/650",28,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0043062","extracellular structure organization","28/332","332/18860",0.0843373493975904,4.79097111336914,9.32866176956447,7.80122466475442e-12,8.01041756619148e-09,6.5898585117227e-09,"2331/3491/4241/6624/10631/3673/649/1303/3912/7045/11093/1291/5768/59277/55959/7042/4811/51124/22795/2131/1311/4324/7148/4148/57190/3549/4239/650",28,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0045229","external encapsulating structure organization","28/332","333/18860",0.0840840840840841,4.77658381272839,9.30749463173712,8.38348253918522e-12,8.01041756619148e-09,6.5898585117227e-09,"2331/3491/4241/6624/10631/3673/649/1303/3912/7045/11093/1291/5768/59277/55959/7042/4811/51124/22795/2131/1311/4324/7148/4148/57190/3549/4239/650",28,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0007229","integrin-mediated signaling pathway","17/332","117/18860",0.145299145299145,8.25404180825868,10.5358003829061,2.4209575320679e-11,1.8505799375127e-08,1.52240003121828e-08,"27329/5054/3675/3491/3679/3673/3655/8829/3912/8754/967/11093/4811/1490/83706/683/8482",17,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0007160","cell-matrix adhesion","22/332","246/18860",0.0894308943089431,5.08032128514056,8.62295581435177,4.81566171837112e-10,2.82095627222521e-07,2.32069084390556e-07,"27329/5054/3675/3679/10631/3673/22998/7057/3655/8829/8754/967/11093/79987/960/7059/4811/1490/22795/83706/7148/683",22,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0000470","maturation of LSU-rRNA","9/332","27/18860",0.333333333333333,18.9357429718875,12.4840529380114,5.16658657916706e-10,2.82095627222521e-07,2.32069084390556e-07,"10412/117246/23560/6129/23481/4839/8886/84154/56342",9,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","7/332","17/18860",0.411764705882353,23.3912119064493,12.3634915904251,8.22117476772078e-09,3.92766624527861e-06,3.23113803041868e-06,"117246/23560/6129/23481/8886/84154/56342",7,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0006364","rRNA processing","19/332","223/18860",0.0852017937219731,4.84007779998919,7.72180007756786,1.66793382350919e-08,7.08315897050237e-06,5.82703898341749e-06,"9790/10412/55661/117246/23560/6129/23481/55226/4839/23076/8886/84154/57050/161424/27340/54913/51096/317781/56342",19,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0000727","double-strand break repair via break-induced replication","6/332","12/18860",0.5,28.4036144578313,12.7110063694499,2.40426808649624e-08,9.18911262658863e-06,7.5595250256466e-06,"4175/4171/4174/4172/4173/4176",6,"Down_res_DEq_MS_BDM_vs_B2"
"GO:0042254","ribosome biogenesis","22/332","318/18860",0.0691823899371069,3.93005986208987,7.05384424649681,5.4317304056177e-08,1.78917811524013e-05,1.4718871437446e-05,"9790/10412/55661/117246/23560/6129/55153/23481/55226/4839/23076/8886/10514/84154/57050/161424/27340/54913/64794/51096/317781/56342",22,"Down_res_DEq_MS_BDM_vs_B2"
