"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","cell-substrate adhesion","54/728","369/18860",0.146341463414634,3.79120879120879,10.8499434039018,2.43700159962563e-17,1.21801339949289e-13,9.84035593280412e-14,"7057/2244/5054/4241/3673/2243/3685/2335/3915/3655/2266/27329/22998/8754/3491/3688/1601/3675/3679/3911/83706/3693/960/6237/9448/8829/11093/3678/967/6714/4059/4811/1613/4323/7148/29780/8751/7059/1490/10631/29984/22795/91663/3912/1029/23122/683/10562/79987/50488/59277/948/4192/11117",54,"Down_res_DEq_MS_BDM_vs_C"
"GO:0007160","cell-matrix adhesion","43/728","246/18860",0.17479674796748,4.52838827838828,11.1615943342215,6.68793405017042e-17,1.67131471913759e-13,1.35025868507651e-13,"7057/2244/5054/3673/2243/3685/2335/3655/2266/27329/22998/8754/3688/3675/3679/83706/3693/960/6237/9448/8829/11093/3678/967/6714/4059/4811/1613/4323/7148/8751/7059/1490/10631/29984/22795/1029/23122/683/79987/50488/948/11117",43,"Down_res_DEq_MS_BDM_vs_C"
"GO:0007229","integrin-mediated signaling pathway","27/728","117/18860",0.230769230769231,5.97844463229079,10.8235374581009,3.93730721143218e-14,5.60968901922179e-11,4.53207958504134e-11,"5054/3673/3685/2335/3915/3655/27329/8754/3491/3688/3675/3679/102/3911/83706/3693/8829/11093/634/3678/967/6714/4811/8751/1490/3912/683",27,"Down_res_DEq_MS_BDM_vs_C"
"GO:0042060","wound healing","55/728","453/18860",0.121412803532009,3.14539213545836,9.26118252931366,4.48954703419111e-14,5.60968901922179e-11,4.53207958504134e-11,"7057/2244/5054/2267/3673/301/2243/3685/2335/2266/10672/4162/3688/2153/348/653145/83706/3693/960/1311/22875/5754/11093/634/3678/928/26509/977/1606/6714/10544/2162/7042/2131/966/57591/1026/7035/2125/51129/10398/51652/7040/6707/3265/7046/3710/23122/2768/5270/79987/948/11117/8323/1511",55,"Down_res_DEq_MS_BDM_vs_C"
"GO:0030198","extracellular matrix organization","45/728","331/18860",0.13595166163142,3.52204442083596,9.27561902119533,1.81039145959821e-13,1.60731654786423e-10,1.29855442758307e-10,"4241/3673/3915/7045/3491/3688/2331/4148/6624/649/55959/102/10585/1311/11093/1303/4811/7078/4323/7148/7042/2131/8751/4324/4318/4239/10631/5768/51124/4317/351/6692/22795/1291/7040/1290/3912/7046/7049/23122/59277/11117/3549/57190/1511",45,"Down_res_DEq_MS_BDM_vs_C"
"GO:0043062","extracellular structure organization","45/728","332/18860",0.135542168674699,3.51143585330332,9.25079432942359,2.01925074990266e-13,1.60731654786423e-10,1.29855442758307e-10,"4241/3673/3915/7045/3491/3688/2331/4148/6624/649/55959/102/10585/1311/11093/1303/4811/7078/4323/7148/7042/2131/8751/4324/4318/4239/10631/5768/51124/4317/351/6692/22795/1291/7040/1290/3912/7046/7049/23122/59277/11117/3549/57190/1511",45,"Down_res_DEq_MS_BDM_vs_C"
"GO:0045229","external encapsulating structure organization","45/728","333/18860",0.135135135135135,3.500891000891,9.22606467115402,2.25114362445971e-13,1.60731654786423e-10,1.29855442758307e-10,"4241/3673/3915/7045/3491/3688/2331/4148/6624/649/55959/102/10585/1311/11093/1303/4811/7078/4323/7148/7042/2131/8751/4324/4318/4239/10631/5768/51124/4317/351/6692/22795/1291/7040/1290/3912/7046/7049/23122/59277/11117/3549/57190/1511",45,"Down_res_DEq_MS_BDM_vs_C"
"GO:0007596","blood coagulation","34/728","243/18860",0.139917695473251,3.62479084701307,8.25173277106637,7.75582237624881e-11,4.47999532984341e-08,3.61939767175909e-08,"7057/2244/5054/2267/3673/2243/2335/2266/10672/2153/348/653145/83706/1311/22875/11093/634/928/1606/6714/10544/2162/966/7035/51129/10398/3710/2768/5270/79987/948/11117/8323/1511",34,"Down_res_DEq_MS_BDM_vs_C"
"GO:0035987","endodermal cell differentiation","16/728","53/18860",0.30188679245283,7.82085838689612,9.96367080330536,8.06721848111058e-11,4.47999532984341e-08,3.61939767175909e-08,"3685/2335/3679/3693/3678/1303/4323/4324/4318/22943/3909/9555/4317/1291/1290/3912",16,"Down_res_DEq_MS_BDM_vs_C"
"GO:0050817","coagulation","34/728","248/18860",0.137096774193548,3.55171038638781,8.10518374098691,1.35903303831528e-10,6.79244712549979e-08,5.48763235260782e-08,"7057/2244/5054/2267/3673/2243/2335/2266/10672/2153/348/653145/83706/1311/22875/11093/634/928/1606/6714/10544/2162/966/7035/51129/10398/3710/2768/5270/79987/948/11117/8323/1511",34,"Down_res_DEq_MS_BDM_vs_C"
"GO:0007599","hemostasis","34/728","250/18860",0.136,3.5232967032967,8.04761706296615,1.6932237048742e-10,7.69339279723752e-08,6.21550826018895e-08,"7057/2244/5054/2267/3673/2243/2335/2266/10672/2153/348/653145/83706/1311/22875/11093/634/928/1606/6714/10544/2162/966/7035/51129/10398/3710/2768/5270/79987/948/11117/8323/1511",34,"Down_res_DEq_MS_BDM_vs_C"
"GO:0001706","endoderm formation","16/728","62/18860",0.258064516129032,6.6855724920241,8.98496496626339,1.07364008821204e-09,4.32126063518051e-07,3.49115557729459e-07,"3685/2335/3679/3693/3678/1303/4323/4324/4318/22943/3909/9555/4317/1291/1290/3912",16,"Down_res_DEq_MS_BDM_vs_C"
"GO:1903829","positive regulation of protein localization","47/728","459/18860",0.10239651416122,2.65274485862721,7.18279728219782,1.17132664367222e-09,4.32126063518051e-07,3.49115557729459e-07,"2244/2243/2266/1969/7037/8754/3688/27063/3675/8878/5019/348/2182/3716/9531/493/6714/5213/2037/23171/2810/7042/5621/51768/54795/6809/3958/83667/26354/43/1201/114899/27032/9451/51124/25921/351/7040/57192/51574/1981/9854/1029/9746/948/324/3708",47,"Down_res_DEq_MS_BDM_vs_C"
"GO:0007492","endoderm development","19/728","90/18860",0.211111111111111,5.46916971916972,8.51565641944388,1.21043715271163e-09,4.32126063518051e-07,3.49115557729459e-07,"3685/2335/3915/3679/3693/3678/1303/4323/2131/4324/4318/22943/3909/9555/4317/1291/7040/1290/3912",19,"Down_res_DEq_MS_BDM_vs_C"
"GO:0010810","regulation of cell-substrate adhesion","31/728","230/18860",0.134782608695652,3.49175824175824,7.61843135411259,1.36028973270846e-09,4.53248538938459e-07,3.66180450152256e-07,"7057/2244/5054/4241/2243/2335/2266/22998/3491/1601/3675/6237/9448/8829/3678/6714/4811/1613/4323/8751/10631/29984/91663/1029/23122/683/10562/50488/948/4192/11117",31,"Down_res_DEq_MS_BDM_vs_C"
"GO:0007369","gastrulation","28/728","203/18860",0.137931034482759,3.57332322849564,7.38624345498598,5.07048550243665e-09,1.58389290882365e-06,1.2796304202202e-06,"3673/3685/2335/1969/3688/3675/3679/3693/3678/1303/2719/4323/2131/2132/4324/4318/22943/3909/9555/4317/1291/91663/90/1290/3912/23122/7048/154796",28,"Down_res_DEq_MS_BDM_vs_C"
"GO:0050878","regulation of body fluid levels","41/728","389/18860",0.105398457583548,2.73051498629905,6.9104626794979,5.97210050611052e-09,1.75579754879649e-06,1.41851254126563e-06,"7057/2244/5054/2267/3673/2243/2335/2266/10672/2153/348/231/8673/653145/83706/1311/22875/11093/634/928/5243/1606/6714/10544/2162/2131/966/2132/7035/51129/10398/7466/57493/3710/2768/5270/79987/948/11117/8323/1511",41,"Down_res_DEq_MS_BDM_vs_C"
"GO:0034446","substrate adhesion-dependent cell spreading","19/728","101/18860",0.188118811881188,4.87351757153737,7.82102259047051,9.22170207532527e-09,2.56055927624865e-06,2.06868123748232e-06,"2244/4241/2243/3685/2335/3915/2266/1601/3911/83706/8829/6714/29780/10631/91663/3912/10562/59277/4192",19,"Down_res_DEq_MS_BDM_vs_C"
"GO:0001704","formation of primary germ layer","22/728","135/18860",0.162962962962963,4.22181522181522,7.52763867422363,1.0303969213831e-08,2.71048621740671e-06,2.18980752932165e-06,"3673/3685/2335/1969/3688/3675/3679/3693/3678/1303/4323/2132/4324/4318/22943/3909/9555/4317/1291/90/1290/3912",22,"Down_res_DEq_MS_BDM_vs_C"
"GO:0016072","rRNA metabolic process","32/728","270/18860",0.118518518518519,3.07041107041107,6.86595468957325,1.80723057043592e-08,4.51626919551937e-06,3.64870340431168e-06,"55661/57050/23560/284119/4839/51096/23076/117246/55226/27340/9555/10969/8886/6129/10412/6125/84365/6194/9188/11056/55506/79039/23481/6155/23378/1029/84154/55720/9790/8602/56342/10171",32,"Down_res_DEq_MS_BDM_vs_C"
"GO:0042254","ribosome biogenesis","35/728","318/18860",0.110062893081761,2.85135462022254,6.67155469131642,2.63567817176465e-08,6.27291404879987e-06,5.06790048465624e-06,"55661/57050/10514/23560/4839/51096/23076/117246/56902/55226/27340/10969/8886/6129/10412/6125/6194/9188/22907/64794/11056/79039/55153/23481/6155/23378/1029/84154/55794/6193/55720/9790/8602/56342/10171",35,"Down_res_DEq_MS_BDM_vs_C"
"GO:0016485","protein processing","30/728","248/18860",0.120967741935484,3.1338621056363,6.77794178225479,3.16326738212024e-08,7.18636835265317e-06,5.80588214249438e-06,"7057/2244/5054/4241/2243/2266/8754/2934/1362/23385/649/102/1311/11093/290/6714/2678/4323/5621/10159/1201/5648/1636/5270/255738/8720/3549/1675/1511/7113",30,"Down_res_DEq_MS_BDM_vs_C"
"GO:0006364","rRNA processing","28/728","223/18860",0.125560538116592,3.25284580889962,6.78106741563466,4.0743051764456e-08,8.85364229211962e-06,7.15287627315576e-06,"55661/57050/23560/4839/51096/23076/117246/55226/27340/10969/8886/6129/10412/6125/6194/9188/11056/79039/23481/6155/23378/1029/84154/55720/9790/8602/56342/10171",28,"Down_res_DEq_MS_BDM_vs_C"
"GO:1904375","regulation of protein localization to cell periphery","23/728","158/18860",0.145569620253165,3.77121296425094,7.00900845569863,4.28978888121449e-08,8.93348534512917e-06,7.21738164400823e-06,"1969/3688/1601/3675/8878/102/8673/598/493/2037/2810/4323/5621/6809/3958/64114/1201/27032/25921/7040/1981/3265/948",23,"Down_res_DEq_MS_BDM_vs_C"
"GO:0007162","negative regulation of cell adhesion","34/728","326/18860",0.104294478527607,2.70191464976741,6.21103765261305,1.54224798703714e-07,3.08326217568465e-05,2.49097401190504e-05,"7057/5054/4241/2267/301/3339/7045/102/10154/9448/23560/634/928/6714/3371/4323/5621/8751/3958/10631/6522/4072/7040/26279/91663/3912/1029/23122/5270/4192/3549/9231/1511/5420",34,"Down_res_DEq_MS_BDM_vs_C"
"GO:1903053","regulation of extracellular matrix organization","15/728","76/18860",0.197368421052632,5.11314343551186,7.19927520865036,1.7298179775631e-07,3.32524240456168e-05,2.68647034896035e-05,"4241/3915/6624/4811/7078/7148/7042/51124/1291/7040/3912/7046/7049/23122/11117",15,"Down_res_DEq_MS_BDM_vs_C"
"GO:1903076","regulation of protein localization to plasma membrane","19/728","121/18860",0.15702479338843,4.06797747706839,6.78381211687775,1.89806115750703e-07,3.51352209822969e-05,2.83858191040818e-05,"1969/3688/1601/3675/8878/8673/598/493/2810/4323/5621/6809/3958/64114/1201/27032/25921/7040/948",19,"Down_res_DEq_MS_BDM_vs_C"
"GO:0042273","ribosomal large subunit biogenesis","14/728","69/18860",0.202898550724638,5.25641025641026,7.0973340204454,3.10480221123947e-07,5.54207194706245e-05,4.47745160989271e-05,"23560/4839/117246/10969/8886/6129/10412/6125/22907/55153/23481/84154/55794/56342",14,"Down_res_DEq_MS_BDM_vs_C"
"GO:1905475","regulation of protein localization to membrane","23/728","177/18860",0.129943502824859,3.36639349351214,6.33800319151979,3.53819278602957e-07,6.09789225675027e-05,4.92650000987638e-05,"1969/3688/1601/2934/3675/8878/102/8673/598/493/2810/2719/4323/5621/6809/3958/64114/1201/27032/25921/7040/3265/948",23,"Down_res_DEq_MS_BDM_vs_C"
"GO:1903034","regulation of response to wounding","23/728","179/18860",0.128491620111732,3.3287801583891,6.27273747838428,4.33543348966701e-07,7.22283219378525e-05,5.83534135661848e-05,"7057/2244/5054/301/2243/2266/5792/3688/348/22875/634/928/2896/7035/4756/28964/3265/23122/5270/948/4192/11117/5802",23,"Down_res_DEq_MS_BDM_vs_C"
"GO:0000470","maturation of LSU-rRNA","9/728","27/18860",0.333333333333333,8.63553113553114,7.9554279354222,4.54104508566929e-07,7.32133656070164e-05,5.9149232423183e-05,"23560/4839/117246/8886/6129/10412/23481/84154/56342",9,"Down_res_DEq_MS_BDM_vs_C"
