"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","GO:0051607","defense response to virus","67/849","334/18860",0.20059880239521,4.45617598724812,13.8363810643392,1.67600715198164e-25,8.68339305441685e-22,7.01629520361154e-22,"10475/3437/5359/7098/23586/4938/9636/3433/3434/6737/5610/4599/958/834/5371/4939/6772/6773/10379/10410/10581/684/24138/8638/55601/10346/197259/3669/79132/64108/64135/51251/81622/64343/60489/11277/57169/1755/51191/25939/4940/8467/7097/3459/566/7128/2633/2634/3455/103/728358/1525/54726/7726/7706/56829/148022/83666/151636/4615/10417/8673/85363/2635/9188/55337/58515",67,"Downres_DEq_MS_C_vs_BD"
"GO:0009615","GO:0009615","response to virus","77/849","445/18860",0.173033707865169,3.84383478249361,13.1808302766497,7.65901836013492e-25,1.98406870619295e-21,1.60315347464508e-21,"10475/3437/5359/7098/3717/23586/4938/9636/3433/3434/6737/5610/4599/958/834/5371/4939/6772/6773/3934/10379/10410/10581/684/24138/8638/2131/55601/10346/197259/3669/79132/64108/64135/51251/81622/64343/60489/11277/57169/1755/51191/25939/4940/8467/7097/338/3459/566/7128/3716/2633/2634/3455/103/728358/1525/54726/2332/581/3373/7726/9111/7706/56829/148022/83666/151636/4615/10417/8673/85363/2635/9188/55337/58515/10625",77,"Downres_DEq_MS_C_vs_BD"
"GO:0050792","GO:0050792","regulation of viral process","43/849","141/18860",0.304964539007092,6.77459505968641,14.9428704550179,2.21851085322924e-24,3.8313682435269e-21,3.09579567133077e-21,"10475/5359/7113/4938/4057/972/9636/3434/6737/5610/4599/6672/2040/4939/6772/10410/10581/684/24138/8638/3669/64135/60489/57169/4940/9683/6590/4851/3838/103/6733/2332/9830/7706/51574/56829/5819/128637/6732/51773/85363/79720/55337",43,"Downres_DEq_MS_C_vs_BD"
"GO:1903900","GO:1903900","regulation of viral life cycle","36/849","115/18860",0.31304347826087,6.95406360424028,13.9047738480998,4.77365725866872e-21,6.18307956429066e-18,4.99600918887513e-18,"10475/5359/7113/4938/4057/972/9636/3434/6737/5610/4599/4939/10410/10581/684/24138/8638/3669/64135/60489/57169/4940/9683/6590/4851/3838/103/6733/2332/7706/56829/5819/6732/85363/79720/55337",36,"Downres_DEq_MS_C_vs_BD"
"GO:0048525","GO:0048525","negative regulation of viral process","29/849","76/18860",0.381578947368421,8.47653586262476,14.1793864618578,6.09980901928859e-20,6.32062210578684e-17,5.10714536204437e-17,"5359/4938/4057/9636/3434/6737/5610/4599/6672/4939/6772/10410/10581/684/24138/8638/3669/64135/60489/57169/4940/9683/6590/6733/9830/51574/56829/6732/55337",29,"Downres_DEq_MS_C_vs_BD"
"GO:0045071","GO:0045071","negative regulation of viral genome replication","24/849","50/18860",0.48,10.6628975265018,14.8539596758193,1.39465550292669e-19,1.2042850267772e-16,9.73078058796394e-17,"5359/4938/4057/9636/3434/5610/4599/4939/10410/10581/684/24138/8638/3669/64135/60489/57169/4940/9683/6590/6733/56829/6732/55337",24,"Downres_DEq_MS_C_vs_BD"
"GO:0016032","GO:0016032","viral process","63/849","396/18860",0.159090909090909,3.53410429382161,11.0650516188813,1.43045312593875e-18,1.05873966364123e-15,8.55475501031337e-16,"10475/8829/5359/7113/4938/4057/972/9636/3678/3434/290/6737/5610/4599/6672/2040/4939/6772/10410/10581/684/24138/8638/84875/3669/64135/60489/57169/4940/9683/348/6590/3383/1604/6520/6714/3673/4245/1969/2634/4851/3838/103/1525/6733/2959/2332/10241/950/9830/7706/51574/56829/83666/5819/128637/6732/51773/8673/85363/79720/55337/51510",63,"Downres_DEq_MS_C_vs_BD"
"GO:0019058","GO:0019058","viral life cycle","52/849","298/18860",0.174496644295302,3.87633299341507,10.8662370005787,2.8501469215243e-17,1.84582640005217e-14,1.49145188248712e-14,"10475/8829/5359/7113/4938/4057/972/9636/3678/3434/290/6737/5610/4599/4939/10410/10581/684/24138/8638/3669/64135/60489/57169/4940/9683/348/6590/3383/1604/6520/6714/3673/1969/2634/4851/3838/103/1525/6733/2332/950/7706/56829/5819/128637/6732/8673/85363/79720/55337/51510",52,"Downres_DEq_MS_C_vs_BD"
"GO:0045069","GO:0045069","regulation of viral genome replication","27/849","80/18860",0.3375,7.49734982332155,12.6438027503109,4.62178562789615e-17,2.66060792645888e-14,2.14980601662491e-14,"10475/5359/4938/4057/9636/3434/5610/4599/4939/10410/10581/684/24138/8638/3669/64135/60489/57169/4940/9683/6590/4851/103/6733/56829/6732/55337",27,"Downres_DEq_MS_C_vs_BD"
"GO:0034341","GO:0034341","response to type II interferon","32/849","129/18860",0.248062015503876,5.51054135736525,11.160593873177,1.39323139601852e-15,7.21833186277197e-13,5.83250659154281e-13,"7098/3717/6584/972/7431/6737/6672/958/834/6772/10410/10581/684/54625/115361/51667/7097/2934/3459/965/3716/2643/2633/2634/140885/961/10241/83666/65010/2635/55337/55647",32,"Downres_DEq_MS_C_vs_BD"
