"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0016053","organic acid biosynthetic process","39/332","342/18860",0.114035087719298,6.47801733248785,13.685274604817,1.25837326387694e-20,3.99030161975377e-17,3.53006815603373e-17,"64577/635/2194/570/51733/9415/130013/1559/80270/5313/6718/32/2944/3992/1558/1109/1806/26227/1579/23743/1571/6319/9420/11057/5053/1491/6470/6342/1576/2326/116519/2948/2628/27165/51302/341/1036/54529/284541",39,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0046394","carboxylic acid biosynthetic process","38/332","339/18860",0.112094395280236,6.36777197284714,13.3498317636919,7.38849947591158e-20,1.17144659190578e-16,1.03633426859497e-16,"64577/635/2194/570/51733/9415/130013/1559/80270/5313/6718/32/2944/3992/1558/1109/1806/26227/1579/23743/1571/6319/9420/11057/5053/1491/6470/6342/1576/116519/2948/2628/27165/51302/341/1036/54529/284541",38,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0006631","fatty acid metabolic process","36/332","421/18860",0.0855106888361045,4.85762527544859,10.7153535593871,4.34478899516147e-15,4.59244196788567e-12,4.06275883231765e-12,"3248/2194/570/9415/1559/80724/134526/32/2944/3992/1558/1109/1548/1579/1571/1555/6319/55198/11057/1562/2329/5264/6342/1576/2326/116519/2948/1557/5165/5163/57678/51390/341/10060/1549/284541",36,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0071466","cellular response to xenobiotic stimulus","25/332","202/18860",0.123762376237624,7.03059763807706,11.5349998899868,1.98454378725043e-14,1.57324708734278e-11,1.39179189290063e-11,"316/1559/2944/1558/57412/134147/1548/1571/1555/1562/2330/122622/2329/6580/23491/7037/1576/2326/2948/590/1557/10864/6554/10060/1549",25,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0006805","xenobiotic metabolic process","21/332","135/18860",0.155555555555556,8.83668005354752,12.2321328285819,2.57501319914268e-14,1.63307337089629e-11,1.44471793172953e-11,"316/1559/2944/1558/57412/134147/1548/1571/1555/1562/2330/2329/6580/23491/1576/2326/2948/590/1557/10864/1549",21,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0072330","monocarboxylic acid biosynthetic process","25/332","237/18860",0.105485232067511,5.99232372528087,10.3529994681117,7.84096733614352e-13,3.7307081010838e-10,3.30041563823078e-10,"64577/2194/570/9415/130013/1559/80270/5313/6718/32/2944/3992/1558/1109/1571/6319/9420/11057/6342/1576/116519/2948/2628/51302/341",25,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0044282","small molecule catabolic process","31/332","373/18860",0.0831099195710456,4.7212442262347,9.71680461832943,8.23555872203928e-13,3.7307081010838e-10,3.30041563823078e-10,"64577/51733/130013/10841/229/80724/10840/6718/125061/3176/32/1806/1579/1428/26007/11057/5264/5053/6470/3939/6342/2645/5211/1576/2326/27165/9123/51302/51390/51171/1036",31,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0019373","epoxygenase P450 pathway","9/332","18/18860",0.5,28.4036144578313,15.5702183402543,6.1630390032589e-12,2.44287458491675e-09,2.16111828206381e-09,"1559/1558/1548/1579/1571/1555/1562/1557/1549",9,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0006520","amino acid metabolic process","26/332","286/18860",0.0909090909090909,5.16429353778751,9.49917157548328,8.33094397005434e-12,2.76972154484343e-09,2.45026736278037e-09,"64577/635/1644/27232/570/51733/130013/10841/125061/3176/143941/389434/1806/26227/23743/1428/122622/443/5053/1491/6470/55191/27165/6567/1036/54529",26,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0001676","long-chain fatty acid metabolic process","17/332","110/18860",0.154545454545455,8.77929901423877,10.953433413492,8.73453656525837e-12,2.76972154484343e-09,2.45026736278037e-09,"9415/1559/2944/3992/1558/1548/1579/1571/1555/1562/6342/1576/2948/1557/51390/1549/284541",17,"Up_BD_vs_res_DEq_MS_BM1"
"GO:1901605","alpha-amino acid metabolic process","22/332","207/18860",0.106280193236715,6.03748326639893,9.7552531799122,1.66308298267111e-11,4.79421467095463e-09,4.24125947255360e-09,"64577/635/27232/570/130013/10841/125061/3176/143941/389434/26227/23743/1428/122622/443/5053/1491/6470/55191/27165/1036/54529",22,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0120254","olefinic compound metabolic process","20/332","169/18860",0.118343195266272,6.72274898410209,10.0033596120557,1.97947921126503e-11,5.23077381576783e-09,4.62746675265026e-09,"64577/9415/1559/125/126/3992/1558/1109/1548/1579/1571/1555/1562/130/6342/1576/1557/6716/1549/284541",20,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0042178","xenobiotic catabolic process","10/332","29/18860",0.344827586206897,19.5886996260906,13.4098962584718,3.71705556020081e-11,9.06675629338212e-09,8.021014629907e-09,"1559/2944/1558/1548/1555/1562/2329/1576/2948/1557",10,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0033559","unsaturated fatty acid metabolic process","17/332","121/18860",0.140495867768595,7.98118092203525,10.3124646733507,4.19716445514202e-11,9.50657749089669e-09,8.41010772402518e-09,"3248/9415/1559/2944/3992/1558/1109/1548/1579/1571/1555/6319/1562/6342/1557/1549/284541",17,"Up_BD_vs_res_DEq_MS_BM1"
"GO:0170039","proteinogenic amino acid metabolic process","19/332","175/18860",0.108571428571429,6.16764199655766,9.193460053292,2.860443154913e-10,6.04697682948608e-08,5.34953053181975e-08,"635/27232/570/130013/10841/125061/3176/143941/389434/26227/23743/122622/443/5053/6470/55191/27165/1036/54529",19,"Up_BD_vs_res_DEq_MS_BM1"
