"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","cell-substrate adhesion","23/116","369/18860",0.0623306233062331,10.1340996168582,13.9397798356437,5.53238393175853e-17,1.15405528816483e-13,9.2885814433209e-14,"7057/2335/2266/2243/2244/22998/3491/4241/3911/3915/3679/3912/11093/5054/3675/960/29780/7148/8829/10562/79987/4811/11117",23,"Up_CM_vs_BM1"
"GO:0007160","cell-matrix adhesion","16/116","246/18860",0.0650406504065041,10.5747126436782,11.8913355612124,2.34749894279281e-12,2.4484413973329e-09,1.9706635861866e-09,"7057/2335/2266/2243/2244/22998/3679/11093/5054/3675/960/7148/8829/79987/4811/11117",16,"Up_CM_vs_BM1"
"GO:0030198","extracellular matrix organization","17/116","331/18860",0.0513595166163142,8.35034899468695,10.6133662965154,2.00477588058688e-11,9.19662083532569e-09,7.40203372475373e-09,"3491/4241/3915/2331/1311/1291/3912/11093/4148/7078/2131/5768/7148/4324/57188/4811/11117",17,"Up_CM_vs_BM1"
"GO:0043062","extracellular structure organization","17/116","332/18860",0.0512048192771084,8.32519734108849,10.5933003759371,2.10237473890536e-11,9.19662083532569e-09,7.40203372475373e-09,"3491/4241/3915/2331/1311/1291/3912/11093/4148/7078/2131/5768/7148/4324/57188/4811/11117",17,"Up_CM_vs_BM1"
"GO:0045229","external encapsulating structure organization","17/116","333/18860",0.0510510510510511,8.30019674847261,10.5733185832152,2.20436741019312e-11,9.19662083532569e-09,7.40203372475373e-09,"3491/4241/3915/2331/1311/1291/3912/11093/4148/7078/2131/5768/7148/4324/57188/4811/11117",17,"Up_CM_vs_BM1"
"GO:0034446","substrate adhesion-dependent cell spreading","11/116","101/18860",0.108910891089109,17.7074086719017,13.2440901446411,2.93727104043302e-11,1.02119123172388e-08,8.21920580612397e-09,"2335/2266/2243/2244/4241/3911/3915/3912/29780/8829/10562",11,"Up_CM_vs_BM1"
"GO:0042060","wound healing","19/116","453/18860",0.0419426048565121,6.8192890309812,9.8624476295218,3.97186577037942e-11,1.18361599957307e-08,9.52650511842884e-09,"7057/2335/2266/2243/2267/2244/1311/5754/11093/5054/4162/3710/960/2131/977/2162/79987/1606/11117",19,"Up_CM_vs_BM1"
"GO:0010810","regulation of cell-substrate adhesion","14/116","230/18860",0.0608695652173913,9.89655172413793,10.6791425989746,1.45973597026209e-10,3.42377574736119e-08,2.75567559017061e-08,"7057/2335/2266/2243/2244/22998/3491/4241/5054/3675/8829/10562/4811/11117",14,"Up_CM_vs_BM1"
"GO:0007229","integrin-mediated signaling pathway","11/116","117/18860",0.094017094017094,15.2858826996758,12.1937600645577,1.47718033203503e-10,3.42377574736119e-08,2.75567559017061e-08,"2335/3491/3911/3915/3679/3912/11093/5054/3675/8829/4811",11,"Up_CM_vs_BM1"
"GO:0007596","blood coagulation","14/116","243/18860",0.0576131687242798,9.3671065701717,10.3271568942036,3.01562456358626e-10,6.29059283964093e-08,5.06307492517903e-08,"7057/2335/2266/2243/2267/2244/1311/11093/5054/3710/2162/79987/1606/11117",14,"Up_CM_vs_BM1"
