"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0051607","defense response to virus","79/1011","334/18860",0.236526946107784,4.41236221918181,14.9749538186111,6.08824912051684e-30,1.72752246316017e-26,1.34822746830293e-26,"4599/3434/3437/3433/6772/4938/23586/9636/55601/64135/4939/4940/3669/5371/10964/51251/25939/6737/5610/10379/11277/6773/834/2633/5359/684/197259/8638/7098/24138/7128/10346/83666/103/151636/10475/56829/10410/2634/958/1525/3459/4615/85363/2537/3429/1755/81622/57169/3627/8467/7706/2635/91543/10581/64343/11274/51191/7726/8673/64108/10417/79132/55337/91351/60489/3665/566/9188/4600/3428/54726/728358/3455/7097/23515/89870/10868/148022",79,"Up_C_vs_BD"
"GO:0009615","response to virus","92/1011","445/18860",0.206741573033708,3.85672212405117,14.514099813303,6.44597934014988e-30,1.72752246316017e-26,1.34822746830293e-26,"4599/3434/3437/3433/6772/4938/23586/9636/55601/64135/4939/4940/3669/5371/10964/51251/25939/6737/5610/10379/11277/338/6773/834/2633/5359/684/197259/8638/7098/24138/7128/10346/83666/103/151636/10475/56829/10410/2634/958/3716/1525/3459/9111/4615/85363/2537/3429/1755/81622/57169/3627/8467/7706/2635/91543/10581/64343/11274/51191/581/7726/8673/10561/64108/2332/10417/2131/79132/3373/55337/91351/60489/3665/566/9188/4600/3428/3934/54726/728358/3965/7040/3717/10625/3455/7097/23515/89870/10868/148022",92,"Up_C_vs_BD"
"GO:0050792","regulation of viral process","47/1011","141/18860",0.333333333333333,6.21826574348829,14.8020678126987,3.55792414520255e-25,6.35682447276188e-22,4.96111949229295e-22,"4599/3434/6772/4938/9636/64135/4939/4940/3669/6737/5610/2040/6672/5359/684/8638/972/24138/103/10475/56829/10410/27074/9830/85363/4057/5819/57169/7706/91543/9683/10581/2332/6732/55337/128637/60489/3838/51773/3428/79720/51574/3965/7113/6733/4851/89870",47,"Up_C_vs_BD"
"GO:1903900","regulation of viral life cycle","40/1011","115/18860",0.347826086956522,6.48862512363996,14.0506925313662,2.10533213711992e-22,2.8211450637407e-19,2.2017341876091e-19,"4599/3434/4938/9636/64135/4939/4940/3669/6737/5610/5359/684/8638/972/24138/103/10475/56829/10410/27074/85363/4057/5819/57169/7706/91543/9683/10581/2332/6732/55337/60489/3838/3428/79720/3965/7113/6733/4851/89870",40,"Up_C_vs_BD"
"GO:0048525","negative regulation of viral process","31/1011","76/18860",0.407894736842105,7.60919360716331,13.7400778609209,4.85266009090341e-20,5.20205161744846e-17,4.0598886739474e-17,"4599/3434/6772/4938/9636/64135/4939/4940/3669/6737/5610/6672/5359/684/8638/24138/56829/10410/9830/4057/57169/91543/9683/10581/6732/55337/60489/3428/51574/6733/89870",31,"Up_C_vs_BD"
"GO:0045071","negative regulation of viral genome replication","25/1011","50/18860",0.5,9.32739861523244,14.0322696471937,4.45106226570705e-19,3.97628229069829e-16,3.10324937612628e-16,"4599/3434/4938/9636/64135/4939/4940/3669/5610/5359/684/8638/24138/56829/10410/4057/57169/91543/9683/10581/6732/55337/60489/3428/6733",25,"Up_C_vs_BD"
"GO:0016032","viral process","69/1011","396/18860",0.174242424242424,3.25045709318706,10.7716788730129,2.31936223801452e-18,1.77596879939398e-15,1.38603692238642e-15,"4599/3434/6772/4938/9636/64135/4939/4940/3669/6737/5610/2040/6672/290/6520/84875/5359/684/8638/3673/3678/972/24138/83666/103/10475/348/56829/10410/27074/950/2634/1525/1969/10241/9830/1604/85363/4057/3383/5819/4245/57169/8829/7706/91543/2959/9683/10581/8673/6714/2332/6732/55337/128637/60489/3665/3838/51773/3428/79720/51574/3965/4684/51510/7113/6733/4851/89870",69,"Up_C_vs_BD"
"GO:0019058","viral life cycle","57/1011","298/18860",0.191275167785235,3.56819947025671,10.6353665662574,2.89092242512311e-17,1.93691802483248e-14,1.51164812071569e-14,"4599/3434/4938/9636/64135/4939/4940/3669/6737/5610/290/6520/5359/684/8638/3673/3678/972/24138/103/10475/348/56829/10410/27074/950/2634/1525/1969/1604/85363/4057/3383/5819/57169/8829/7706/91543/9683/10581/8673/6714/2332/6732/55337/128637/60489/3838/3428/79720/3965/4684/51510/7113/6733/4851/89870",57,"Up_C_vs_BD"
"GO:0045069","regulation of viral genome replication","28/1011","80/18860",0.35,6.52917903066271,11.7946705628967,3.62478048282848e-16,2.15875815421785e-13,1.68478101038133e-13,"4599/3434/4938/9636/64135/4939/4940/3669/5610/5359/684/8638/24138/103/10475/56829/10410/4057/57169/91543/9683/10581/6732/55337/60489/3428/6733/4851",28,"Up_C_vs_BD"
"GO:0034341","response to type II interferon","34/1011","129/18860",0.263565891472868,4.91676826229307,10.6235633874851,4.36745914038002e-15,2.34095809924369e-12,1.82697711830213e-12,"6772/7431/6737/51667/115361/6672/54625/834/2633/684/7098/972/83666/10410/140885/2634/958/2934/3716/3459/10241/961/11093/2635/10581/55647/2643/55337/965/65010/6584/3965/3717/7097",34,"Up_C_vs_BD"
