"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","name"
"GO:0031589","cell-substrate adhesion","15/62","369/18860",0.040650406504065,12.3655913978495,12.6626433497773,7.17309279688277e-13,9.78384162528314e-10,6.8621703741821e-10,"7057/2335/2266/2243/2244/3912/4811/3911/3915/3689/11151/83706/8829/10562/11093",15,"Up_DM_vs_BM1"
"GO:0034446","substrate adhesion-dependent cell spreading","10/62","101/18860",0.099009900990099,30.1181731076333,16.850753327518,1.04976841472995e-12,9.78384162528314e-10,6.8621703741821e-10,"2335/2266/2243/2244/3912/3911/3915/83706/8829/10562",10,"Up_DM_vs_BM1"
"GO:0072378","blood coagulation, fibrin clot formation","6/62","18/18860",0.333333333333333,101.397849462366,24.4735243671058,1.77218950657564e-11,8.43676376360283e-09,5.91735972125294e-09,"7057/2335/2266/2243/2244/2162",6,"Up_DM_vs_BM1"
"GO:0007596","blood coagulation","12/62","243/18860",0.0493827160493827,15.0219036240542,12.6343998605792,1.94975622290112e-11,8.43676376360283e-09,5.91735972125294e-09,"7057/2335/2266/2267/2243/2244/348/2162/1311/83706/3043/11093",12,"Up_DM_vs_BM1"
"GO:0050817","coagulation","12/62","248/18860",0.0483870967741935,14.7190426638918,12.4897135367706,2.47294225345239e-11,8.43676376360283e-09,5.91735972125294e-09,"7057/2335/2266/2267/2243/2244/348/2162/1311/83706/3043/11093",12,"Up_DM_vs_BM1"
"GO:0007599","hemostasis","12/62","250/18860",0.048,14.6012903225806,12.4330099430797,2.71569649043009e-11,8.43676376360283e-09,5.91735972125294e-09,"7057/2335/2266/2267/2243/2244/348/2162/1311/83706/3043/11093",12,"Up_DM_vs_BM1"
"GO:0072376","protein activation cascade","6/62","22/18860",0.272727272727273,82.9618768328446,22.090481958885,7.05058638646242e-11,1.87747043205228e-08,1.31681628450922e-08,"7057/2335/2266/2243/2244/2162",6,"Up_DM_vs_BM1"
"GO:0007229","integrin-mediated signaling pathway","9/62","117/18860",0.0769230769230769,23.3995037220844,13.957612177675,1.53416717026867e-10,3.57460950672601e-08,2.50715213878117e-08,"2335/3912/4811/3911/3915/3689/83706/8829/11093",9,"Up_DM_vs_BM1"
"GO:0042060","wound healing","14/62","453/18860",0.0309050772626932,9.40112511571601,10.3942797172637,1.76893371241045e-10,3.66365826659231e-08,2.56960897171202e-08,"7057/2335/2266/2267/2243/2244/348/301/2162/2131/1311/83706/3043/11093",14,"Up_DM_vs_BM1"
"GO:0050878","regulation of body fluid levels","13/62","389/18860",0.0334190231362468,10.1658512314454,10.490634420584,3.33544279504444e-10,6.21726536996283e-08,4.36065258046862e-08,"7057/2335/2266/2267/2243/2244/348/2162/2131/1311/83706/3043/11093",13,"Up_DM_vs_BM1"
